asin,title,price,rating,num_reviews,img_link
B091G3WT74,"Amazon Fire TV Stick Lite con mando por voz Alexa | Lite (sin controles del TV), streaming HD",34.99,4.6,10.822,"https://images-eu.ssl-images-amazon.com/images/I/51NPmUNZn6L._AC_UL900_SR900,600_.jpg"
B08C1KN5J2,"Fire TV Stick con mando por voz Alexa (incluye controles del TV), dispositivo de streaming HD",44.99,4.6,52.125,"https://images-eu.ssl-images-amazon.com/images/I/81MjRfRR1nL._AC_UL900_SR900,600_.jpg"
B0CKZ7R5KT,"Echo Pop | Antracita, pack de 2 + Meross Smart Plug (enchufe inteligente WiFi), compatible con Alexa - Kit de inicio de Hogar",44.98,4.6,1.326,"https://images-eu.ssl-images-amazon.com/images/I/617G--VYsRL._AC_UL900_SR900,600_.jpg"
B09WX9XBKD,"Te presentamos el Echo Pop | Altavoz inteligente wifi y Bluetooth con Alexa, de sonido potente y compacto | Antracita",39.98,4.6,1.326,"https://images-eu.ssl-images-amazon.com/images/I/613dEoF9-rL._AC_UL900_SR900,600_.jpg"
B0CLF7L361,"Echo Pop | Antracita, 2pack de + Philips Hue White Bombilla Inteligente (E27), compatible con Alexa - Kit de inicio de Hogar ",44.98,4.6,1.326,"https://images-eu.ssl-images-amazon.com/images/I/71rUHK2+z+L._AC_UL900_SR900,600_.jpg"
B09SWS16W6,"Kindle (modelo de 2022): nuestro Kindle más compacto y ligero, con una pantalla de alta resolución de 300 ppp y 6 pulgadas, y",109.00,4.7,2.864,"https://images-eu.ssl-images-amazon.com/images/I/51tbxm79xwL._AC_UL900_SR900,600_.jpg"
B09SWTJZH6,"Kindle (modelo de 2022): nuestro Kindle más compacto y ligero, con una pantalla de alta resolución de 300 ppp y 6 pulgadas, y",109.00,4.7,2.864,"https://images-eu.ssl-images-amazon.com/images/I/51imNlIxKsL._AC_UL900_SR900,600_.jpg"
B0BTFCP86M,Nuevo Amazon Fire TV Stick 4K Max | Dispositivo de streaming compatible con Wi-Fi 6E y fondo ambiental,79.99,3.7,30,"https://images-eu.ssl-images-amazon.com/images/I/41c8X0qCcyL._AC_UL900_SR900,600_.jpg"
B09TMF6742,"Kindle Paperwhite (16 GB) | Ahora con una pantalla de 6,8"" y luz cálida ajustable, sin publicidad",169.99,4.7,5.019,"https://images-eu.ssl-images-amazon.com/images/I/61eGz0e6N+L._AC_UL900_SR900,600_.jpg"
B09B8X9RGM,"Echo Dot (5.ª generación, modelo de 2022) | Altavoz inteligente wifi y Bluetooth con Alexa, con sonido más potente y de mayor",64.99,4.6,11.244,"https://images-eu.ssl-images-amazon.com/images/I/71C3lbbeLsL._AC_UL900_SR900,600_.jpg"
B09B94956P,"Echo Dot (5.ª generación, modelo de 2022) | Altavoz inteligente wifi y Bluetooth con Alexa, con sonido más potente y de mayor",64.99,4.6,11.244,"https://images-eu.ssl-images-amazon.com/images/I/71YVBa7zc5L._AC_UL900_SR900,600_.jpg"
B09B95DTR4,"Echo Dot con reloj (5.ª generación, modelo de 2022) | Altavoz inteligente wifi y Bluetooth con Alexa y reloj, con sonido más ",74.99,4.7,5.846,"https://images-eu.ssl-images-amazon.com/images/I/71bnkM5q8CL._AC_UL900_SR900,600_.jpg"
B09B8RVKGW,"Echo Dot con reloj (5.ª generación, modelo de 2022) | Altavoz inteligente wifi y Bluetooth con Alexa y reloj, con sonido más ",74.99,4.7,5.846,"https://images-eu.ssl-images-amazon.com/images/I/71yf6yTNWSL._AC_UL900_SR900,600_.jpg"
B0BTFWFRWN,"Nuevo Amazon Fire TV Stick 4K | Dispositivo de streaming compatible con Wi-Fi 6, Dolby Vision, Dolby Atmos y HDR10+",69.99,3.7,6,"https://images-eu.ssl-images-amazon.com/images/I/41iIaq5kJQL._AC_UL900_SR900,600_.jpg"
B08VZCBWN8,"Funda de tela para Kindle Paperwhite de Amazon | Compatible con el Kindle Paperwhite de 11.ª generación (modelo de 2021), Neg",24.99,4.7,2.520,"https://images-eu.ssl-images-amazon.com/images/I/71TEsYMPyCL._AC_UL900_SR900,600_.jpg"
B08N2QK2TG,"Kindle Paperwhite Signature Edition (32 GB) | Con una pantalla de 6,8"", carga inalámbrica y luz frontal autorregulable | Sin ",189.00,4.6,1.195,"https://images-eu.ssl-images-amazon.com/images/I/61qQRiANWsL._AC_UL900_SR900,600_.jpg"
B09B8RF4PY,"Echo Dot (5.ª generación, modelo de 2022) | Altavoz inteligente wifi y Bluetooth con Alexa, con sonido más potente y de mayor",64.99,4.6,11.244,"https://images-eu.ssl-images-amazon.com/images/I/61j3SEUjMJL._AC_UL900_SR900,600_.jpg"
B09TMP5Y2S,"Kindle Paperwhite (16 GB) | Ahora con una pantalla de 6,8"" y luz cálida ajustable, con publicidad",159.00,4.7,5.019,"https://images-eu.ssl-images-amazon.com/images/I/61eGz0e6N+L._AC_UL900_SR900,600_.jpg"
B0CLG23L44,"Echo Show 5 (3.ª generación) | Antracita, 2pack de + Philips Hue White Bombilla Inteligente (E27), compatible con Alexa - Kit",112.98,4.3,488,"https://images-eu.ssl-images-amazon.com/images/I/61ErqseyqvL._AC_UL900_SR900,600_.jpg"
B09B2S8WKD,Nuevo Echo Show 5 (3.ª generación) | Pantalla táctil inteligente con Alexa diseñada para controlar tus dispositivos de Hogar ,107.98,4.3,488,"https://images-eu.ssl-images-amazon.com/images/I/51V109b68DL._AC_UL900_SR900,600_.jpg"
B0BFHWV326,"Nuevo Kindle (2022): nuestro Kindle más compacto y ligero, con una pantalla de alta resolución de 300 ppp y 6 pulgadas, y el ",109.00,4.7,2.864,"https://images-eu.ssl-images-amazon.com/images/I/51tbxm79xwL._AC_UL900_SR900,600_.jpg"
B0C6MPCB4P,"Echo Show 5 (3.ª generación) | Antracita, 2pack de + Meross Smart Plug (enchufe inteligente WiFi), compatible con Alexa - Kit",112.98,4.3,488,"https://images-eu.ssl-images-amazon.com/images/I/61J+9VZlYdL._AC_UL900_SR900,600_.jpg"
B08XW4FDJV,"Amazon Fire TV Stick 4K con mando por voz Alexa (incluye controles para el televisor), 1.ª generación",0,4.6,9.507,"https://images-eu.ssl-images-amazon.com/images/I/61ixhTXoScL._AC_UL900_SR900,600_.jpg"
B084TNNGPG,"Echo Show 8 (2.ª generación, modelo de 2021) | Pantalla HD inteligente con Alexa y cámara de 13 MP | Antracita",92.99,4.6,4.173,"https://images-eu.ssl-images-amazon.com/images/I/71FSW61tu-L._AC_UL900_SR900,600_.jpg"
B082YTW968,"Amazon Smart Plug (enchufe inteligente wifi), compatible con Alexa, Dispositivo Certificado para personas",24.99,4.5,9.904,"https://images-eu.ssl-images-amazon.com/images/I/61JxUM3lnBL._AC_UL900_SR900,600_.jpg"
B0C6MRSMFR,"Echo Show 5 (3.ª generación) | Blanco, 2pack de + Meross Smart Plug (enchufe inteligente WiFi), compatible con Alexa - Kit de",112.98,4.3,488,"https://images-eu.ssl-images-amazon.com/images/I/51ngWrkp+zL._AC_UL900_SR900,600_.jpg"
B09SVVVG16,"Mando por voz Alexa Pro | Con función de búsqueda del mando, controles de TV y botones retroiluminados (se requiere un dispos",29.99,4.2,162,"https://images-eu.ssl-images-amazon.com/images/I/41TlXpHHo5L._AC_UL900_SR900,600_.jpg"
B08MT4MY9J,"Amazon Fire TV Stick 4K Max con Wi-Fi 6 y mando por voz Alexa (incluye controles para el televisor), 1.ª generación",0,4.6,11.533,"https://images-eu.ssl-images-amazon.com/images/I/71g8a2BcgRL._AC_UL900_SR900,600_.jpg"
B09B2TH45G,Nuevo Echo Show 5 (3.ª generación) | Pantalla táctil inteligente con Alexa diseñada para controlar tus dispositivos de Hogar ,107.98,4.3,488,"https://images-eu.ssl-images-amazon.com/images/I/51lmPoxyYkL._AC_UL900_SR900,600_.jpg"
B0BFHXX479,"Nuevo Kindle (2022): nuestro Kindle más compacto y ligero, con una pantalla de alta resolución de 300 ppp y 6 pulgadas, y el ",109.00,4.7,2.864,"https://images-eu.ssl-images-amazon.com/images/I/51imNlIxKsL._AC_UL900_SR900,600_.jpg"
B084TNK1NH,"Echo Show 8 (2.ª generación, modelo de 2021) | Pantalla HD inteligente con Alexa y cámara de 13 MP | Blanco",92.99,4.6,4.173,"https://images-eu.ssl-images-amazon.com/images/I/71AwBUL9uuL._AC_UL300_SR300,200_.jpg"
B09B2R276Z,Nuevo Echo Show 5 (3.ª generación) | Pantalla táctil inteligente con Alexa diseñada para controlar tus dispositivos de Hogar ,99.99,4.3,488,"https://images-eu.ssl-images-amazon.com/images/I/51u7P7NKlgL._AC_UL300_SR300,200_.jpg"
B0CLFH5F1P,"Echo Show 5 (3.ª generación) | Gris azulado, 2pack de + Philips Hue White Bombilla Inteligente (E27), compatible con Alexa - ",112.98,4.3,488,"https://images-eu.ssl-images-amazon.com/images/I/61PRi8WII3L._AC_UL300_SR300,200_.jpg"
B08D2NZ56V,"Nuevo mando por voz Alexa (3.ª generación) para el Fire TV, con controles del TV, requiere un dispositivo Fire TV compatible,",29.99,4.5,884,"https://images-eu.ssl-images-amazon.com/images/I/51zqBTsLEUL._AC_UL300_SR300,200_.jpg"
B0CLFJVB3B,"Echo Show 5 (3.ª generación) | Blanco, 2pack de + Philips Hue White Bombilla Inteligente (E27), compatible con Alexa - Kit de",112.98,4.3,488,"https://images-eu.ssl-images-amazon.com/images/I/61ZlZPbfn1L._AC_UL300_SR300,200_.jpg"
B09ZXJSW35,"Te presentamos el Echo Pop | Altavoz inteligente wifi y Bluetooth con Alexa, de sonido potente y compacto | Blanco",54.99,4.6,1.326,"https://images-eu.ssl-images-amazon.com/images/I/71HV8Zp3kHL._AC_UL300_SR300,200_.jpg"
B08VYX257R,"Funda de tela para Kindle Paperwhite de Amazon | Compatible con el Kindle Paperwhite de 11.ª generación (modelo de 2021), Azu",24.99,4.7,2.520,"https://images-eu.ssl-images-amazon.com/images/I/71pGocVHssL._AC_UL300_SR300,200_.jpg"
B09B9CX8PW,"Echo Dot (5.ª generación, modelo de 2022) | versión internacional | Altavoz inteligente con Alexa | Antracita | No disponible",64.99,4.7,460,"https://images-eu.ssl-images-amazon.com/images/I/71C3lbbeLsL._AC_UL300_SR300,200_.jpg"
B0B64SBSPW,"Protector de pantalla antirreflejos NuPro para Kindle (modelo de 2022), pack de 2 unidades",14.99,4.6,956,"https://images-eu.ssl-images-amazon.com/images/I/51O1yr98E+L._AC_UL300_SR300,200_.jpg"
B09NMXWC1T,"Funda de tela para Kindle (compatible con el dispositivo de 11.ª generación, modelo de 2022), negro",34.99,4.7,476,"https://images-eu.ssl-images-amazon.com/images/I/61BfaHJryTL._AC_UL300_SR300,200_.jpg"
B0CGJDXXRJ,"Echo Dot (5.ª generación, modelo de 2022) con reloj | Gris azulado + Sengled Smart Plug, compatible con Alexa - Kit de inicio",79.99,4.7,5.846,"https://images-eu.ssl-images-amazon.com/images/I/61XzPfyPhNL._AC_UL300_SR300,200_.jpg"
B0BLS3B3QL,"Nuevo Echo Show 8 (3.ª generación, modelo de 2023) | Pantalla táctil inteligente de alta definición con audio espacial, contr",169.99,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/51EI+mYOGkL._AC_UL300_SR300,200_.jpg"
B08J2FM9RB,"Adaptador de corriente oficial de Amazon, compatible con Echo Dot (3.ª y 4.ª generación), Echo Show 5, Echo Spot y Fire TV Cu",19.99,4.4,57,"https://images-eu.ssl-images-amazon.com/images/I/31MecW2Q3JL._AC_UL300_SR300,200_.jpg"
B09ZX7MS5B,"Te presentamos el Echo Pop | Altavoz inteligente wifi y Bluetooth con Alexa, de sonido potente y compacto | Lavanda",54.99,4.6,1.326,"https://images-eu.ssl-images-amazon.com/images/I/71+5dhkUm6L._AC_UL300_SR300,200_.jpg"
B0C6MQX3YL,"Echo Show 5 (3.ª generación) | Gris azulado, 2pack de + Meross Smart Plug (enchufe inteligente WiFi), compatible con Alexa - ",112.98,4.3,488,"https://images-eu.ssl-images-amazon.com/images/I/61ZGvczXqwL._AC_UL300_SR300,200_.jpg"
B07M8QVJQ3,"HOMSCAM Auriculares Bluetooth, Auriculares inalámbricos Bluetooth 5.0 Sonido Estéreo Auricular Mini Twins In-Ear Auriculares ",0,4.1,44.840,"https://images-eu.ssl-images-amazon.com/images/I/51zryfCCFvL._AC_UL300_SR300,200_.jpg"
B08VZ6YMVV,"Funda de piel para Kindle Paperwhite de Amazon | Compatible con el Kindle Paperwhite de 11.ª generación (modelo de 2021), Neg",29.99,4.5,1.526,"https://images-eu.ssl-images-amazon.com/images/I/51mHRmmEFwL._AC_UL300_SR300,200_.jpg"
B0B8DX262J,"Kindle Paperwhite (16 GB) | Ahora con una pantalla de 6,8"" y luz cálida ajustable, sin publicidad + Kindle Unlimited",169.99,4.7,5.019,"https://images-eu.ssl-images-amazon.com/images/I/61eGz0e6N+L._AC_UL300_SR300,200_.jpg"
B09XY1G7PT,"Xiaomi F2 43"" Smart Fire TV 108 cm, 4K Ultra HD, HDR10, Aluminio sin Marcos, Airplay, Prime Video, Netflix, Control de Voz Al",299.99,4.3,3.400,"https://images-eu.ssl-images-amazon.com/images/I/81NuzU2gafL._AC_UL300_SR300,200_.jpg"
B09NMZFDS2,"Funda de tela para Kindle (compatible con el dispositivo de 11.ª generación, modelo de 2022), verde",34.99,4.7,476,"https://images-eu.ssl-images-amazon.com/images/I/61vHSb5WboL._AC_UL300_SR300,200_.jpg"
B09Y13TCNZ,Nuevo Echo Auto (2.ª gen.) | Alexa en tu coche,69.99,3.7,214,"https://images-eu.ssl-images-amazon.com/images/I/41iDlZfmmZL._AC_UL900_SR900,600_.jpg"
B0CGJ5QDBJ,"Echo Dot (5.ª generación, modelo de 2022) con reloj | Blanco + Sengled Smart Plug, compatible con Alexa - Kit de inicio de Ho",79.99,4.7,5.846,"https://images-eu.ssl-images-amazon.com/images/I/61RRq5TmmcL._AC_UL900_SR900,600_.jpg"
B0931VRJT5,"Ring Video Doorbell de Amazon | Vídeo HD 1080p, detección de movimiento avanzada e instalación fácil (2. Gen) | Incluye una p",99.99,4.1,1.830,"https://images-eu.ssl-images-amazon.com/images/I/51Nt0u7zFNL._AC_UL900_SR900,600_.jpg"
B0952WK5YC,Base de carga inalámbrica Made for Amazon para Kindle Paperwhite Signature Edition | Solo compatible con el Kindle Paperwhite,34.99,4.4,2.127,"https://images-eu.ssl-images-amazon.com/images/I/61JLPD1HqaL._AC_UL900_SR900,600_.jpg"
B07X37DT9M,"Blink Mini | Cámara de seguridad inteligente compacta, interior, cableada, vídeo HD 1080p, detección de movimiento, audio bid",34.99,4.1,2.669,"https://images-eu.ssl-images-amazon.com/images/I/31y37iCnqoL._AC_UL900_SR900,600_.jpg"
B0CGJ7J3Q4,"Echo Dot (5.ª generación, modelo de 2022) | Blanco + Sengled Smart Plug, compatible con Alexa - Kit de inicio de Hogar digita",69.99,4.6,11.244,"https://images-eu.ssl-images-amazon.com/images/I/61e4PQD+w9L._AC_UL900_SR900,600_.jpg"
B09XXZZ3RW,"Xiaomi F2 55"" Smart Fire TV 138 cm, 4K Ultra HD, HDR10, Aluminio sin Marcos, Airplay, Prime Video, Netflix, Control de Voz Al",399.99,4.3,3.400,"https://images-eu.ssl-images-amazon.com/images/I/81NuzU2gafL._AC_UL900_SR900,600_.jpg"
B09L45TSYF,"Ring Chime, blanco",35.99,4.6,4.226,"https://images-eu.ssl-images-amazon.com/images/I/51Kpioe7zVL._AC_UL900_SR900,600_.jpg"
B084DWG2VQ,Echo Dot (4.ª generación) | Altavoz inteligente con Alexa | Antracita,0,4.7,40.429,"https://images-eu.ssl-images-amazon.com/images/I/71Q9d6N7xkL._AC_UL900_SR900,600_.jpg"
B08VZR6F2M,"Funda de piel para Kindle Paperwhite de Amazon | Compatible con el Kindle Paperwhite de 11.ª generación (modelo de 2021), Bur",44.99,4.5,1.526,"https://images-eu.ssl-images-amazon.com/images/I/510J2ETslIL._AC_UL900_SR900,600_.jpg"
B084J4QQFT,Echo Dot (4.ª generación) | Altavoz inteligente con Alexa | Azul grisáceo,0,4.7,40.429,"https://images-eu.ssl-images-amazon.com/images/I/71Z2bLQ8NmL._AC_UL900_SR900,600_.jpg"
B08KH2MTSS,"Echo Show 5 (2.ª generación, modelo de 2021) | Pantalla inteligente con Alexa y cámara de 2 MP | Antracita",0,4.6,10.667,"https://images-eu.ssl-images-amazon.com/images/I/71fzcZQlbqS._AC_UL900_SR900,600_.jpg"
B07NQDHC7S,"Echo Studio | Nuestro altavoz inteligente wifi y Bluetooth con mejor sonido hasta la fecha, con audio espacial, Dolby Atmos, ",239.99,4.4,1.588,"https://images-eu.ssl-images-amazon.com/images/I/91Z0cGhaeCL._AC_UL900_SR900,600_.jpg"
B09ZXG6WHN,"Te presentamos el Echo Pop | Altavoz inteligente wifi y Bluetooth con Alexa, de sonido potente y compacto | Verde azulado",54.99,4.6,1.326,"https://images-eu.ssl-images-amazon.com/images/I/718xgICO2KL._AC_UL900_SR900,600_.jpg"
