asin,title,price,rating,num_reviews,img_link
B07RL3H2JB,"HP Elite 8300 - Ordenador de sobremesa (Intel Core i7-3770, 16GB de RAM, Disco SSD 240GB + 500GB HDD, Lector DVD, Windows 10 ",152.00,4.4,881,"https://images-eu.ssl-images-amazon.com/images/I/71+4c3udwZL._AC_UL900_SR900,600_.jpg"
B082DK377L,"Apple iPhone 11, 64GB, Blanco (Reacondicionado)",326.00,4.0,630,"https://images-eu.ssl-images-amazon.com/images/I/71Rp3gUyJUL._AC_UL900_SR900,600_.jpg"
B08PCCZMMR,"Apple iPhone 12, 128GB, Blanco - (Reacondicionado)",439.00,3.7,3.755,"https://images-eu.ssl-images-amazon.com/images/I/711wsjBtWeL._AC_UL900_SR900,600_.jpg"
B0798H46CM,Apple iPhone 8 64GB Gris Espacial (Reacondicionado),153.90,4.1,21.425,"https://images-eu.ssl-images-amazon.com/images/I/51nKwWxRJhL._AC_UL900_SR900,600_.jpg"
B09G98HVFS,Apple iPhone 13 (128 GB) - Rosa,699.00,4.7,9.686,"https://images-eu.ssl-images-amazon.com/images/I/61gnyLP+XsL._AC_UL900_SR900,600_.jpg"
B08PCC2Y59,"Apple iPhone 12 Pro, 256GB, Azul Pacifico - (Reacondicionado)",558.77,4.0,2.888,"https://images-eu.ssl-images-amazon.com/images/I/71LFhwSpBWL._AC_UL900_SR900,600_.jpg"
B09MJTKXY8,"Apple iPhone 13, 128GB, Azul - (Reacondicionado)",575.00,3.9,296,"https://images-eu.ssl-images-amazon.com/images/I/71b+DwdvTrL._AC_UL900_SR900,600_.jpg"
B0798LTQVX,Apple iPhone X 64GB Plata (Reacondicionado),220.00,3.7,11.256,"https://images-eu.ssl-images-amazon.com/images/I/5169A2xUXpL._AC_UL900_SR900,600_.jpg"
B08PCDKD6G,"Apple iPhone 12 mini, 128GB, Negro - (Reacondicionado)",374.88,3.7,2.565,"https://images-eu.ssl-images-amazon.com/images/I/71uuDYxn3XL._AC_UL900_SR900,600_.jpg"
B08D39SX4M,"Apple iPhone SE 2a Generación, 64GB, Negro (Reacondicionado)",169.00,4.0,1.533,"https://images-eu.ssl-images-amazon.com/images/I/61LOT4cFb0L._AC_UL900_SR900,600_.jpg"
B07RBVZLNT,"HP, EliteBook 840 G3, CPU Core i5 2,3 GHz, 8 GB RAM, 256 GB SSD, Windows 10 Pro (Reacondicionado), Ordenador portátil de 14 P",219.00,4.1,78,"https://images-eu.ssl-images-amazon.com/images/I/61Kp9-LgEnL._AC_UL900_SR900,600_.jpg"
