asin,title,price,rating,num_reviews,img_link
B0BQ13M7ZV,"Cecotec Lavadora 9 Kg Carga Frontal Bolero Dresscode 9500 Inverter A. 1900 W, 1400 rpm, Motor Inverter Plus, Bajo Consumo, 16",339.90,4.1,363,"https://images-eu.ssl-images-amazon.com/images/I/61eO1VTkYgL._AC_UL900_SR900,600_.jpg"
B01LW5KJWO,"Balay 3VS572BP Lavavajillas Independiente, 60cm, 13 cubiertos, Blanco, Sin HomeConnect / 3ª bandeja",362.00,4.5,550,"https://images-eu.ssl-images-amazon.com/images/I/616MtFc5-gL._AC_UL900_SR900,600_.jpg"
B07TY6HRL4,"Thlevel Mini Termómetro Digital LCD con Sonda Externa Impermeable para Refrigerador, Congelador, Acuario (4× Negro)",14.49,4.2,6.670,"https://images-eu.ssl-images-amazon.com/images/I/71GyRz+1VtS._AC_UL900_SR900,600_.jpg"
B06W5KYNNG,"WENKO - Placas Cobertoras de Vidrio Universales Lunch, Tapa de Placa Calefactora y Tabla de Cortar para Todo Tipo de Estufas,",28.29,4.6,24.183,"https://images-eu.ssl-images-amazon.com/images/I/71WqEjWnUML._AC_UL900_SR900,600_.jpg"
B08LNMWX28,"Cecotec Minibar GrandCooler 20000 SilentCompress Inox. Capacidad 46 litros, Compresor incorporado, Control de Temperatura reg",99.90,4.0,735,"https://images-eu.ssl-images-amazon.com/images/I/51ma6xeGC-L._AC_UL900_SR900,600_.jpg"
B09JG89W4S,"Ronlap Base para Lavadora de Muebles, Rodillo móvil Ajustable para Muebles para Lavadora, Secadora, congeladorhasta 300 kg, c",24.99,4.0,1.111,"https://images-eu.ssl-images-amazon.com/images/I/51YZ-CM3OZL._AC_UL900_SR900,600_.jpg"
B07XVGMZQH,Beko - Secadora De Evacuación Beko Dv8120N Con Capacidad De 8 Kg,239.00,4.5,297,"https://images-eu.ssl-images-amazon.com/images/I/61eB6Wdj6WL._AC_UL900_SR900,600_.jpg"
B01MTV0JJ2,Recamania Plato Microondas Universal 255 mm de Diámetro.,9.99,4.5,761,"https://images-eu.ssl-images-amazon.com/images/I/51IPfTp-FtL._AC_UL900_SR900,600_.jpg"
B0BWW5MKKS,"W B D WEIBIDA Base con 4 Ruedas con Bloqueo, Ancho Ajustable 40-62cm, Carga 200KG Soporte Lavadora, Plataforma con Ruedas par",35.99,4.3,2.427,"https://images-eu.ssl-images-amazon.com/images/I/51wmyqNsVXL._AC_UL900_SR900,600_.jpg"
B07TZJVHYL,"KICHLY Organizadores para la despensa - Juego de 8 -Compartimentos de almacenamiento para la cocina, despensa, armarios, enci",25.99,4.6,11.598,"https://images-eu.ssl-images-amazon.com/images/I/91-pLApacDL._AC_UL900_SR900,600_.jpg"
B000N4NQZY,Samsung Aqua-Pure HAFEX/EXP DA29-10105J - Filtro de agua para refrigerador,24.26,4.6,3.923,"https://images-eu.ssl-images-amazon.com/images/I/71ZF+YmLDYL._AC_UL900_SR900,600_.jpg"
B0BS72Q8C2,"Hisense WFVB7012EM - Lavadora con Vapor, Carga Frontal 7 Kg, 1200 rpm, 15 Programas, Control de balanceo inteligente del tamb",276.00,4.2,121,"https://images-eu.ssl-images-amazon.com/images/I/81aazqyplIL._AC_UL900_SR900,600_.jpg"
