asin,title,price,rating,num_reviews,img_link
B00VVL9RF6,"Rain-X 14126 Lavaparabrisas anti-lluvia protección -5°C, Fabricado en España, Repelente lluvia, Parabrisas, 5 litros",6.99,4.6,4.568,"https://images-eu.ssl-images-amazon.com/images/I/81cmsOsPHRL._AC_UL900_SR900,600_.jpg"
B002B552T6,"Bosch Incandescente H7 Pure Light Lámpara para faros, 12 V 55 W PX26d, Lámpara x1, Blanco",5.92,4.4,8.027,"https://images-eu.ssl-images-amazon.com/images/I/61-vaSIaPyL._AC_UL900_SR900,600_.jpg"
B07KGJLSKS,"WD-40 Producto Multi-Uso- Spray 400ml-Lubrica, Afloja, Protege del óxido, Dieléctrico, Limpia metales y plásticos y Desplaza ",9.95,4.7,2.017,"https://images-eu.ssl-images-amazon.com/images/I/71-aznbBq9L._AC_UL900_SR900,600_.jpg"
B00L2ICTMG,Krafft Anticongelante Coche CC-Energy Plus 50% (G12+) Líquido Refrigerante Violeta 5 Litros,12.57,4.6,1.572,"https://images-eu.ssl-images-amazon.com/images/I/812m496vQ8L._AC_UL900_SR900,600_.jpg"
B09V7G2XLQ,"Maizjok Funda Moto Impermeable, Protector Cubierta Moto Exterior, 210D Poliéster Funda Cubre Moto con Tiras Reflectantes, Uni",19.99,4.6,6.773,"https://images-eu.ssl-images-amazon.com/images/I/51MHnHYN7zL._AC_UL900_SR900,600_.jpg"
B0C49VVN6Q,Goodyear Tratamiento Anticristalizante de la Urea para Sistemas AdBlue con Dosificador Pro Additives. Aditivo de AdBlue 250 m,11.99,4.3,2.968,"https://images-eu.ssl-images-amazon.com/images/I/613N8OnmvuL._AC_UL900_SR900,600_.jpg"
B0C4YM8J7W,"𝐍𝐮𝐞𝐯𝐨 𝟐𝟎𝟐𝟑 Xiaomi Mijia Compresor Aire Portatil 2, Inflador 150 PSI 6 Modos con Recargable de 2000 mAh, Compresor Ai",49.97,4.6,764,"https://images-eu.ssl-images-amazon.com/images/I/61fwH44Q5uL._AC_UL900_SR900,600_.jpg"
B09J5HCLL7,MOTUL Anti Humos Diesel,9.69,4.3,3.470,"https://images-eu.ssl-images-amazon.com/images/I/71JYZphqfML._AC_UL900_SR900,600_.jpg"
B0972N2YS8,"BRPOM Arrancador de Baterias de Coches,2000A 21800mAh 12V(para 8.0L de Gasolina o 6.5L de Diésel), Carga Rápida QC3.0,Espera ",69.99,4.3,2.019,"https://images-eu.ssl-images-amazon.com/images/I/61mTLDVJfaL._AC_UL900_SR900,600_.jpg"
B0C813PVBZ,Castrol EDGE 5W-30 LL Aceite de Motor 5L,45.99,4.8,30.864,"https://images-eu.ssl-images-amazon.com/images/I/81HwaxSMtaL._AC_UL900_SR900,600_.jpg"
