asin,title,price,rating,num_reviews,img_link
B0933ZMS6Q,"Dodot Toallitas Aqua Pure para Bebé, 99% Agua, 1.296 Toallitas Bebé, 27 Paquetes (27x48)",46.12,4.9,1.568,"https://images-eu.ssl-images-amazon.com/images/I/71YHuy91zzL._AC_UL900_SR900,600_.jpg"
B0BVMM5L8N,"Dodot Pañales Bebé Sensitive Talla 4 (9-14kg), 172 Pañales +  4 Pants Gratis, Óptima Protección de la Piel de Dodot, Pack Men",54.67,4.6,136,"https://images-eu.ssl-images-amazon.com/images/I/81gqCCzKhiL._AC_UL900_SR900,600_.jpg"
B07N7YWHSB,"Dodot Pañales Bebé-Seco Talla 4 (9-14 kg), 256 Pañales con Protección Antifugas, Pack Mensual",64.22,4.7,3.066,"https://images-eu.ssl-images-amazon.com/images/I/71pghMybEvL._AC_UL900_SR900,600_.jpg"
B08MXT5VDK,"WaterWipes - Toallitas húmedas Originales sin plástico para bebés 540 unidades (9 paquetes), formuladas con un 99,9 % de agua",23.11,4.7,20.325,"https://images-eu.ssl-images-amazon.com/images/I/71gsIBWydLL._AC_UL900_SR900,600_.jpg"
B07NW6WMGD,"Dodot Toallitas Aqua Pure para Bebé, 99% Agua, 432 Unidades, ( Paquete de 9 x48)",21.00,4.8,7.802,"https://images-eu.ssl-images-amazon.com/images/I/81O7quJJwcL._AC_UL900_SR900,600_.jpg"
B0BJ2WN2F4,"molis&co. Saco de Dormir con pies, Mangas Desmontables y Calcetines. TOG 2.5. 1 año. Ideal para Entretiempo e Invierno. Mint ",42.95,4.7,91,"https://images-eu.ssl-images-amazon.com/images/I/61fMD2nTMmL._AC_UL900_SR900,600_.jpg"
B0857VM1FS,"Dodot Toallitas Aqua Pure para Bebé, 99% Agua, 864 Toallitas, 18 Paquetes (14+4 Gratis)",48.99,4.8,10.468,"https://images-eu.ssl-images-amazon.com/images/I/81nKn4oxkML._AC_UL900_SR900,600_.jpg"
B07M98CG63,"Dodot Pañales Bebé Sensitive Talla 3 (6-10 kg), 224 Pañales + 1 Pack de 40 Toallitas Gratis Cuidado Total Aqua, Óptima Protec",80.49,4.7,4.057,"https://images-eu.ssl-images-amazon.com/images/I/816enoyH-TL._AC_UL900_SR900,600_.jpg"
B09MCHYYMQ,"2 Pcs Aspirador Nasal Bebes, Aspiradores Nasales, Silicona limpiador de Nariz Seguro 10 ml, Reutilizable de Irrigador Nasal p",4.89,4.7,5.266,"https://images-eu.ssl-images-amazon.com/images/I/51mtS9+V18L._AC_UL900_SR900,600_.jpg"
B00BN8JUCC,Weleda Crema Pañal de Caléndula (1x 75 ml) (9831EN),7.24,4.8,12.915,"https://images-eu.ssl-images-amazon.com/images/I/612+V0IjqnL._AC_UL900_SR900,600_.jpg"
B08JD7BVG1,molis&co. Saco de Dormir con pies. 2.5 TOG. Talla 2 años. Ideal para Entretiempo e Invierno. Suave y cálido. Grey Print. 100%,31.95,4.8,2.330,"https://images-eu.ssl-images-amazon.com/images/I/71EjVBddI8L._AC_UL900_SR900,600_.jpg"
B07L6314TK,"Dodot Pañales Bebé Activity Talla 4 (9-14 kg), 192 Pañales con Ajuste Más Resistente",71.59,4.7,4.491,"https://images-eu.ssl-images-amazon.com/images/I/61FMuzqDcJL._AC_UL900_SR900,600_.jpg"
B09G35H1JW,"Dodot Pañales Bebé Pants Talla 5 (12-17 kg), 180 Pañales, Pañal-Braguita con Ajuste 360° Anti-Fugas, Pack Mensual",71.94,4.6,1.971,"https://images-eu.ssl-images-amazon.com/images/I/71+lfJUwn+L._AC_UL900_SR900,600_.jpg"
B00GY32L1I,"Chelino, Talla 6, 27 pañales",6.95,4.3,2.736,"https://images-eu.ssl-images-amazon.com/images/I/71F6-LDsz1L._AC_UL900_SR900,600_.jpg"
B082N3CB8G,"Dodot Toallitas Sensitive para Bebé, Óptima Protección para la Piel de Dodot, 810 Toallitas, 15 Paquete (15x54)",33.71,4.7,7.796,"https://images-eu.ssl-images-amazon.com/images/I/81lVdgPo7mL._AC_UL900_SR900,600_.jpg"
B0111AIZ68,Huggies Pure Toallitas para Bebé - 18 paquetes de 56 unidades (1008 Toallitas),27.90,4.4,5.852,"https://images-eu.ssl-images-amazon.com/images/I/91iLCXla11L._AC_UL900_SR900,600_.jpg"
B0BX78DRSQ,"Suavinex, Chupete Todo Silicona, para Bebés 0/6 Meses, Chupete con Tetina Fisiológica Sx Pro, Súper Blandito y Flexible, Idea",6.99,4.7,875,"https://images-eu.ssl-images-amazon.com/images/I/51ulX7ydwiL._AC_UL900_SR900,600_.jpg"
B0BWFNW2BB,"Philips Avent Tetina de biberón Natural Response: 2 tetinas de biberón de flujo 5 para bebés a partir de 6 mes, sin BPA (mode",7.49,4.6,1.333,"https://images-eu.ssl-images-amazon.com/images/I/61dWFiIH+uL._AC_UL900_SR900,600_.jpg"
B07M98CL6Y,"Dodot Pañales Bebé Sensitive Talla 4 (9-14 kg), 192 Pañales, Óptima Protección de la Piel de Dodot, Pack Mensual",80.99,4.7,2.098,"https://images-eu.ssl-images-amazon.com/images/I/81eJHQWCgVL._AC_UL900_SR900,600_.jpg"
B01ELDJ4FI,"Indasbed Basic Protector Cama, 60 x 90 cm - Color Blanco, 20 Unidades (Paquete de 1)",0,4.6,4.115,"https://images-eu.ssl-images-amazon.com/images/I/71VNXTNsvOS._AC_UL900_SR900,600_.jpg"
B00WE5ZS2E,"Huggies Natural Care - Toallitas para bebé, 56 Unidades ( Paquete de 10) Total - 560 Toallitas",14.83,4.5,4.204,"https://images-eu.ssl-images-amazon.com/images/I/71dLNNFGDIL._AC_UL900_SR900,600_.jpg"
B00K2Y8WWC,"Champú para cabello y cuerpo Weleda Calendula Baby, 200 ml (Paquete de 1) (el envase puede variar)",8.99,4.8,9.694,"https://images-eu.ssl-images-amazon.com/images/I/71UcfCaO2yL._AC_UL900_SR900,600_.jpg"
B07M8YFZH5,"Dodot Pañales Bebé Sensitive Talla 5 (11-16 kg), 168 Pañales + 4 Pants Gratis, Óptima Protección de la Piel de Dodot, paquete",79.99,4.7,783,"https://images-eu.ssl-images-amazon.com/images/I/81wK6ATmt5L._AC_UL900_SR900,600_.jpg"
B08HDGKR5B,"Medela Purelan 37g Crema de Lanolina para Pezones, Alivio rápido para pezones doloridos y piel seca, 100% natural, hipoalergé",9.90,4.7,5.983,"https://images-eu.ssl-images-amazon.com/images/I/71T6edeHMPL._AC_UL900_SR900,600_.jpg"
B0816ZBB9P,VegMai®[20 Unidades] Protector Enchufes Seguridad Infantil Con Mecanismo De Giro Y Adhesivo 3M Ideal Para Bebes Niños Y Peque,5.99,4.3,2.878,"https://images-eu.ssl-images-amazon.com/images/I/51K3My-7XEL._AC_UL900_SR900,600_.jpg"
B085LQQ6MT,"Marca Amazon - Mama Bear Toallitas para bebés sensibles, Sin fragancia, 1008 Unidad, 18 Paquetes de 56",18.61,4.2,13.373,"https://images-eu.ssl-images-amazon.com/images/I/71oDpEBKOsL._AC_UL900_SR900,600_.jpg"
B0761VGQ4P,"Dodot Toallitas Para Bebé 4 Paquetes, 256 Toallitas",5.99,4.6,1.021,"https://images-eu.ssl-images-amazon.com/images/I/71OgPDUBjSL._AC_UL900_SR900,600_.jpg"
B01231XSAM,"Huggies Pure Toallitas para bebé - 672 Toallitas, 672 unidad, 12",19.99,4.5,4.642,"https://images-eu.ssl-images-amazon.com/images/I/716BUOXnI4L._AC_UL900_SR900,600_.jpg"
B07J2JQP9N,"Suavinex Zero Zero - Biberón Anticólico, con Tetina de Flujo Lento (S) de Silicona, +0 Meses, Biberón para Recién Nacidos, co",12.58,4.6,4.273,"https://images-eu.ssl-images-amazon.com/images/I/51idU8L2RIL._AC_UL900_SR900,600_.jpg"
B07Q7557DY,"Medela Discos absorbentes desechables Safe & Dry Ultra thin, Discos de lactancia finos y muy absorbentes, paquete de 60 disco",6.90,4.5,1.493,"https://images-eu.ssl-images-amazon.com/images/I/716QvbdgmeL._AC_UL900_SR900,600_.jpg"
B00PG318PW,"MAM Tetina Número X Especial Cereales Flujo Rápido A105 - Tetina de Silicona Skinsoft Tm Ultrasuave, para Bebés a partir de 6",8.85,4.8,3.662,"https://images-eu.ssl-images-amazon.com/images/I/41z1tfFdSwS._AC_UL300_SR300,200_.jpg"
B075X4BTZ9,"Medela pack de bolsas de almacenamiento de leche materna de 180 ml, paquete de 50 bolsas de recogida de leche materna sin BPA",14.90,4.8,5.743,"https://images-eu.ssl-images-amazon.com/images/I/71B7uenblWL._AC_UL300_SR300,200_.jpg"
B06Y34XPVQ,"Eryplast Pasta al Agua 2x125gr Pack Ahorro 2ªunidad 40%dto - Crema de Pañal para Bebé. Calma, Cuida y Protege la Piel contra ",21.10,4.8,2.203,"https://images-eu.ssl-images-amazon.com/images/I/71REUrWFfiL._AC_UL300_SR300,200_.jpg"
B07XC12JX1,Babybaño Esponja Jabonosa Desechable para Bebés y Niños de 0 a 3 Años. Esponja de Baño de Un Solo Uso con Gel Pediátrico y De,3.45,4.6,2.520,"https://images-eu.ssl-images-amazon.com/images/I/71SwYzUaLyL._AC_UL300_SR300,200_.jpg"
B0B8PBF61V,molis&co. Saco de dormir con pies y calcetines. 2.5 TOG. Talla: 1 año. Ideal para Entretiempo e Invierno. Vichy Beige. 100% a,35.95,4.6,680,"https://images-eu.ssl-images-amazon.com/images/I/61wqRFudoeL._AC_UL300_SR300,200_.jpg"
B005YNOXW4,Crema Culito Bebe - Bepanthol Bebé Pomada Protectora con Pro-Vitamina B5 - Crema para Irritaciones - Crema Pañal - Crema Bebe,9.11,4.8,1.391,"https://images-eu.ssl-images-amazon.com/images/I/71C1roY0HJL._AC_UL300_SR300,200_.jpg"
B084N3VCDD,"Marca Amazon - Mama Bear Pañales ultra-secos, Talla 6 (15+ kg), Con canales, Bianco, 140 Unidad (2 Paquetes de 70) - Nueva ve",38.98,4.2,9.634,"https://images-eu.ssl-images-amazon.com/images/I/61Su+P+oiGL._AC_UL300_SR300,200_.jpg"
B0BWFN9QCB,"Philips Avent Biberón Natural Response: biberón de 260 ml con sistema AirFree, sin BPA, para recién nacidos a partir de 1 mes",10.39,4.6,539,"https://images-eu.ssl-images-amazon.com/images/I/610A3ibhBkL._AC_UL300_SR300,200_.jpg"
B0916SLRWS,"Chelino Nature Pañal Infantil Talla 4 (9-15 kg), 204 Pañales",44.58,4.3,667,"https://images-eu.ssl-images-amazon.com/images/I/71AvDnDS+sL._AC_UL300_SR300,200_.jpg"
B01FCMV5RM,Onco Espejo Coche Bebé Asiento Trasero - 100% a Prueba de Roturas - Conduce Seguro y Observa a Tu Hijo - Accesorios Esenciale,16.99,4.6,23.954,"https://images-eu.ssl-images-amazon.com/images/I/81ULbS5KwvL._AC_UL300_SR300,200_.jpg"
B09TTG83VL,molis&co. Saco de dormir con pies. 1.0 TOG. 2 años. Ideal para primavera y otoño. Ines II. 100% algodón.,31.95,4.8,1.237,"https://images-eu.ssl-images-amazon.com/images/I/71qjJat5XuL._AC_UL300_SR300,200_.jpg"
B09LTXL9RP,"CaiTang (2 Unidades) Lavado Nasal Bebe, Lavado Nasal Niños, Irrigador Nasal Bebe, Seguro y Cómodo, No Tóxico y Sin Sabor, Pun",3.99,4.7,1.507,"https://images-eu.ssl-images-amazon.com/images/I/61Ucdp1xUzL._AC_UL300_SR300,200_.jpg"
B0BHDD99MR,"Saco Silla Paseo Universal, saco invierno silla paseo universal, Desmontable con cremallera, cabezal ajustable,impermeable y ",34.95,4.5,384,"https://images-eu.ssl-images-amazon.com/images/I/61D+Jt3iZyL._AC_UL300_SR300,200_.jpg"
B0976Z2GMQ,"Dodot Pañales Bebé Sensitive Talla 2 (4-8 kg), 198 Pañales + 1 Pack de 40 Toallitas Gratis Cuidado Total Aqua, Absorción y Pr",0,4.6,31,"https://images-eu.ssl-images-amazon.com/images/I/81SQzb4ISNL._AC_UL300_SR300,200_.jpg"
B08CVLNTTD,"CCLIFE Alfombra de Juegos Reversible, Colchoneta Infantil de Juegos Plegable, de XPE, Impermeable, No tóxico",29.98,4.6,3.601,"https://images-eu.ssl-images-amazon.com/images/I/91XdD7052zS._AC_UL300_SR300,200_.jpg"
B08ZKLHHK2,"Tommee Tippee Recambios para Contenedor para Pañales Avanzado Twist and Click, Película Greenfilm Antibacteriana y Sostenible",39.50,4.5,4.811,"https://images-eu.ssl-images-amazon.com/images/I/718GiDS+pnL._AC_UL300_SR300,200_.jpg"
B07XD2MRGT,"Mosebears Saco de Dormir para bebé - 2.5 TOG Saco de Dormir de Algodón Unisex para Bebés,con Mangas extraíbles, 18 – 36 Meses",29.99,4.6,1.940,"https://images-eu.ssl-images-amazon.com/images/I/61CE+9leD0L._AC_UL300_SR300,200_.jpg"
B0BZCTL1YH,"20PCS Protector Esquinas para Bebe, Cantoneras de Muebles, Kit Seguridad para Hogar, Súper Pegamento Modificado.",6.44,4.4,429,"https://images-eu.ssl-images-amazon.com/images/I/71f0UIi2I-L._AC_UL300_SR300,200_.jpg"
B0963QRDGY,"BillyBath Seguridad Puertas Niños 10pcs, Cierre Seguridad Cajones Bebe Protector Cierres Para Armarios, Wc, Cocinas, Puertas ",9.99,4.1,1.128,"https://images-eu.ssl-images-amazon.com/images/I/613HM-4cVpL._AC_UL300_SR300,200_.jpg"
B098XHYL54,"Edibaby, Alfombra Bebe, 1.5cm Grosor, Diseño Infantil, 200 x 180 cm, Acolchada de XPE, Reversible y Plegable, Colchoneta para",39.99,4.7,1.117,"https://images-eu.ssl-images-amazon.com/images/I/71qNWgg+qsL._AC_UL300_SR300,200_.jpg"
B07RN7PWFL,"Dodot Pañales Bebé Sensitive 117 Pañales + 4 Pants Activity Extra Gratis, Óptima Protección de la Piel de Dodot, Pack Mensual",59.99,4.6,501,"https://images-eu.ssl-images-amazon.com/images/I/816HLBkvxlL._AC_UL900_SR900,600_.jpg"
B07RLDS6RS,"Dodot Pañales Bebé Activity Pants Talla 4 (9-15 kg), 135 Pañales + 1 Pack de 48 Toallitas Gratis Aqua Pure, Pack Mensual",76.99,4.5,1.233,"https://images-eu.ssl-images-amazon.com/images/I/815Fw7O-rlL._AC_UL900_SR900,600_.jpg"
B0158YQYWU,"Munchkin Vaso de Aprendizaje para Bebé y Niños Pequeños, Vaso Infantil 360° con Asas, Vaso Antiderrame Libre de BPA para Bebé",9.95,4.7,32.174,"https://images-eu.ssl-images-amazon.com/images/I/614WuK-v0lL._AC_UL900_SR900,600_.jpg"
B099NHHZHB,"Dodot Pañales Bebé Cuidado Total Talla 4 (9-14 kg), 120 Pañales, Suave Protección de la Piel con Ingredientes de Origen Veget",62.94,4.7,1.309,"https://images-eu.ssl-images-amazon.com/images/I/61tPkEEsKTL._AC_UL900_SR900,600_.jpg"
B091T8WFCW,"Nuliie 120 Uds Bolsas Almacenamiento de Leche Pre-esterilizadas, 250ml Bolsa Para Leche Materna con Boquilla Dispensadora, Li",18.99,4.7,6.255,"https://images-eu.ssl-images-amazon.com/images/I/61EWTaRhXsL._AC_UL900_SR900,600_.jpg"
B07YCFDKGD,"Suavinex Pack Tetina Biberón Zero-Zero Anticólicos, Flujo Denso (L), 2 unidades, +6 meses",9.99,4.6,1.287,"https://images-eu.ssl-images-amazon.com/images/I/41q4efGARyL._AC_UL900_SR900,600_.jpg"
B09QY9T9HZ,"Suavinex, Chupete recién nacido Zero Zero con Tetina Fisiológica SX Pro para Bebés 0 a 6 Meses, Hipoalergénico, Apto para Pie",9.07,4.6,946,"https://images-eu.ssl-images-amazon.com/images/I/41vQvFMf3eL._AC_UL900_SR900,600_.jpg"
B00CULLWN6,WELEDA Crema Facial de Caléndula (1x 50 ml),6.55,4.7,4.094,"https://images-eu.ssl-images-amazon.com/images/I/61hlcI8lUCL._AC_UL900_SR900,600_.jpg"
B0CD1Q2CZV,"LILLYDOO Pañales hipoalergénicos, tamaño 1 (2-5 kg), caja de medio mes (112 pañales) (FSC Mix) nuevo",34.49,4.2,1.404,"https://images-eu.ssl-images-amazon.com/images/I/715Wdt45wJL._AC_UL900_SR900,600_.jpg"
B00BJL9W26,"Rhinomer Baby Spray Nasal 100% Agua de Mar de Origen Natural, Fuerza Extra Suave Para Bebés, 115 ml",8.99,4.7,2.477,"https://images-eu.ssl-images-amazon.com/images/I/81qufVmYpmL._AC_UL900_SR900,600_.jpg"
B009SM6M0I,Mitosyl - Crema de pañal protectora - Previene y trata las irritaciones de la piel del bebé por rozaduras del pañal - 145gr,15.89,4.8,1.528,"https://images-eu.ssl-images-amazon.com/images/I/61xxj5ktrsL._AC_UL900_SR900,600_.jpg"
B09GPJHCQL,"Dodot Toallitas Pure Aqua para Bebé, 99% Agua, 100% Fibras de Origen Vegetal, 864 Toallitas, 18 Paquetes (18 X 48)",42.80,4.7,1.756,"https://images-eu.ssl-images-amazon.com/images/I/81r0EMH1YiL._AC_UL900_SR900,600_.jpg"
B08MXSB38G,"WaterWipes - Toallitas húmedas Texturizadas sin plástico para bebés 720 unidades (12 paquetes), formuladas con un 99,9 % de a",37.33,4.7,1.390,"https://images-eu.ssl-images-amazon.com/images/I/61Li5mpXDtL._AC_UL900_SR900,600_.jpg"
B07S7MYDGC,"Johnson's Baby, Champú Gotas de Brillo para Niños, Con Aceite de Argán, Cabello Brillante, Suave y Sedoso, 500 ml",3.95,4.6,1.105,"https://images-eu.ssl-images-amazon.com/images/I/71+gXSpLo2L._AC_UL900_SR900,600_.jpg"
B0BGP7P6H9,"Dodot Pañales Bebé Sensitive Talla 2 (4-8 kg), 273 Pañales + 1 Pack de 40 Toallitas Gratis Aqua Plastic Free, Óptima Protecci",0,4.8,507,"https://images-eu.ssl-images-amazon.com/images/I/81imis+0ViL._AC_UL900_SR900,600_.jpg"
B07Y248D3S,Lictin 5 Pcs Babero con Mangas Impermeable- Babero de Manga Larga con Escote Ajustable para Bebes (0-24 meses),11.99,4.3,2.137,"https://images-eu.ssl-images-amazon.com/images/I/611JEsLmHIL._AC_UL900_SR900,600_.jpg"
