asin,title,price,rating,num_reviews,img_link
B076611KCY,"60ml. Bio Sérum Facial con Vitamina C, E y Ácido Hyalurónico - Suero Hidratante, Antiarrugas y Antimanchas para la Cara - Veg",9.99,4.3,103.806,"https://images-eu.ssl-images-amazon.com/images/I/71R74HqdTuL._AC_UL900_SR900,600_.jpg"
B09D89HD14,"Revlon Professional UniqOne Protector Térmico Cabello, Acondicionador Pelo, Tratamiento Hidratante para el Pelo en Spray sin ",7.75,4.5,71.194,"https://images-eu.ssl-images-amazon.com/images/I/51LE4hA-O8L._AC_UL900_SR900,600_.jpg"
B00KLXFUW4,"Maybelline New York, Corrector de Ojeras, Bolsas e Imperfecciones, Con Bayas de Goji y Haloxyl, Tono: 01 Light, 6.8 ml",6.99,4.4,24.163,"https://images-eu.ssl-images-amazon.com/images/I/71xAi67IvoL._AC_UL900_SR900,600_.jpg"
B08P4YPB8Q,"Maybelline New York, Máscara de Pestañas Lash Sensational Sky High, Longitud sin Límites y Volumen Redefinido, Negro",8.26,4.2,32.369,"https://images-eu.ssl-images-amazon.com/images/I/71tRm00XrOL._AC_UL900_SR900,600_.jpg"
B09697WX16,"Just For Men Control GX Champú Y Tinte de Pelo para Hombre, Reduce El Cabello Gris en Cada Lavado, Con Aceite De Coco Y Aloe ",8.98,3.7,2.787,"https://images-eu.ssl-images-amazon.com/images/I/71TH1Hds0WS._AC_UL900_SR900,600_.jpg"
B001KYYFLK,LANCASTER EAU DE LANCASTER - Desodorante en crema para hombre y mujer - Para todo tipo de pieles - 125 ml (Paquete de 1),6.95,4.7,6.838,"https://images-eu.ssl-images-amazon.com/images/I/71juzbPhM5L._AC_UL900_SR900,600_.jpg"
B08QHXD2SK,Olistic for WOMEN - 28 Ampollas de Tratamiento Anticaída Cabello para Mujer - Fortalece las Fibras Capilares y ayuda a preven,49.00,4.2,689,"https://images-eu.ssl-images-amazon.com/images/I/51pN5A6XY8L._AC_UL900_SR900,600_.jpg"
B003Q3FPR6,"Trofolastin - Crema Antiestrías, Previene y Reduce la Formación de Estrías - Embarazo, Adolescentes y deportistas - 250 ml (P",21.02,4.6,3.897,"https://images-eu.ssl-images-amazon.com/images/I/71RosgINX8S._AC_UL900_SR900,600_.jpg"
B07K1BW1XY,"Montblanc, Agua fresca - 100 ml",0,4.4,14.131,"https://images-eu.ssl-images-amazon.com/images/I/71FjM05EZ3L._AC_UL900_SR900,600_.jpg"
B0BG93CTZZ,H&S Champú Anticaspa Menthol Fresh - Para Cuero Cabelludo Sensible/con Picor - 2x1000 ml,16.75,4.8,382,"https://images-eu.ssl-images-amazon.com/images/I/81erqYi9fuL._AC_UL900_SR900,600_.jpg"
B089KKCQRQ,"Sanytol con Protección Total Contra Agentes Externos, Jabón de Manos Hidratante, Aloe Vera, 250 Ml",0,4.4,479,"https://images-eu.ssl-images-amazon.com/images/I/71qDN56nvmL._AC_UL900_SR900,600_.jpg"
B0BTYZBRJK,"Pantene Repara Y Protege Nutri Pro-V, Champú Fórmula Pro-V + Antioxidantes, 1000ML + Acondicionador, Fortalece Desde El Inter",14.90,4.7,361,"https://images-eu.ssl-images-amazon.com/images/I/81+N7SQyNuL._AC_UL900_SR900,600_.jpg"
B01N39SZ87,"Remington Secador de Pelo Pequeño Compact, Secador de Viaje, Plegable, 2000 W, Concentrado, Difusor Compacto, 3 Temperaturas,",14.99,4.5,7.415,"https://images-eu.ssl-images-amazon.com/images/I/51iPzRzptIL._AC_UL900_SR900,600_.jpg"
B00XAFF386,"NIVEA MEN Hyaluron Crema Hidratante Antiedad FP15 (1 x 50 ml), cuidado facial avanzado para hombre, hidratante antiedad para ",9.86,4.5,3.028,"https://images-eu.ssl-images-amazon.com/images/I/81k-zNcruUL._AC_UL900_SR900,600_.jpg"
B097WL6QWT,"L'Oreal Paris Make-up Designer Maquillaje Sérum Con Color Accord Parfait, Color 2-3 Light, 1 Unidad (Paquete de 1)",10.74,4.5,4.539,"https://images-eu.ssl-images-amazon.com/images/I/61F+x+2DjvL._AC_UL900_SR900,600_.jpg"
B073PD6YRQ,Philips OneBlade 3 Cuchillas de Recambio de Acero Inoxidable compatibles con todas las Maquinillas de Afeitar Eléctricas OneB,31.85,4.7,69.268,"https://images-eu.ssl-images-amazon.com/images/I/71dqJXEcEWL._AC_UL900_SR900,600_.jpg"
B00X9W8Y18,"L'Oréal Crema hidratante para hombre, Antiarrugas y antienvejecimiento, Con ácido hialurónico hidratante para el envejecimien",8.87,4.4,5.969,"https://images-eu.ssl-images-amazon.com/images/I/61ChnrSgodL._AC_UL900_SR900,600_.jpg"
B07PZ2H67L,"Beter - Cepillo de pelo esqueleto antitirones Natural Fiber hecho a base de fibras de trigo, Cepillo Desenredante Antienredos",5.35,4.5,5.577,"https://images-eu.ssl-images-amazon.com/images/I/51URwabo6iL._AC_UL900_SR900,600_.jpg"
B08B21PRLM,"L'Oréal Paris Sérum Antiarrugas con Ácido Hialurónico Puro Revitalift Filler. Hidrata, Recupera Volumen y elasticidad. Textur",14.90,4.5,3.386,"https://images-eu.ssl-images-amazon.com/images/I/61Y3gRbY9EL._AC_UL900_SR900,600_.jpg"
B00MXZJ362,"OGX, Champú Sin sulfatos ni Parabenos, Con Biotina y Colágeno, Para pelo fino y delgado, Favorece el Crecimiento de un pelo m",5.90,4.2,18.505,"https://images-eu.ssl-images-amazon.com/images/I/71ibAdglTDL._AC_UL900_SR900,600_.jpg"
B079RRVLGQ,"Philips Beardtrimmer Serie 3000, Barbero Recortadora de Barba con Tecnología Lift & Trim (modelo BT3206/14)",15.98,4.4,7.859,"https://images-eu.ssl-images-amazon.com/images/I/71fh+miD0ML._AC_UL900_SR900,600_.jpg"
B00GSUCEJ6,"ESSENCE I Love Extreme Crazy Volume máscara de pestañas, negro.",2.75,4.4,11.085,"https://images-eu.ssl-images-amazon.com/images/I/71quzEaHYeL._AC_UL900_SR900,600_.jpg"
B0007CXWC4,"American Crew Fiber Cera Pelo Hombre, Moldeadora, Fijación Fuerte y Brillo Suave",12.80,4.3,77.081,"https://images-eu.ssl-images-amazon.com/images/I/71a+HMSZIUL._AC_UL900_SR900,600_.jpg"
B01HGLUJGA,"Bio-Oil Aceite para el Cuidade de la Piel, Fresh, 200 Mililitross",13.20,4.7,5.820,"https://images-eu.ssl-images-amazon.com/images/I/61wrKCBYJeL._AC_UL900_SR900,600_.jpg"
B01MDOJGDK,"Neutrogena, Hydro Boost Gel de Agua Limpiador Facial, Ácido Hialurónico, Desmaquillante, para impurezas y grasas, Hidratación",7.00,4.6,13.994,"https://images-eu.ssl-images-amazon.com/images/I/61swsCPrGOL._AC_UL900_SR900,600_.jpg"
B081SCKXZQ,"Válquer Profesional Oxidante en Crema 20 Vol (6%), Agua oxigenada para tintes, Coloración capilar permanente - 75 ml",0.95,4.5,5.579,"https://images-eu.ssl-images-amazon.com/images/I/41DhGwOPt9L._AC_UL900_SR900,600_.jpg"
