asin,title,price,rating,num_reviews,img_link
8408282336,Tu cerebro tiene hambre: 5 grandes cambios que te ayudarán a perder grasa y ganar salud (No Ficción),19.90,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/71UUcV3aSeL._AC_UL900_SR900,600_.jpg"
8469640402,El Lirio Blanco (Astérix),9.97,4.8,24,"https://images-eu.ssl-images-amazon.com/images/I/71MqbEgc3WL._AC_UL900_SR900,600_.jpg"
8419421138,Las luces de febrero (Meses a tu lado 4) (Wattpad),17.05,4.5,8,"https://images-eu.ssl-images-amazon.com/images/I/817KaWeQ-vL._AC_UL900_SR900,600_.jpg"
8418118032,"Hábitos atómicos: Cambios pequeños, resultados extraordinarios (Autoconocimiento)",18.90,4.6,6.891,"https://images-eu.ssl-images-amazon.com/images/I/71prwdyuE7L._AC_UL900_SR900,600_.jpg"
8448858298,Peppa Pig. Libro juguete - Mi calendario de adviento: Incluye 24 libros para que niños y niñas cuenten los días que quedan pa,10.40,4.7,166,"https://images-eu.ssl-images-amazon.com/images/I/81PB8a5E5BL._AC_UL900_SR900,600_.jpg"
8419521493,"S. El barco de Teseo. De J. J. Abrams, el genial creador de universos como Lost y Star Wars",46.55,5.0,9,"https://images-eu.ssl-images-amazon.com/images/I/51nzMdgpSPL._AC_UL900_SR900,600_.jpg"
8412658795,Dios - La ciencia - Las pruebas: El albor de una revolución (Ensayos),23.65,4.3,66,"https://images-eu.ssl-images-amazon.com/images/I/81bA55bMxKL._AC_UL900_SR900,600_.jpg"
8467053305,"Cómo hacer que te pasen cosas buenas: Entiende tu cerebro, gestiona tus emociones, mejora tu vida (SIN COLECCION) Español",18.90,4.6,11.907,"https://images-eu.ssl-images-amazon.com/images/I/6177q+2bb0L._AC_UL900_SR900,600_.jpg"
841894532X,"Amigos, amantes y aquello tan terrible (Contraluz)",21.37,4.4,259,"https://images-eu.ssl-images-amazon.com/images/I/61rAQlAtTzL._AC_UL900_SR900,600_.jpg"
8420476366,El problema final (Hispánica),20.80,4.0,2.381,"https://images-eu.ssl-images-amazon.com/images/I/91a24otHDHL._AC_UL900_SR900,600_.jpg"
8466676562,Maldita Roma (Serie Julio César 2): La conquista del poder de Julio César (Histórica),23.65,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/81fh0koiVTL._AC_UL900_SR900,600_.jpg"
8408280171,Las hijas de la criada: Premio Planeta 2023 (Autores Españoles e Iberoamericanos),21.75,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/81gljyRLiOL._AC_UL900_SR900,600_.jpg"
B0CFZC8PQS,Léeme cuando me necesites,6.24,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/41Jx1o7EdHL._AC_UL900_SR900,600_.jpg"
8419275204,Harry Potter y el prisionero de Azkaban (Harry Potter [edición MinaLima] 3),37.95,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/91ZVeROJGyL._AC_UL900_SR900,600_.jpg"
8449333733,Destroza este diario. Ahora a todo color (Libros Singulares),11.35,4.7,3.954,"https://images-eu.ssl-images-amazon.com/images/I/91W-zMfhy6L._AC_UL900_SR900,600_.jpg"
B0CH2M97X3,Calendario de Adviento Escape Room: Libro para adultos con 24 enigmas interactivos para resolver antes de Navidad,12.99,4.1,5,"https://images-eu.ssl-images-amazon.com/images/I/61aEjuBfd4L._AC_UL900_SR900,600_.jpg"
846667568X,Todo vuelve (Todo arde 2) (Universo Reina Roja),21.75,4.5,819,"https://images-eu.ssl-images-amazon.com/images/I/71QK1Kz1syL._AC_UL900_SR900,600_.jpg"
8448038975,"La chica del verano, versión en español",18.90,4.8,1.260,"https://images-eu.ssl-images-amazon.com/images/I/81XD6YKPN3L._AC_UL900_SR900,600_.jpg"
8497778219,Piense y hágase rico (Éxito),6.60,4.5,4.707,"https://images-eu.ssl-images-amazon.com/images/I/813U0I0G+4L._AC_UL900_SR900,600_.jpg"
8401030137,La armadura de la luz (Saga Los pilares de la Tierra 4) (Éxitos),23.65,4.1,994,"https://images-eu.ssl-images-amazon.com/images/I/91UW8ps9opL._AC_UL900_SR900,600_.jpg"
8416029741,Rompe la barrera del no: 9 principios para negociar como si te fuera la vida en ello (Conecta),17.95,4.6,2.601,"https://images-eu.ssl-images-amazon.com/images/I/81BlatYPagL._AC_UL900_SR900,600_.jpg"
8425361826,"Vive más: Reduce tu edad biológica y aumenta tu vitalidad (Bienestar, salud y vida sana)",19.85,4.6,145,"https://images-eu.ssl-images-amazon.com/images/I/81-nAffZsNL._AC_UL900_SR900,600_.jpg"
8409202581,"Invicto: Logra Más, Sufre Menos: Entrenamiento mental para lograr más y sufrir menos (AUTOAYUDA Y SALUD) - Español",16.95,4.7,2.174,"https://images-eu.ssl-images-amazon.com/images/I/61eQJm+GCxL._AC_UL900_SR900,600_.jpg"
8499087124,El monje que vendió su Ferrari: Una fábula espiritual (Clave),9.95,4.6,10.082,"https://images-eu.ssl-images-amazon.com/images/I/81KbajSAThL._AC_UL900_SR900,600_.jpg"
8425432022,El Hombre en busca de Sentido (SIN COLECCION),12.25,4.7,8.520,"https://images-eu.ssl-images-amazon.com/images/I/81MAQ+fkjrL._AC_UL900_SR900,600_.jpg"
8416588430,Invisible (Nube de Tinta),15.15,4.7,11.515,"https://images-eu.ssl-images-amazon.com/images/I/71rDyMBfBoL._AC_UL900_SR900,600_.jpg"
8484452069,El poder del ahora: una guía para la iluminación espiritual (Perenne),9.50,4.5,13.027,"https://images-eu.ssl-images-amazon.com/images/I/61Zco47vKWL._AC_UL900_SR900,600_.jpg"
8409550849,Salvar vidas: Salvar una vida depende de ti,12.99,5.0,1,"https://images-eu.ssl-images-amazon.com/images/I/61tHmMDaV-L._AC_UL900_SR900,600_.jpg"
8494709208,El arte de la guerra (SIN COLECCION),8.07,4.5,1.043,"https://images-eu.ssl-images-amazon.com/images/I/61aTf+8b6qL._AC_UL900_SR900,600_.jpg"
8408277588,El Infierno (Autores Españoles e Iberoamericanos),21.75,3.9,783,"https://images-eu.ssl-images-amazon.com/images/I/61sxhgrM8aL._AC_UL900_SR900,600_.jpg"
8431615117,La Celestina - Clasicos Adaptados N/c (Clásicos Adaptados) - 9788431615116,16.81,4.6,818,"https://images-eu.ssl-images-amazon.com/images/I/91zW5O5xlQL._AC_UL300_SR300,200_.jpg"
8466373004,"Padre Rico, padre Pobre (edición actualizada): Qué les enseñan los ricos a sus hijos acerca del dinero, ¡que los pobres y la ",10.40,4.5,10.944,"https://images-eu.ssl-images-amazon.com/images/I/81gvNfbgSvL._AC_UL300_SR300,200_.jpg"
8430601031,Meditaciones (Serie Great Ideas 12),7.59,4.5,2.841,"https://images-eu.ssl-images-amazon.com/images/I/815BrhsCfcS._AC_UL300_SR300,200_.jpg"
8418599405,Tu cuerpo es tuyo (13ªED) (ESPAÑOL SOMOS8),14.15,4.7,810,"https://images-eu.ssl-images-amazon.com/images/I/31gFWUWv5YL._AC_UL300_SR300,200_.jpg"
8418594683,Querida yo: tenemos que hablar. Conócete y sé feliz contigo (Montena),16.10,4.5,1.309,"https://images-eu.ssl-images-amazon.com/images/I/61U+JNFHcwL._AC_UL300_SR300,200_.jpg"
8401030056,La mujer que soy (Obras diversas),20.80,4.6,219,"https://images-eu.ssl-images-amazon.com/images/I/81HHzR5ohkL._AC_UL300_SR300,200_.jpg"
8491392289,EL SUTIL ARTE DE QUE (CASI TODO) TE IMPORTE UNA MIERDA: 2805 (HARPERCOLLINS),16.05,4.3,8.744,"https://images-eu.ssl-images-amazon.com/images/I/71H7c4O5tdL._AC_UL300_SR300,200_.jpg"
B0B39V7Z1D,"Eres una Chica Increíble: Un libro infantil especial sobre la valentía, la fuerza interior y la autoestima para niñas maravil",9.99,4.7,368,"https://images-eu.ssl-images-amazon.com/images/I/71RMt87rWVL._AC_UL300_SR300,200_.jpg"
8467062215,Encuentra tu persona vitamina (F. COLECCION),18.90,4.6,4.971,"https://images-eu.ssl-images-amazon.com/images/I/712cARV+H7S._AC_UL300_SR300,200_.jpg"
8408279998,Alas de sangre (Empíreo 1) (Planeta Internacional),21.75,4.8,308,"https://images-eu.ssl-images-amazon.com/images/I/91OI4F8Fa7L._AC_UL300_SR300,200_.jpg"
846831577X,PREMIO EDEBÉ 2015: Mentira: 71 (Periscopio),11.35,4.6,2.424,"https://images-eu.ssl-images-amazon.com/images/I/91rhAHZkAeL._AC_UL300_SR300,200_.jpg"
8418483180,Aprender a leer en la Escuela de Monstruos 1 - La mascota más grandota: En letra MAYÚSCULA para aprender a leer (Libros para ,7.55,4.7,1.253,"https://images-eu.ssl-images-amazon.com/images/I/8177GEknlFL._AC_UL300_SR300,200_.jpg"
8423675106,Las Lágrimas de Shiva: 1 (PERISCOPIO),11.35,4.6,2.724,"https://images-eu.ssl-images-amazon.com/images/I/81aNfG7GAKL._AC_UL300_SR300,200_.jpg"
8494820699,Tengo un volcán 5 (Calita): 4,10.92,4.7,1.167,"https://images-eu.ssl-images-amazon.com/images/I/61pocWFztNL._AC_UL300_SR300,200_.jpg"
8466363904,Edición limitada de Rompe la barrera del no: 9 principios para negociar como si te fuera la vida en ello (CAMPAÑAS),9.45,4.6,2.601,"https://images-eu.ssl-images-amazon.com/images/I/81QwTHvwEEL._AC_UL300_SR300,200_.jpg"
8419501808,Terapia para llevar: 100 herramientas psicológicas para llevar mejor tu día a día (Montena),17.05,4.7,102,"https://images-eu.ssl-images-amazon.com/images/I/71pVc1fLGkL._AC_UL300_SR300,200_.jpg"
8448865200,Nos tratamos bien: Un cuento sobre el respeto (Cuentos infantiles),14.20,4.6,64,"https://images-eu.ssl-images-amazon.com/images/I/818KwFiEcZL._AC_UL300_SR300,200_.jpg"
8467765313,Cuentos Clásicos (Cuentos clásicos con pictogramas),2.80,4.5,2.186,"https://images-eu.ssl-images-amazon.com/images/I/71e8W72ngEL._AC_UL300_SR300,200_.jpg"
841950100X,Spreen: Lo mejor y lo peor de internet (Lo más visto),16.10,5.0,1,"https://images-eu.ssl-images-amazon.com/images/I/71pJWk08zhL._AC_UL300_SR300,200_.jpg"
B09WHB4GX9,"Eres un Chico Fantástico: Historias inspiradoras sobre el valor, la fuerza interior y la confianza en sí mismo",9.99,4.6,750,"https://images-eu.ssl-images-amazon.com/images/I/61iFfetqhiL._AC_UL300_SR300,200_.jpg"
8484456811,Este dolor no es mío. Identifica y resuelve los traumas familiares heredados (Psicoemoción),13.30,4.6,4.998,"https://images-eu.ssl-images-amazon.com/images/I/61LQ36cQxtL._AC_UL900_SR900,600_.jpg"
8408280503,Detrás del ruido: Todo lo que aprendí para rehacerme por completo y mantener la cordura (No Ficción),17.95,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/816tYTAEBiL._AC_UL900_SR900,600_.jpg"
8418040270,Todas las personas que fui (Random Cómics),21.80,5.0,9,"https://images-eu.ssl-images-amazon.com/images/I/91fK3Rk1TQL._AC_UL900_SR900,600_.jpg"
846705297X,El asesinato de Roger Ackroyd (Biblioteca Agatha Christie),8.50,4.3,1.446,"https://images-eu.ssl-images-amazon.com/images/I/81+5f4XFhBL._AC_UL900_SR900,600_.jpg"
8427234317,Diario de Greg 18 - Descerebrados (Universo Diario de Greg),14.25,4.5,2,"https://images-eu.ssl-images-amazon.com/images/I/91Mm7sgjt3L._AC_UL900_SR900,600_.jpg"
8498381495,El Principito (Biblioteca Saint-Exupéry),6.60,4.8,5.238,"https://images-eu.ssl-images-amazon.com/images/I/81E-RNGwAIL._AC_UL900_SR900,600_.jpg"
8413143640,"Trilogía Culpables (Culpables) (Ficción), versión en español",31.21,4.7,2.597,"https://images-eu.ssl-images-amazon.com/images/I/71n1ncKjAYL._AC_UL900_SR900,600_.jpg"
8408226789,"El gran libro de Lucía, mi pediatra: La guía más completa y actualizada sobre la salud de tu hijo desde el nacimiento a la ad",21.75,4.7,2.754,"https://images-eu.ssl-images-amazon.com/images/I/81cHVQqafZL._AC_UL900_SR900,600_.jpg"
844886400X,"Bluey. Un cuento - Buenas noches, murciélago de la fruta (edición en español) (Cuentos infantiles)",8.50,4.7,73,"https://images-eu.ssl-images-amazon.com/images/I/71MfVOZAqnL._AC_UL900_SR900,600_.jpg"
8419848093,Rocamboleska (Instaverso),18.95,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/71DfXKEM-7L._AC_UL900_SR900,600_.jpg"
8419119423,Tu nombre no es tu nombre: Historia de una identidad robada en la dictadura argentina (NARRATIVA),17.95,4.4,22,"https://images-eu.ssl-images-amazon.com/images/I/61iPmrd8KxL._AC_UL900_SR900,600_.jpg"
8419169986,"Aprender a leer en la Escuela de Monstruos - Pack con los libros 1, 2 y 3: En letra MAYÚSCULA para aprender a leer (Libros pa",18.95,4.7,216,"https://images-eu.ssl-images-amazon.com/images/I/81HaTvMnqeL._AC_UL900_SR900,600_.jpg"
8408072803,El príncipe de la niebla (Biblioteca Carlos Ruiz Zafón),9.45,4.6,4.379,"https://images-eu.ssl-images-amazon.com/images/I/81KzqRjOSiL._AC_UL900_SR900,600_.jpg"
8420488283,101 casos extraordinarios para resolver en 5 minutos (¿Quién ha sido? 1) (Jóvenes lectores),12.30,4.6,1.384,"https://images-eu.ssl-images-amazon.com/images/I/81QIzA6hhYL._AC_UL900_SR900,600_.jpg"
8425363071,"Dulce y sin azúcar: 80 propuestas fáciles, saludables y deliciosas. Sin azúcar, sin edulcorantes, sin gluten (Cocina casera)",20.80,5.0,9,"https://images-eu.ssl-images-amazon.com/images/I/819AsYO49YL._AC_UL900_SR900,600_.jpg"
8411190080,La revolución de la glucosa: Equilibra tus niveles de glucosa y cambiarás tu salud y tu vida (Salud natural),17.05,4.7,645,"https://images-eu.ssl-images-amazon.com/images/I/71Fi-KkUTiL._AC_UL900_SR900,600_.jpg"
8417427449,Cuaderno rubio caligrafia nº 03,1.42,4.8,412,"https://images-eu.ssl-images-amazon.com/images/I/31D2b0QNqiS._AC_UL900_SR900,600_.jpg"
8416429561,El cerebro del niño explicado a los padres (Plataforma Actual),18.52,4.7,6.813,"https://images-eu.ssl-images-amazon.com/images/I/61GvMQf1LKL._AC_UL900_SR900,600_.jpg"
B09BCGMHDP,APRENDER A ESCRIBIR LETRAS Y NÚMEROS CON PAUTA MONTESSORI: Caligrafía iniciación a lectoescritura niños de 3 4 5 6 años . Lib,7.99,4.6,717,"https://images-eu.ssl-images-amazon.com/images/I/61wLAWvpi2L._AC_UL900_SR900,600_.jpg"
8408004344,Marina: 5019 (Biblioteca Carlos Ruiz Zafón),9.45,4.5,4.213,"https://images-eu.ssl-images-amazon.com/images/I/71theRhUtvL._AC_UL900_SR900,600_.jpg"
8466674470,Romper el hielo (Ediciones B),18.90,4.4,343,"https://images-eu.ssl-images-amazon.com/images/I/81vDedvO9kL._AC_UL600_SR600,400_.jpg"
8416867356,Five Nights at Freddy's 1 - Los ojos de plata (Roca Juvenil),17.95,4.7,1.436,"https://images-eu.ssl-images-amazon.com/images/I/81Dm--5DGvL._AC_UL900_SR900,600_.jpg"
8466373071,Las madres (La novia gitana 4) (Best Seller),10.40,4.4,10.154,"https://images-eu.ssl-images-amazon.com/images/I/71oqQqVV1tL._AC_UL900_SR900,600_.jpg"
8431615346,"El conde Lucanor, ESO. Material auxiliar (Clásicos Adaptados) - 9788431615345",16.01,4.6,495,"https://images-eu.ssl-images-amazon.com/images/I/81r1Yc-XBRL._AC_UL900_SR900,600_.jpg"
841364108X,Una historia de la filosofía: Vol. 1: La constelación occidental de fe y saber (ESTRUCTURAS Y PROCESOS - FILOSOFIA),43.70,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/41qnA-CUZiL._AC_UL900_SR900,600_.jpg"
8467071575,El camino del despertar: Toda transformación comienza en uno mismo (NO FICCIÓN),19.86,4.5,2,"https://images-eu.ssl-images-amazon.com/images/I/71Y8RGJYeCL._AC_UL900_SR900,600_.jpg"
8437605229,El árbol de la ciencia (Letras Hispánicas),10.40,4.6,791,"https://images-eu.ssl-images-amazon.com/images/I/71FirElmnqL._AC_UL900_SR900,600_.jpg"
8412299728,Cómo ganar amigos e influir sobre las personas (Elipse),14.72,4.7,81,"https://images-eu.ssl-images-amazon.com/images/I/51TA-r-8+UL._AC_UL900_SR900,600_.jpg"
8478086080,Los secretos de la mente millonaria: Como Dominar el Juego Interior de A Riqueza,11.95,4.6,11.961,"https://images-eu.ssl-images-amazon.com/images/I/71WDmR4x0zL._AC_UL900_SR900,600_.jpg"
8467556641,Un beso antes de dormir [Español],9.45,4.5,1.787,"https://images-eu.ssl-images-amazon.com/images/I/91LCdHr3H5L._AC_UL900_SR900,600_.jpg"
8466364005,"Si lo crees, lo creas: Elimina tus dudas, cambia tus creencias y suelta el pasado para alcanzar todo tu potencial (Clave)",9.45,4.7,1.042,"https://images-eu.ssl-images-amazon.com/images/I/71ZOu5+z8OL._AC_UL300_SR300,200_.jpg"
8467039051,Las 48 leyes del poder (FUERA DE COLECCIÓN Y ONE SHOT) (Edición en Español),22.70,4.6,4.945,"https://images-eu.ssl-images-amazon.com/images/I/61JKEWnsikL._AC_UL300_SR300,200_.jpg"
849139883X,Pérdidas de risa. Historias de una mujer imperfecta (HarperCollins),18.90,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/81YiOgnT5vL._AC_UL300_SR300,200_.jpg"
8411401537,Dragon Ball Super nº 20 (Manga Shonen),8.07,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/91k2bcZJBqL._AC_UL300_SR300,200_.jpg"
8492672439,Aigües encantades: 30 (Educació 62),10.40,4.4,345,"https://images-eu.ssl-images-amazon.com/images/I/91iDORAA3sL._AC_UL300_SR300,200_.jpg"
8411319377,La venganza del campo: ¿Por qué el sector primario es pisoteado y perseguido por la misma sociedad a la que da de comer? (REV,15.15,5.0,2,"https://images-eu.ssl-images-amazon.com/images/I/61GDfKhIdoL._AC_UL300_SR300,200_.jpg"
8467052937,"Es fácil dejar de fumar, si sabes cómo (Fuera de colección)",12.25,4.5,2.038,"https://images-eu.ssl-images-amazon.com/images/I/810SQogKb7L._AC_UL300_SR300,200_.jpg"
8413442478,El libro de copywriting (Alienta) (edición en español),16.10,4.7,441,"https://images-eu.ssl-images-amazon.com/images/I/711zVQuneGL._AC_UL300_SR300,200_.jpg"
840827175X,Sorprende a tu mente: Entrena tu cerebro y descubre el poder de transformar tu vida (No Ficción),18.90,4.3,128,"https://images-eu.ssl-images-amazon.com/images/I/817f5q8o1xL._AC_UL300_SR300,200_.jpg"
8408155121,El libro antiaburrimiento: Ilustrado por Scott Garrett (Libros de entretenimiento),7.55,4.3,1.288,"https://images-eu.ssl-images-amazon.com/images/I/918+394oCML._AC_UL300_SR300,200_.jpg"
B07T31MWTD,Letras y Números Magnéticos para Niños - Conjunto Completo: 182 Letras y 81 Números y Símbolos - Imanes Gruesos de Espuma par,19.51,4.7,1.191,"https://images-eu.ssl-images-amazon.com/images/I/810Zbf4bIqL._AC_UL300_SR300,200_.jpg"
8467577908,Finis Mundi: 117 (El Barco de Vapor Roja),9.02,4.6,1.344,"https://images-eu.ssl-images-amazon.com/images/I/71Jwmo3T9IL._AC_UL300_SR300,200_.jpg"
8467783478,"Libro de lettering. Colorea , practica y crea",4.70,4.7,945,"https://images-eu.ssl-images-amazon.com/images/I/71uqyB-tf4L._AC_UL300_SR300,200_.jpg"
8408277316,Las aventuras de Dani y Evan 8. El clan de los Lobosaurios (Jóvenes influencers),12.30,4.9,18,"https://images-eu.ssl-images-amazon.com/images/I/81OV75wLTEL._AC_UL300_SR300,200_.jpg"
8493375977,Luna (De la cuna a la luna),8.50,4.7,1.687,"https://images-eu.ssl-images-amazon.com/images/I/71fJyYRCH3L._AC_UL300_SR300,200_.jpg"
8418774975,¿De qué está hecho el amor? (HarperKids),16.05,5.0,85,"https://images-eu.ssl-images-amazon.com/images/I/71v5v0wHAuL._AC_UL300_SR300,200_.jpg"
8418798580,Unicornia 1 - Un lío con brilli-brilli (Montena),9.45,4.8,489,"https://images-eu.ssl-images-amazon.com/images/I/81m11NfbcHL._AC_UL300_SR300,200_.jpg"
8417922989,La regla mola (si sabes cómo funciona) (No ficción ilustrados) (Menstruita),15.15,4.7,736,"https://images-eu.ssl-images-amazon.com/images/I/81mwc3D5ctL._AC_UL300_SR300,200_.jpg"
8415580703,El caso del castillo encantado (Serie Los BuscaPistas 1) (Jóvenes lectores),6.60,4.6,3.318,"https://images-eu.ssl-images-amazon.com/images/I/81llO8JN29L._AC_UL300_SR300,200_.jpg"
8417678085,El director: Secretos e intrigas de la prensa narrados por el exdirector (NARRATIVA),17.95,4.3,2.101,"https://images-eu.ssl-images-amazon.com/images/I/61hygiTAogL._AC_UL300_SR300,200_.jpg"
