asin,title,price,rating,num_reviews,img_link
B081SCKXZQ,"Válquer Profesional Oxidante en Crema 20 Vol (6%), Agua oxigenada para tintes, Coloración capilar permanente - 75 ml",0.95,4.5,5.579,"https://images-eu.ssl-images-amazon.com/images/I/41DhGwOPt9L._AC_UL900_SR900,600_.jpg"
B00WN2BY7G,"Vichy, Champú anti-caspa Decros Technique (cabellos norma/graso) - 390 ml.",18.20,4.6,5.468,"https://images-eu.ssl-images-amazon.com/images/I/61z7pU1eTbL._AC_UL900_SR900,600_.jpg"
B09WH2BXSH,"Natulim - Detergente en Tiras para Lavadora (40 Lavados) - Incluye efecto Suavizante, Ecológico, Hipoalergénico - Ropa limpia",11.95,4.2,2.007,"https://images-eu.ssl-images-amazon.com/images/I/61o6CE2t9gL._AC_UL900_SR900,600_.jpg"
B08J3TFBKR,Incapto Café en Grano de Especialidad | Origen Colombia | 100% Arábica | Specialty Coffee 84 puntos SCA | Tueste Natural y Ar,18.85,4.2,517,"https://images-eu.ssl-images-amazon.com/images/I/61oJ8AQR8QL._AC_UL900_SR900,600_.jpg"
B0BBQ4JYKC,"Pistola de Masaje Muscular, ALDOM Pistola Masaje Pistola Masajeadora Muscular Profesional Massage Gun y Carga Tipo-C, 30 Velo",109.99,4.3,8.459,"https://images-eu.ssl-images-amazon.com/images/I/71IQgbGE3+L._AC_UL900_SR900,600_.jpg"
B07TT7VMFD,Ducray Champu Anticaspa-100 milliliters,0,4.5,1.011,"https://images-eu.ssl-images-amazon.com/images/I/71fM+c7LPWL._AC_UL900_SR900,600_.jpg"
B08H2G67JK,"OULAC Pintalabios Oro Desnudo Metálico, Brillo 3D De larga duración, Barras de Labios Muy Pigmentadas, Cobertura Total, 4.3 g",6.39,4.0,8.437,"https://images-eu.ssl-images-amazon.com/images/I/71mCKUb2n2L._AC_UL900_SR900,600_.jpg"
B07P2D25CW,"SINOPHANT Leggins Mujer, Pantalon Yoga Mujer, Mallas Deporte Mujer, Leggings Mujer Suaves Elásticos de Cintura Alta Tallas Gr",11.99,4.2,51.821,"https://images-eu.ssl-images-amazon.com/images/I/51QYOo+dhUS._AC_UL900_SR900,600_.jpg"
B000Z971W6,Salus - Floradix Suplemento de Hierro Líquido - 500 ml - Reduce el Cansancio y la Fatiga - Contiene Hierro Orgánico y Vitamin,22.99,4.3,10.115,"https://images-eu.ssl-images-amazon.com/images/I/71k3ENwVpWL._AC_UL900_SR900,600_.jpg"
B09FPKX5Z8,"ORSEN Tableta de Escritura LCD 8,5 Pulgadas, Tablero de Dibujo Electrónico, Pizarra Infantil Juguetes de Dinosaurio Regalo de",14.94,4.5,5.204,"https://images-eu.ssl-images-amazon.com/images/I/61OWTDHny6L._AC_UL900_SR900,600_.jpg"
B07HRW5W4D,Valquer Profesional - Válquer Oxigenada para Tintes Capilares Premium Ultra-Cremoso 20 Vol (6%) 1000 ml,8.79,4.6,1.109,"https://images-eu.ssl-images-amazon.com/images/I/71SjMEw40hL._AC_UL900_SR900,600_.jpg"
B09ZPQ662Q,"XIXVON Paraguas Pro | UPF 50+ 99% De ProteccióN UV, Banda De Seguridad Reflectante, Resistente Al Viento, PortáTil, AutomáTic",37.00,4.3,2.212,"https://images-eu.ssl-images-amazon.com/images/I/613TD51k8lL._AC_UL900_SR900,600_.jpg"
B073WW3XZ2,"Valquer Laboratorios - Valquer Gel Conductor Corporal & Facial - Para aparatología profesional (ultrasonidos, electroterapia,",9.75,4.4,3.664,"https://images-eu.ssl-images-amazon.com/images/I/61hTa3DwwXS._AC_UL900_SR900,600_.jpg"
B082DK377L,"Apple iPhone 11, 64GB, Blanco (Reacondicionado)",326.00,4.0,630,"https://images-eu.ssl-images-amazon.com/images/I/71Rp3gUyJUL._AC_UL900_SR900,600_.jpg"
B07HRY2PXN,Valquer Profesional Oxigenada Premium Ultra-Cremosa 40 Vol (12%). Agua oxigenada para tintes. coloración capilar permanente -,8.95,4.6,1.153,"https://images-eu.ssl-images-amazon.com/images/I/71OZSGd7YFL._AC_UL900_SR900,600_.jpg"
B015SWZYOQ,Valquer Champú de cebolla. Reduce la grasa. Estimulante capilar. Antioxidante cabello. Purificante. Todo tipo de cabello. Ace,13.50,4.3,1.520,"https://images-eu.ssl-images-amazon.com/images/I/41tqlHhiFBL._AC_UL900_SR900,600_.jpg"
