asin,title,price,rating,num_reviews,img_link
B091G3WT74,"Amazon Fire TV Stick Lite con mando por voz Alexa | Lite (sin controles del TV), streaming HD",34.99,4.6,10.822,"https://images-eu.ssl-images-amazon.com/images/I/51NPmUNZn6L._AC_UL900_SR900,600_.jpg"
B076611KCY,"60ml. Bio Sérum Facial con Vitamina C, E y Ácido Hyalurónico - Suero Hidratante, Antiarrugas y Antimanchas para la Cara - Veg",9.99,4.3,103.806,"https://images-eu.ssl-images-amazon.com/images/I/71R74HqdTuL._AC_UL900_SR900,600_.jpg"
B08C1KN5J2,"Fire TV Stick con mando por voz Alexa (incluye controles del TV), dispositivo de streaming HD",44.99,4.6,52.125,"https://images-eu.ssl-images-amazon.com/images/I/81MjRfRR1nL._AC_UL900_SR900,600_.jpg"
B08MYVY82G,250 Cápsulas PROBIÓTICOS + Cúrcuma con Jengibre y Pimienta Negra | 1460mg | Cúrcuma en Cápsulas con Curcumina y Piperina | An,23.02,4.6,2.713,"https://images-eu.ssl-images-amazon.com/images/I/71TZ6wlSyFL._AC_UL900_SR900,600_.jpg"
B00BN8JUCC,Weleda Crema Pañal de Caléndula (1x 75 ml) (9831EN),7.24,4.8,12.915,"https://images-eu.ssl-images-amazon.com/images/I/612+V0IjqnL._AC_UL900_SR900,600_.jpg"
B08B6B62QZ,"Miracase Soporte Móvil Coche Universal del Aire Ventilación, Compatible con iPhone 15 14 13 12 11 XS XR, Xiaomi, Samsung y Má",11.82,4.5,24.586,"https://images-eu.ssl-images-amazon.com/images/I/61NaOoEaFfL._AC_UL900_SR900,600_.jpg"
B07VQTL4HL,"BIO - Aceite Esencial LAVANDA - 10mL - 100% Puro, Natural, Quimiotipado y Certificado AB - AROMA LABS (Marca Francesa)",5.80,4.2,689,"https://images-eu.ssl-images-amazon.com/images/I/61p2jwT7KuL._AC_UL900_SR900,600_.jpg"
B01N1LL62W,"Limpiador facial de espuma CeraVe, 473 ml para lavado diario, piel normal a grasa",16.00,4.6,56.674,"https://images-eu.ssl-images-amazon.com/images/I/516r6ghtxaL._AC_UL900_SR900,600_.jpg"
B00XYTTEAQ,"Logitech K400 Teclado Táctil Inalámbrico Plus para TV con un Control Multimedia y Panel Táctil, Teclado HTPC para TV conectad",22.00,4.5,5.003,"https://images-eu.ssl-images-amazon.com/images/I/51yjnWJ5urL._AC_UL900_SR900,600_.jpg"
B087N9NSPS,"Lenor UNstoppables Perlas Suavizante de Perfume para la Ropa, 62 Lavados (6 x 140 g), Potenciador de Frescor para el Lavado, ",18.99,4.6,5.780,"https://images-eu.ssl-images-amazon.com/images/I/81dR6mcDohL._AC_UL900_SR900,600_.jpg"
B00L2IQM60,Suavizante Concentrado Asevi Azul 60 dosis,1.99,4.4,2.310,"https://images-eu.ssl-images-amazon.com/images/I/71Jtrswy1aL._AC_UL900_SR900,600_.jpg"
B00MXZJ362,"OGX, Champú Sin sulfatos ni Parabenos, Con Biotina y Colágeno, Para pelo fino y delgado, Favorece el Crecimiento de un pelo m",5.90,4.2,18.505,"https://images-eu.ssl-images-amazon.com/images/I/71ibAdglTDL._AC_UL900_SR900,600_.jpg"
B003D8ZT0C,"Logitech M90 Ratón con Cable USB, Seguimiento Óptico 1000 DPI, Ambidiestro, PC, Mac, Portátil, Negro",5.29,4.6,28.222,"https://images-eu.ssl-images-amazon.com/images/I/81+Rjb6LJ2L._AC_UL900_SR900,600_.jpg"
B09SWS16W6,"Kindle (modelo de 2022): nuestro Kindle más compacto y ligero, con una pantalla de alta resolución de 300 ppp y 6 pulgadas, y",109.00,4.7,2.864,"https://images-eu.ssl-images-amazon.com/images/I/51tbxm79xwL._AC_UL900_SR900,600_.jpg"
B07TX86KFZ,"Matcha & CO Té Matcha Premium 100% Ecológico, Grado Premium Ceremonial, en Polvo Orgánico de Japón, 100% Natural, Té Verde, 3",14.85,4.5,3.329,"https://images-eu.ssl-images-amazon.com/images/I/71Q2+zZKFEL._AC_UL900_SR900,600_.jpg"
B01IFGMALM,"Neutrogena Crema de Manos Reparadora para Grietas Fórmula Noruega, Rápida absorción, Pack 2 x 75 ml",7.98,4.6,3.510,"https://images-eu.ssl-images-amazon.com/images/I/71zwKGvc4CL._AC_UL900_SR900,600_.jpg"
B00K2Y8WWC,"Champú para cabello y cuerpo Weleda Calendula Baby, 200 ml (Paquete de 1) (el envase puede variar)",8.99,4.8,9.694,"https://images-eu.ssl-images-amazon.com/images/I/71UcfCaO2yL._AC_UL900_SR900,600_.jpg"
B07VFT4D6B,"LENCENT Transmisor FM Bluetooth para Coche, Manos Libres Inalámbrico Reproductor MP3 Coche, Adaptador de Radio con Dual USB 5",19.99,4.4,51.389,"https://images-eu.ssl-images-amazon.com/images/I/61PwfA5KTeL._AC_UL900_SR900,600_.jpg"
B00CHHDY66,"Logitech MK270 Combo Teclado y Ratón Inalámbrico para Windows, 2,4GHz Inalámbrico, Ratón Compacto, 8 teclas multimedia y de a",31.50,4.4,5.443,"https://images-eu.ssl-images-amazon.com/images/I/61pUul1oDlL._AC_UL900_SR900,600_.jpg"
B086V74KKR,"Vitamina D3 4000 UI Dosis Alta - 400 Días de Suministro, Vitamina D Colecalciferol Vegetariano Contribuye a la Función Normal",15.95,4.6,13.500,"https://images-eu.ssl-images-amazon.com/images/I/61ZQSiObnlL._AC_UL900_SR900,600_.jpg"
B016740UHU,"NATURGREEN Aceite de Coco Bio, Virgen Extra, Ideal para Cocinar, Hidrata Piel y Cabello, Ingredientes Naturales, Apto para Ve",6.64,4.6,795,"https://images-eu.ssl-images-amazon.com/images/I/71v5fba7e4L._AC_UL900_SR900,600_.jpg"
B06X9D432Q,"Vans Ward, Sneaker Hombre",0,4.6,59.867,"https://images-eu.ssl-images-amazon.com/images/I/71ki3TUSJyL._AC_UL600_SR600,400_.jpg"
B00564NI9U,"Logitech K120 Teclado con Cable Business para Windows, Tamaño Normal, Resistante a Líquido, Barra Espaciadora Curvada, PC/Por",13.00,4.6,3.114,"https://images-eu.ssl-images-amazon.com/images/I/61eaMAoVLOL._AC_UL900_SR900,600_.jpg"
