asin,title,price,rating,num_reviews,img_link
B0845NMZ6K,"AOC 27B2H- Monitor de 27""Full HD (1920x1080, 75 Hz, IPS, FlickerFree, 250 cd/m, D-SUB, HDMI, VGA, Low Blue Light) Negro",0,4.5,3.459,"https://images-eu.ssl-images-amazon.com/images/I/71pSnZVA0hL._AC_UL900_SR900,600_.jpg"
B00A0VCJPI,"TP-Link N300 Tl-WA850RE - Repetidor Extensor de Red WiFi (2.4 GHz, 300 Mbps, Puerto Ethernet, Modo Ap y Extensor, Antenas Int",17.79,4.2,176.488,"https://images-eu.ssl-images-amazon.com/images/I/516ITVD7WwL._AC_UL900_SR900,600_.jpg"
B015CH1NAQ,"SanDisk Ultra Flair Memoria flash USB 3.0 de 64 GB, con carcasa de metal duradera y elegante y hasta 150 MB/s de velocidad de",8.39,4.6,159.836,"https://images-eu.ssl-images-amazon.com/images/I/41yLlWY9iLL._AC_UL900_SR900,600_.jpg"
B08WLSR31L,"HP DeskJet 2720e - Impresora Multifunción, 6 meses de impresión Instant Ink con HP+",46.29,4.2,20.554,"https://images-eu.ssl-images-amazon.com/images/I/615mf8BWHjL._AC_UL900_SR900,600_.jpg"
B01N0TQPQB,"Kingston A400 SSD Disco duro sólido interno 2.5"" SATA Rev 3.0, 480GB - SA400S37/480G",29.90,4.7,199.022,"https://images-eu.ssl-images-amazon.com/images/I/91RL+MhTWbL._AC_UL900_SR900,600_.jpg"
B0BGXWT3GL,TOSHIBA Canvio Partner 1TB External HDD,49.99,4.6,881,"https://images-eu.ssl-images-amazon.com/images/I/81IVbhEpK0L._AC_UL900_SR900,600_.jpg"
B081HFWWSV,"TP-Link RE190 AC750 - Amplificador Señal WiFi, 433Mbps en 5GHz 300Mbps en 2.4GHz con EU Enchufe, WPS, Indicador LED de Señal,",22.99,4.2,11.455,"https://images-eu.ssl-images-amazon.com/images/I/41sFCQNgoRL._AC_UL900_SR900,600_.jpg"
B07RPVQY62,"TP-Link LS105G - Switch Ethernet 5 Puertos (10/100/1000Mbps), Switch Gigabit, Switch WiFi, Carcasa metálica, Ultraligero, Dis",14.87,4.7,15.975,"https://images-eu.ssl-images-amazon.com/images/I/51ioN8F2JZL._AC_UL900_SR900,600_.jpg"
B06Y13QBYL,"Philips Monitors - Monitor 243V7QDSB/00- 24"", FHD, 75Hz, IPS, Flicker Free, (1920x1080, 250cd/m² VESA, DSUB, HDMI), Color Neg",79.90,4.5,10.756,"https://images-eu.ssl-images-amazon.com/images/I/71zitsKgs3L._AC_UL900_SR900,600_.jpg"
B08R8992YC,"UGREEN Adaptador USB Bluetooth 5.0 para PC Portátil Windows 11 10 8.1 7, A2DP Dongle Bluetooth Compatible con Mando de PS5 PS",8.99,4.4,8.661,"https://images-eu.ssl-images-amazon.com/images/I/51hyEiMb8zL._AC_UL900_SR900,600_.jpg"
B08JD4TBM3,Kingston DataTraveler Exodia DTX/128GB Flash Drive USB 3.2 Gen 1 - with Protective Cap and Keyring in Multiple Colours,10.20,4.4,38.176,"https://images-eu.ssl-images-amazon.com/images/I/71yVURnYi-L._AC_UL900_SR900,600_.jpg"
