asin,title,price,rating,num_reviews,img_link
B0C9G2TMK5,Todo vuelve (Todo arde 2),4.74,4.5,819,"https://images-eu.ssl-images-amazon.com/images/I/71QK1Kz1syL._AC_UL900_SR900,600_.jpg"
B0CLLFWXC4,El destino de Caillen (Los McEntrie nº 2),3.99,4.5,409,"https://images-eu.ssl-images-amazon.com/images/I/81OQ4RWUvRL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B09R2F2LYP,"La Inspectora Gitana: Suspense, thriller y misterio en estado puro (Crímenes de Madrid La Inspectora Gitana nº 1)",3.99,3.6,3.692,"https://images-eu.ssl-images-amazon.com/images/I/817gTHFeDUL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CLGGPSHM,Inevitable (Hermanos Alba nº 3),3.99,4.6,73,"https://images-eu.ssl-images-amazon.com/images/I/81vXDyCfD3L._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B01GCMUXCE,El ladrón de sueños: Finalista Premio Planeta,4.70,3.6,1.573,"https://images-eu.ssl-images-amazon.com/images/I/71xjgkJZBgL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CMBQR6LH,La indomable de las Highlands: El clan MacLeod: la trilogía completa,2.99,4.6,5,"https://images-eu.ssl-images-amazon.com/images/I/71W4l0ekCgL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CL3R5WMP,Nunca tengas un bebé con el director general (Equipo Titan Racing nº 5),2.99,4.7,46,"https://images-eu.ssl-images-amazon.com/images/I/71QC3usdnbL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CL5359M9,Un Soltero Seductor (Solteros Muy Irresistibles),3.99,4.3,444,"https://images-eu.ssl-images-amazon.com/images/I/71THVDtIkrL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CL6R2YRN,"Una y mil veces, serías tú",2.99,4.3,265,"https://images-eu.ssl-images-amazon.com/images/I/81hXo4F292L._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CGLYYFWH,PIEL: No confíes en nadie. Ni siquiera en ti mismo. (Serie Nuria Badal),5.99,4.4,22,"https://images-eu.ssl-images-amazon.com/images/I/A1TFEFRxjiL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CKM413LC,Mi amado enemigo: Un matrimonio forzado en el que el amor se cocerá a fuego lento,2.69,3.7,14,"https://images-eu.ssl-images-amazon.com/images/I/81TTlQHSMML._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0BLTMZJHS,"Quiero conocerte más: Los Sullivan, Libro 7",4.99,4.5,55,"https://images-eu.ssl-images-amazon.com/images/I/81yfcNlromL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CM1HHQ55,Valiente Lily: Las Flores de Wadlow III,3.99,4.4,24,"https://images-eu.ssl-images-amazon.com/images/I/81dV1uLEIFL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CCW5Q9LT,El Infierno (Autores Españoles e Iberoamericanos),10.44,3.9,783,"https://images-eu.ssl-images-amazon.com/images/I/81neyuU4UAL._AC_UL900_SR900,600_.jpg"
B0CKY85KS9,Una Oportunidad para el Highlander (Trilogía Highlanders nº 3),2.99,4.3,88,"https://images-eu.ssl-images-amazon.com/images/I/71YNF38BVeL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B005WTVT0O,El Terror (Histórica),1.89,4.0,508,"https://images-eu.ssl-images-amazon.com/images/I/81WviL9JReL._AC_UL900_SR900,600_.jpg"
B084LHPM5K,CUANDO SEPAS LA VERDAD: 3.500 reseñas. 25.000 lectores. Descubre tú el motivo. (Intriga y suspense),2.99,4.4,3.928,"https://images-eu.ssl-images-amazon.com/images/I/81e6x9lIWXL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CJ1Z3G6M,Mi señor de las Highlands,2.99,4.3,1.526,"https://images-eu.ssl-images-amazon.com/images/I/61xGchvmDOL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CHJ9LJ63,La chica del verano: Los finales felices son para los valientes (Novela),9.49,4.8,1.260,"https://images-eu.ssl-images-amazon.com/images/I/71ZPSEXuwtL._AC_UL900_SR900,600_.jpg"
B0CLL876J7,Valiosa para mí 3,2.99,4.5,419,"https://images-eu.ssl-images-amazon.com/images/I/81BkSjUY5aL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CLN1X32F,No quiero ser una más,2.99,4.5,172,"https://images-eu.ssl-images-amazon.com/images/I/71lEftCpTCL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CD8D22N5,El rescate del Highlander (Los McEntrie nº 1),3.99,4.3,2.687,"https://images-eu.ssl-images-amazon.com/images/I/81gCnbeBrxL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CL9W77MY,Champaña con un toque de ira (La Bratva Orlov nº 2),7.99,4.5,109,"https://images-eu.ssl-images-amazon.com/images/I/81Cr3xn2uqL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0B2CYJ2TD,No solo la chica del desván: Novela Romántica Contemporánea,3.79,4.2,447,"https://images-eu.ssl-images-amazon.com/images/I/71FSGrbo5nL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B01IGIZ4SU,"Los Secretos de un Recuerdo: (NOVELA HISTÓRICA, NOVELA ROMÁNTICA, SUSPENSE E INTRIGA)",2.99,4.0,3.700,"https://images-eu.ssl-images-amazon.com/images/I/81j4ffdLlJL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0BNJR9F7F,El trabajo de una noche oscura: (A Dark Night's Work),2.40,4.4,10,"https://images-eu.ssl-images-amazon.com/images/I/81CgFCgtycL._AC_UL900_SR900,600_.jpg"
B0BRQN33MS,Palestina (Ensayo),3.79,4.5,15,"https://images-eu.ssl-images-amazon.com/images/I/81+LfWmdIdL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0BQCF97PL,El eclipse de la civilización,2.94,4.0,14,"https://images-eu.ssl-images-amazon.com/images/I/91GbywHLARL._AC_UL900_SR900,600_.jpg"
B0BG353G48,"Quizá siempre, quizá nunca",2.99,4.5,185,"https://images-eu.ssl-images-amazon.com/images/I/71QnrsDtISL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0B33YWVHR,Todo arde (Todo arde 1),4.74,4.2,11.772,"https://images-eu.ssl-images-amazon.com/images/I/71X+MaN9EvL._AC_UL900_SR900,600_.jpg"
B0C7L24CB1,El problema final,12.34,4.0,2.382,"https://images-eu.ssl-images-amazon.com/images/I/9128VUirjkL._AC_UL300_SR300,200_.jpg"
B09DG73FRH,"Ayuno Intermitente y Limpieza Hepática: Guía Completa: Cómo Perder Peso, Desintoxicar tu Organismo, Frenar el Envejecimiento,",4.99,4.2,339,"https://images-eu.ssl-images-amazon.com/images/I/71yiGwTLVtL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B0CL9VMP74,Champaña con un toque de veneno (La Bratva Orlov nº 1),2.99,4.6,154,"https://images-eu.ssl-images-amazon.com/images/I/81dBhGKZi8L._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B0C4FNMS6S,EL OTOÑO DE AMIRA: Novela Finalista Premio Literario Amazon Storyteller 2023. Una novela apasionante y conmovedora.,1.50,4.1,714,"https://images-eu.ssl-images-amazon.com/images/I/61gLL+5ABgL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B0C5S7LKF1,La armadura de la luz (Saga Los pilares de la Tierra 4),12.34,4.1,994,"https://images-eu.ssl-images-amazon.com/images/I/91UW8ps9opL._AC_UL300_SR300,200_.jpg"
B0CM9DC6W8,Johana: Un corazón destruido,0.99,4.5,58,"https://images-eu.ssl-images-amazon.com/images/I/71-hQRe4vYL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B0B5PHJC4K,NO SOY EL JUGUETE DE NADIE,3.00,4.3,268,"https://images-eu.ssl-images-amazon.com/images/I/71RMRalGupL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B0CLJ2K38D,Estúpidamente encantador,3.64,4.5,145,"https://images-eu.ssl-images-amazon.com/images/I/81FLsMM3DfL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B09Z35XDC4,La sombra de la Gioconda: Thriller histórico lleno de misterio y suspense,2.99,4.0,1.842,"https://images-eu.ssl-images-amazon.com/images/I/91X8eIg8THL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B0897Z418B,Domina Tus Emociones: Una guía práctica para superar la negatividad y controlar mejor tus emociones (Colección Domina Tu(s)..,3.99,4.3,2.067,"https://images-eu.ssl-images-amazon.com/images/I/71eSFOud-dL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B0CL81BDTQ,Las hijas de la criada: Premio Planeta 2023 (Autores Españoles e Iberoamericanos),12.34,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/819OeQyTJGL._AC_UL300_SR300,200_.jpg"
B0CL2RTJ88,Una Segunda Oportunidad para Amar (Los Diabólicos Hermanos Braddock nº 3),0.99,4.1,143,"https://images-eu.ssl-images-amazon.com/images/I/816ZLwLRm3L._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B0CKNQQKZK,El último deseo del Highlander,2.99,4.1,381,"https://images-eu.ssl-images-amazon.com/images/I/81R9IkVBuGL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B08BW93KS8,El hilo dorado,3.10,4.4,5.485,"https://images-eu.ssl-images-amazon.com/images/I/81G+pxo5yYL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B09Y5VXT27,Hasta que llegaste tú,3.78,4.0,653,"https://images-eu.ssl-images-amazon.com/images/I/71ZBV8dWMiL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B0CLHZPYWG,Mi impaciente favorita,2.99,4.5,121,"https://images-eu.ssl-images-amazon.com/images/I/71WIk4U253L._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B0B6FRMVCD,Estar bien aquí y ahora. Cómo superar la incertidumbre que nos provoca el futuro para mejorar nuestro presente,9.49,4.4,109,"https://images-eu.ssl-images-amazon.com/images/I/811BfCoQIRL._AC_UL300_SR300,200_.jpg"
B0CJJQ2L86,La cautiva del LAIRD (Lairds de las Highlands nº 1),2.99,4.2,753,"https://images-eu.ssl-images-amazon.com/images/I/71JsgYVHXjL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B0CJR6TZ26,Una Falsa Novia para Navidad (Los Millonarios Machos Alfa),0.99,4.2,400,"https://images-eu.ssl-images-amazon.com/images/I/81KyPTT8lbL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL300_SR300,200_.jpg"
B0BGYL21R3,"Amigos, amantes y aquello tan terrible (Contraluz)",9.49,4.4,259,"https://images-eu.ssl-images-amazon.com/images/I/81vmNIp6QRL._AC_UL300_SR300,200_.jpg"
B0192CTNHW,Harry Potter y la piedra filosofal,6.99,4.7,10.185,"https://images-eu.ssl-images-amazon.com/images/I/81DIK77B0PL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CCBS9JMP,Maldita Roma (Serie Julio César 2): La conquista del poder de Julio César,12.34,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/81fh0koiVTL._AC_UL900_SR900,600_.jpg"
B09519VFMQ,Lunas de naranja y chocolate,2.99,4.2,113,"https://images-eu.ssl-images-amazon.com/images/I/916InUTwshS._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CGMGS7CL,Prohibido Enamorarse,2.99,4.3,2.579,"https://images-eu.ssl-images-amazon.com/images/I/71DPOlxMeUL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CCNPYJDD,El señor de la Quinta Avenida (Bajo el Cielo de Manhattan nº 2),0.99,3.8,344,"https://images-eu.ssl-images-amazon.com/images/I/81+9zp9nb9L._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B006GA4Y0A,INTELIGENCIA EMOCIONAL,9.49,4.5,1.907,"https://images-eu.ssl-images-amazon.com/images/I/61GH2TfHTUL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CBXTFQVM,"Amenaza Insondable: (El Sendero del Guardabosques, Libro 19)",6.99,4.6,180,"https://images-eu.ssl-images-amazon.com/images/I/81uXaxCVpHL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CJ4KC1Y4,"Rozando el cielo (Mile High) (La Ciudad de los Vientos 1): En el hockey y el amor, todo vale",9.49,4.4,15,"https://images-eu.ssl-images-amazon.com/images/I/9147vzhqWPL._AC_UL900_SR900,600_.jpg"
B0CK6GZVS3,ENTRE LAS PÁGINAS DEL TIEMPO 2: EL REGRESO: ¿Volverías al pasado en Escocia para recuperar al amor de tu vida? (Amores y leye,3.99,4.5,139,"https://images-eu.ssl-images-amazon.com/images/I/8102PO1EBQL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CD7ZWJMQ,"Cómo volver a confiar: El club de los caballeros malditos, libro 3",2.99,4.5,49,"https://images-eu.ssl-images-amazon.com/images/I/91zxH4jLA0L._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CLD73P7X,Jefe ¡No eres un ángel!,2.99,4.3,182,"https://images-eu.ssl-images-amazon.com/images/I/71+c9CoQmCL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B08RRVDVBC,Sr. Spencer - Mr. Spencer (Spanish Edition),3.99,4.3,1.812,"https://images-eu.ssl-images-amazon.com/images/I/81agOrcXDdL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
B0CF2TJCL8,IRA. Del amor al odio solo hay un pecado: Serie Kapital Sin,3.80,4.5,1.121,"https://images-eu.ssl-images-amazon.com/images/I/81VRTuN-XIL._UX300__PJku-sticker-v7,TopRight,0,-50_AC_UL900_SR900,600_.jpg"
