asin,title,price,rating,num_reviews,img_link
B014XS0BT4,Mandarinas [Blu-ray],0,4.2,20,"https://images-eu.ssl-images-amazon.com/images/I/71iM8t17dxL._AC_UL900_SR900,600_.jpg"
B0CLLTYC42,Oppenheimer (4K UHD + Blu-ray + Blu-ray Extras) (Ed. especial metálica) [Blu-ray],34.99,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/81R2ThSHanL._AC_UL900_SR900,600_.jpg"
B0CHQNLFQC,"Mision Imposible: Sentencia Mortal (Parte 1) (Mission: Impossible, Dead Reckoning, Part One) (Blu-ray + Blu-ray Extras)",17.99,3.3,4,"https://images-eu.ssl-images-amazon.com/images/I/81FDKrnBejL._AC_UL900_SR900,600_.jpg"
B0BPZTYM5K,DIGIPACK Pop -Up FX BD + FX2 BD + 8 Postales. Edición Limitada y Numerada [Blu-ray],13.99,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/81hjXW9EfuL._AC_UL900_SR900,600_.jpg"
B0CLLVVFKF,Gladiator (4K UHD + Blu-ray) (Ed. especial metálica) [Blu-ray],45.09,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/713PlDzQHkL._AC_UL900_SR900,600_.jpg"
B0CBM1329P,Super Mario Bros: La película (DVD),17.95,4.7,4.446,"https://images-eu.ssl-images-amazon.com/images/I/81-uarpkIKL._AC_UL900_SR900,600_.jpg"
B0CLBZ7VFB,Viven! BD 1983 Alive! [Blu-ray],11.53,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/71GYxylqg0L._AC_UL900_SR900,600_.jpg"
B0CLLWFV1F,Oppenheimer (4K UHD + Blu-ray + Blu-ray Extras) [Blu-ray],26.14,1.0,1,"https://images-eu.ssl-images-amazon.com/images/I/813Va0WA0IL._AC_UL900_SR900,600_.jpg"
B09MP4QZVY,"Ace Ventura, Un detective Diferente + Ace Ventura: Operación África. Ace Ventura 1 y 2 Digipack BD + 8 Postales Edición Limit",17.00,4.8,96,"https://images-eu.ssl-images-amazon.com/images/I/91LLDSi5SfL._AC_UL900_SR900,600_.jpg"
B0CKT8H1J4,Encadenados,21.99,4.6,27,"https://images-eu.ssl-images-amazon.com/images/I/01GmVhVRioL._AC_UL600_SR600,400_.gif"
B0CHQNYLYX,"Mision Imposible: Sentencia Mortal (Parte 1) (Mission: Impossible, Dead Reckoning, Part One) (4K UHD + Blu-ray + Blu-ray Extr",25.99,3.2,3,"https://images-eu.ssl-images-amazon.com/images/I/81qNb+nxilL._AC_UL900_SR900,600_.jpg"
B0CLLVW4XN,Oppenheimer (Blu-ray + Blu-ray Extras) [Blu-ray],21.30,1.0,1,"https://images-eu.ssl-images-amazon.com/images/I/71LMfnyKygL._AC_UL900_SR900,600_.jpg"
B0CL71CVP1,Indiana Jones Y El Dial Del Destino (Indiana Jones and the Dial of Destiny) (DVD),15.99,4.0,1,"https://images-eu.ssl-images-amazon.com/images/I/914ZBz8LA0L._AC_UL900_SR900,600_.jpg"
B0CHQNJGXC,"Mision Imposible: Sentencia Mortal (Parte 1) (Steelbook) (Mission: Impossible, Dead Reckoning, Part One) (4K UHD + Blu-ray + ",31.99,3.3,6,"https://images-eu.ssl-images-amazon.com/images/I/71PB84P9hNL._AC_UL900_SR900,600_.jpg"
B0CKC114M3,Teenage Mutant Ninja Turtles Películas Originales 1 & 2 | Coleccionista,59.00,4.0,1,"https://images-eu.ssl-images-amazon.com/images/I/71IjasVZRqL._AC_UL900_SR900,600_.jpg"
B09NWGBJZX,The Beatles: Get Back [Blu-ray],32.04,4.8,1.237,"https://images-eu.ssl-images-amazon.com/images/I/81zhUEaRCDL._AC_UL900_SR900,600_.jpg"
B0CL7N6RYQ,Indiana Jones Y El Dial Del Destino (Indiana Jones and the Dial of Destiny) (Blu-ray),18.99,4.0,1,"https://images-eu.ssl-images-amazon.com/images/I/816ir4l0b7L._AC_UL900_SR900,600_.jpg"
B0CLLW2BCH,Blue Beetle (4K UHD + Blu-ray) (Ed. especial metálica) [Blu-ray],31.96,3.8,44,"https://images-eu.ssl-images-amazon.com/images/I/71WeAL6tr0L._AC_UL900_SR900,600_.jpg"
B0BPZ23Q6C,Caravana de Mujeres 1951 Westward the Women,11.53,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/81HoSaauLcL._AC_UL900_SR900,600_.jpg"
B003V1YHFE,Lethal Weapon 1-4 [Blu-ray] [UK-Import] [Reino Unido],15.99,4.7,2.657,"https://images-eu.ssl-images-amazon.com/images/I/81CRsHQI3jL._AC_UL900_SR900,600_.jpg"
B0CLBZW4HX,Las Tortugas Ninja III BD 1993 Teenage Mutant Ninja Turtles III: Turtles in Time [Blu-ray],11.53,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/71eC+yT1pmL._AC_UL900_SR900,600_.jpg"
B0CF2FLMHY,Spider-Man: Cruzando el multiverso (Blu-ray) [Blu-ray],19.95,5.0,31,"https://images-eu.ssl-images-amazon.com/images/I/71O0hTgmjQL._AC_UL900_SR900,600_.jpg"
B07FFMS1QR,Mamma Mia: Here We Go Again! [Edizione: Regno Unito] [Blu-ray],8.00,4.7,7.508,"https://images-eu.ssl-images-amazon.com/images/I/91IIzV3zwlL._AC_UL900_SR900,600_.jpg"
B0CKJ83Q7C,Vesper (Blu-ray) [Blu-ray],17.99,4.0,149,"https://images-eu.ssl-images-amazon.com/images/I/710XE-kngsL._AC_UL600_SR600,400_.jpg"
B0CF2DXZ72,Fast & Furious X (DVD),17.95,4.6,152,"https://images-eu.ssl-images-amazon.com/images/I/81V2Ws-VFXL._AC_UL900_SR900,600_.jpg"
