asin,title,price,rating,num_reviews,img_link
B003UOYB8A,"Duracell - Pilas de botón de litio 2032 de 3 V, paquete de 2, Tecnología Baby Secure, uso en llaves con sensor magnético, bás",2.12,4.6,54.526,"https://images-eu.ssl-images-amazon.com/images/I/711+1JLHiuL._AC_UL900_SR900,600_.jpg"
B091G3WT74,"Amazon Fire TV Stick Lite con mando por voz Alexa | Lite (sin controles del TV), streaming HD",34.99,4.6,10.822,"https://images-eu.ssl-images-amazon.com/images/I/51NPmUNZn6L._AC_UL900_SR900,600_.jpg"
B08C1KN5J2,"Fire TV Stick con mando por voz Alexa (incluye controles del TV), dispositivo de streaming HD",44.99,4.6,52.125,"https://images-eu.ssl-images-amazon.com/images/I/81MjRfRR1nL._AC_UL900_SR900,600_.jpg"
B0CKZ7R5KT,"Echo Pop | Antracita, pack de 2 + Meross Smart Plug (enchufe inteligente WiFi), compatible con Alexa - Kit de inicio de Hogar",44.98,4.6,1.326,"https://images-eu.ssl-images-amazon.com/images/I/617G--VYsRL._AC_UL900_SR900,600_.jpg"
B0C5CH5QCY,"Reloj Inteligente Hombre Mujer, 1.85"" Smartwatch con Llamadas Bluetooth, Smart Watch Pulsómetro/Monitor de Sueño/Podómetro, 1",39.99,4.4,6.956,"https://images-eu.ssl-images-amazon.com/images/I/71s4mjiit3L._AC_UL900_SR900,600_.jpg"
B09WX9XBKD,"Te presentamos el Echo Pop | Altavoz inteligente wifi y Bluetooth con Alexa, de sonido potente y compacto | Antracita",39.98,4.6,1.326,"https://images-eu.ssl-images-amazon.com/images/I/613dEoF9-rL._AC_UL900_SR900,600_.jpg"
B07MLFBJG3,Amazon Basics - Pilas alcalinas AA de uso industrial (40 unidades),13.81,4.6,97.672,"https://images-eu.ssl-images-amazon.com/images/I/81FGpGF5kaL._AC_UL900_SR900,600_.jpg"
B0B92HXFYT,"Chromecast con Google TV (HD) - Reproduce contenido en streaming en el televisor con el mando de control por voz - Películas,",39.99,4.7,9.140,"https://images-eu.ssl-images-amazon.com/images/I/51qIuxdWalL._AC_UL900_SR900,600_.jpg"
B07XLML2YS,"TP-Link TAPO C200 - Cámara IP WiFi 360° Cámara de Vigilancia FHD 1080p,Visión nocturna, Notificaciones en tiempo real, Admite",29.99,4.6,100.900,"https://images-eu.ssl-images-amazon.com/images/I/61EnU6crOyL._AC_UL900_SR900,600_.jpg"
B00NTCHCU2,"Amazon Basics Pilas alcalinas AAA de 1,5 voltios, 20 Unidad, gama Performance (el aspecto puede variar)",7.66,4.5,1.369.803,"https://images-eu.ssl-images-amazon.com/images/I/71a+E3+Bc2L._AC_UL900_SR900,600_.jpg"
B0CLF7L361,"Echo Pop | Antracita, 2pack de + Philips Hue White Bombilla Inteligente (E27), compatible con Alexa - Kit de inicio de Hogar ",44.98,4.6,1.326,"https://images-eu.ssl-images-amazon.com/images/I/71rUHK2+z+L._AC_UL900_SR900,600_.jpg"
B007FD62FW,"Varta Pila de botón de litio de 3 V Electronics CR2025, pilas de botón en un blíster original de 2 unidades",1.19,4.6,139,"https://images-eu.ssl-images-amazon.com/images/I/61phmflcr+L._AC_UL900_SR900,600_.jpg"
B00LH3DMUO,"Amazon Basics Pilas alcalinas AAA de 1,5 voltios, gama Performance, Paquete de 36 (el aspecto puede variar)",12.18,4.5,1.369.803,"https://images-eu.ssl-images-amazon.com/images/I/611n29U6FsL._AC_UL900_SR900,600_.jpg"
B0C89CK95W,"Reloj Inteligente Mujer, 1.85"" Smartwatch Llamadas Bluetooth con Podómetro/Pulsómetro/Monitor de Sueño, 110+ Modos Deportivos",39.99,4.4,6.956,"https://images-eu.ssl-images-amazon.com/images/I/71qoQVetqhL._AC_UL900_SR900,600_.jpg"
B00NTCH52W,"Amazon Basics Pilas alcalinas AA de 1,5 voltios, 20 Unidad, gama Performance (el aspecto puede variar)",9.28,4.5,1.369.803,"https://images-eu.ssl-images-amazon.com/images/I/81ruqa5pXML._AC_UL900_SR900,600_.jpg"
