asin,title,price,rating,num_reviews,img_link
B06XHB7BL2,"Vans Ward, Sneaker Hombre",36.94,4.6,59.867,"https://images-eu.ssl-images-amazon.com/images/I/71ki3TUSJyL._AC_UL900_SR900,600_.jpg"
B095YQWGP8,"SZLX mochila de viaje para mujer, mochila de transporte, mochila de senderismo, mochila impermeable para deporte al aire libr",29.99,4.6,13.353,"https://images-eu.ssl-images-amazon.com/images/I/71twnynE71L._AC_UL900_SR900,600_.jpg"
B077MFV791,"PUMA SMASH V2 L, Zapatillas Deportivas Unisex adulto",50.14,4.4,73.190,"https://images-eu.ssl-images-amazon.com/images/I/71XzBiotyRL._AC_UL900_SR900,600_.jpg"
B07H2CFJTL,"Joma Combi Camiseta Manga Corta, Hombre",6.99,4.5,15.381,"https://images-eu.ssl-images-amazon.com/images/I/61CiDPMz9BL._AC_UL900_SR900,600_.jpg"
B076KZ5JPG,YSABEL MORA - Camiseta Interior térmica Manga Larga,12.90,4.5,3.271,"https://images-eu.ssl-images-amazon.com/images/I/715AI3vCNsL._AC_UL900_SR900,600_.jpg"
B07NJ9NZDX,Jack & Jones Men Slim Fit Jeans Glenn Skinny Tapered Legs JJI Glenn Original Am,21.50,4.4,25.732,"https://images-eu.ssl-images-amazon.com/images/I/817DNUT5I4L._AC_UL900_SR900,600_.jpg"
B09QZJWDVQ,FedMois Calcetines Antideslizantes de Algodón para Bebé Niño Niña Pack de 5,11.99,4.7,3.070,"https://images-eu.ssl-images-amazon.com/images/I/619UErCsU6L._AC_UL900_SR900,600_.jpg"
B08CY64Z8B,Mishansha Hombre Invierno Cálido Zapatillas Casa de Espuma Viscoelástica Gr.39-46,26.99,4.3,7.163,"https://images-eu.ssl-images-amazon.com/images/I/91wLN652+uL._AC_UL900_SR900,600_.jpg"
B07P3H8XT5,"SINOPHANT Leggins Mujer, Pantalon Yoga Mujer, Mallas Deporte Mujer, Leggings Mujer Suaves Elásticos de Cintura Alta Tallas Gr",11.99,4.2,51.821,"https://images-eu.ssl-images-amazon.com/images/I/51QYOo+dhUS._AC_UL900_SR900,600_.jpg"
B07P5MVLXY,Joma Cleo II - Pantalon Largo Deportivo Hombre,13.99,4.4,2.619,"https://images-eu.ssl-images-amazon.com/images/I/61A2+ibCynL._AC_UL900_SR900,600_.jpg"
