asin,title,price,rating,num_reviews,img_link
B07SS5PFJK,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/41ZLslAw2qL._AC_UL600_SR600,400_.jpg"
B07C24CSHB,Tarjeta Regalo de Amazon.es en un estuche,30.00,4.8,651,"https://images-eu.ssl-images-amazon.com/images/I/81jeh5UGLBL._AC_UL900_SR900,600_.jpg"
B08XXDMGYT,Netflix Tarjeta España - tarjeta regalo por correo electrónico,25.00,4.6,268,"https://images-eu.ssl-images-amazon.com/images/I/416Enw6mLAL._AC_UL900_SR900,600_.jpg"
B07H8STZ9N,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/41L1AjbV0SL._AC_UL600_SR600,400_.jpg"
B0BRK7CN8M,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/51b3QqTzT+L._AC_UL600_SR600,400_.jpg"
B09ZBW4JK8,NEU Apple Gift Card - para España - por correo electrónico,10.00,4.6,171,"https://images-eu.ssl-images-amazon.com/images/I/31RHbvYlMqL._AC_UL900_SR900,600_.jpg"
B08BJLC6YC,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/515Jq0IMj2L._AC_UL600_SR600,400_.jpg"
B07DXZ9GLM,Tarjeta Regalo Amazon.es - Tarjeta Desplegable Cumpleaños,20.00,4.8,332,"https://images-eu.ssl-images-amazon.com/images/I/513Znlrjj3L._AC_UL900_SR900,600_.jpg"
B0BRKL2V6L,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/513sui3QoML._AC_UL600_SR600,400_.jpg"
B07YNZ8XZ2,Tarjeta Regalo Amazon.es - Estuche Hola Mundo,50.00,4.8,251,"https://images-eu.ssl-images-amazon.com/images/I/81QytmjgRSL._AC_UL900_SR900,600_.jpg"
B09PFJG8JT,Tarjeta Regalo de Amazon.es para imprimir,100.00,4.7,1.867,"https://images-eu.ssl-images-amazon.com/images/I/4124cMm19rL._AC_UL900_SR900,600_.jpg"
B07R3DBQ6Z,Tarjeta Regalo Amazon.es - Estuche Cupcake,20.00,4.8,1.357,"https://images-eu.ssl-images-amazon.com/images/I/81ajGApFeJL._AC_UL900_SR900,600_.jpg"
B08DSB99WZ,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/41V9j7Kcq0L._AC_UL600_SR600,400_.jpg"
B08DS8PQHJ,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/41y2bpsC6EL._AC_UL600_SR600,400_.jpg"
B0BRKJKKCB,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/51ln5b320dL._AC_UL600_SR600,400_.jpg"
B07DXXS2ZJ,Tarjeta Regalo Amazon.es - Estuche Plateado,30.00,4.8,452,"https://images-eu.ssl-images-amazon.com/images/I/61Ste4rDEtL._AC_UL900_SR900,600_.jpg"
B086QK8K2L,Tarjeta Regalo Amazon.es - Estuche Globos de cumpleaños,30.00,4.9,177,"https://images-eu.ssl-images-amazon.com/images/I/81y9funJaUL._AC_UL900_SR900,600_.jpg"
B09PFJRGYC,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/412TJqfMSoL._AC_UL600_SR600,400_.jpg"
B09PFJQZRX,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/51rFXu1keNL._AC_UL600_SR600,400_.jpg"
B07SQ3SP6S,Tarjeta Regalo de Amazon.es para imprimir,100.00,4.7,1.867,"https://images-eu.ssl-images-amazon.com/images/I/31hIyqA+ktL._AC_UL900_SR900,600_.jpg"
B009AR2N4K,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/31tVqwoR6UL._AC_UL600_SR600,400_.jpg"
B08698K171,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/41yNsY7DscL._AC_UL600_SR600,400_.jpg"
B08J13FN5Q,Spotify Premium - válido en España - por correo electrónico,10.00,4.8,72,"https://images-eu.ssl-images-amazon.com/images/I/41FH1e8HZmL._AC_UL900_SR900,600_.jpg"
B07T7JCYX6,Tarjeta Regalo Amazon.es - Tarjeta Desplegable Regalo Navidad,50.00,4.8,419,"https://images-eu.ssl-images-amazon.com/images/I/71s4DGWD3LL._AC_UL900_SR900,600_.jpg"
B083QZK4XW,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/41ru1c2iq7L._AC_UL600_SR600,400_.jpg"
B07R4V8833,Tarjeta Regalo Amazon.es - Estuche Madera,30.00,4.7,398,"https://images-eu.ssl-images-amazon.com/images/I/81KFMYxGs6L._AC_UL900_SR900,600_.jpg"
B07R2CP71Q,Tarjeta Regalo Amazon.es - Estuche Felices Fiestas,30.00,4.8,558,"https://images-eu.ssl-images-amazon.com/images/I/81NshMcAuQL._AC_UL900_SR900,600_.jpg"
B07J38TV7K,Tarjeta Regalo de Amazon.es para imprimir,100.00,4.7,1.867,"https://images-eu.ssl-images-amazon.com/images/I/416bvuBDL8L._AC_UL900_SR900,600_.jpg"
B0BRKLG5KV,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/515Cz68AZxL._AC_UL600_SR600,400_.jpg"
B082VVHBBS,Tarjeta Regalo Amazon.es - Estuche balón de fútbol,30.00,4.8,240,"https://images-eu.ssl-images-amazon.com/images/I/81qIcbmm07L._AC_UL900_SR900,600_.jpg"
B08BJK1JMF,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/41T8t7MV69L._AC_UL300_SR300,200_.jpg"
B00H7G3L6K,E-Tarjeta regalo de Amazon.es,100.00,4.8,11.904,"https://images-eu.ssl-images-amazon.com/images/I/51+DZS8dHdL._AC_UL300_SR300,200_.jpg"
B07DY8GTJN,Tarjeta Regalo Amazon.es - Tarjeta Gold Desplegable,20.00,4.7,207,"https://images-eu.ssl-images-amazon.com/images/I/81AvVGID3JL._AC_UL300_SR300,200_.jpg"
