asin,title,price,rating,num_reviews,img_link
B0049U0DMC,"Lavazza, Qualità Oro, Café en Grano, Ideal para la Máquina de Espresso, con Notas Aromáticas de Frutas y Flores, 100% Arábica",21.90,4.5,36.264,"https://images-eu.ssl-images-amazon.com/images/I/61IvnwzwXAL._AC_UL900_SR900,600_.jpg"
B08Y1CYY63,"by Amazon Cápsulas de café Lungo Intenso, tueste medio, compatibles con Nespresso, 100 unidades, 2 paquetes de 50, certificad",16.13,4.1,1.120,"https://images-eu.ssl-images-amazon.com/images/I/61Qn7jEtM9L._AC_UL900_SR900,600_.jpg"
B07TX86KFZ,"Matcha & CO Té Matcha Premium 100% Ecológico, Grado Premium Ceremonial, en Polvo Orgánico de Japón, 100% Natural, Té Verde, 3",14.85,4.5,3.329,"https://images-eu.ssl-images-amazon.com/images/I/71Q2+zZKFEL._AC_UL900_SR900,600_.jpg"
B013W8QZXM,NESCAFÉ Dolce Gusto Café con Leche - x3 pack de 30 cápsulas - Total: 90 cápsulas,24.10,4.7,5.210,"https://images-eu.ssl-images-amazon.com/images/I/812bOw7Wz8L._AC_UL900_SR900,600_.jpg"
B0751PL5SV,"Lavazza, Qualità Oro, Café en Grano, Ideal para la Máquina de Espresso, con Notas Aromáticas de Frutas y Flores, 100% Arábica",9.20,4.4,4.483,"https://images-eu.ssl-images-amazon.com/images/I/61AbnvvWF9L._AC_UL900_SR900,600_.jpg"
B07SLLTPHD,NESCAFÉ Dolce Gusto Espresso Intenso - x3 pack de 30 cápsulas - Total: 90 cápsulas,24.75,4.7,3.683,"https://images-eu.ssl-images-amazon.com/images/I/81mcIxbuD9L._AC_UL900_SR900,600_.jpg"
B00XA1QNAM,Bonka café en grano natural - 1 paquete x 1 kg,11.26,4.4,2.121,"https://images-eu.ssl-images-amazon.com/images/I/91Vj-OOEGFL._AC_UL900_SR900,600_.jpg"
B08KY8GDHK,Cupper - Calendario de Adviento Ecológico - Estuche con 24 Bolsitas de Infusiones y Tés - Apto para Consumo Vegano - Incluye ,4.59,4.4,1.137,"https://images-eu.ssl-images-amazon.com/images/I/716rPRYLmGL._AC_UL900_SR900,600_.jpg"
B08836HC41,"Matcha & CO Té Matcha 100% Ecológico, Grado Ceremonial, en Polvo Orgánico de Japón, Orgánico, 100% Natural, Té Verde, 80G",16.55,4.4,2.635,"https://images-eu.ssl-images-amazon.com/images/I/61z5883hchL._AC_UL900_SR900,600_.jpg"
B07PY79F2M,"Lavazza, Crema e Gusto Classico, Café Molido, Paquete de 4 x 250 g, con Notas Aromáticas de Especias, Arábica y Robusta, Inte",12.25,4.4,3.404,"https://images-eu.ssl-images-amazon.com/images/I/71vngDEt4rL._AC_UL900_SR900,600_.jpg"
B01L01ES3M,"Caffè Borbone Café Respresso, Mezcla Negra - 100 Cápsulas - Compatibles con las Cafeteras de uso doméstico Nespresso®*",20.29,4.2,53.307,"https://images-eu.ssl-images-amazon.com/images/I/51D62IbATGL._AC_UL900_SR900,600_.jpg"
B08127F6ZT,Huesitos Mini - Barritas de Barquillo en versión Mini cubierto de Chocolate con Leche y con relleno de Cacao. Bañados en Deli,2.70,4.7,3.191,"https://images-eu.ssl-images-amazon.com/images/I/81mOFa23waL._AC_UL900_SR900,600_.jpg"
B085LCQNZV,NESCAFÉ Dolce Gusto Café con Leche Intenso - x3 pack de 16 cápsulas - Total 48 cápsulas,14.64,4.6,1.590,"https://images-eu.ssl-images-amazon.com/images/I/81zn2dPJN9L._AC_UL900_SR900,600_.jpg"
B08DDTJZYF,"Lavazza, Qualità Rossa, Café Molido, con Notas Aromáticas de Chocolate, Arábica y Robusta, Intensidad 5, Tueste Medio, Lata d",5.45,4.5,4.467,"https://images-eu.ssl-images-amazon.com/images/I/61ls+6WwccL._AC_UL900_SR900,600_.jpg"
B073PN1ZP2,"Weider Oat Gourmet. Harina de Avena Integral. Fuente de proteína con bajo contenido en azúcares. Sabor Galleta María (1,9 kg)",10.97,4.4,2.988,"https://images-eu.ssl-images-amazon.com/images/I/71yIwwY3rrL._AC_UL900_SR900,600_.jpg"
B016740UHU,"NATURGREEN Aceite de Coco Bio, Virgen Extra, Ideal para Cocinar, Hidrata Piel y Cabello, Ingredientes Naturales, Apto para Ve",6.64,4.6,795,"https://images-eu.ssl-images-amazon.com/images/I/71v5fba7e4L._AC_UL900_SR900,600_.jpg"
B00EVD6GG4,"Mars Surtido de Chocolatinas en formato mini, Chocolate, 400g",5.24,4.6,305,"https://images-eu.ssl-images-amazon.com/images/I/51vUt3nBxaL._AC_UL900_SR900,600_.jpg"
B00O214UKO,Tassimo Cápsulas Marcilla Café Con Leche | 80 Cápsulas Compatibles con Cafetera Tassimo - 5PACK - Amazon Exclusive,26.45,4.6,2.820,"https://images-eu.ssl-images-amazon.com/images/I/81t-t2O8RML._AC_UL900_SR900,600_.jpg"
B0C62J2P39,Milka Calendario de Adviento Chocolate con Leche de los Alpes Especial Navidad 200g,6.99,4.6,26,"https://images-eu.ssl-images-amazon.com/images/I/91YZ+Py4ruL._AC_UL900_SR900,600_.jpg"
B08R1P1V91,Delta Q Pack XL Deqafeinatus - Café Cápsulas - Intensidad 1 - 40 Cápsulas,9.91,4.6,343,"https://images-eu.ssl-images-amazon.com/images/I/41wPiVPXssL._AC_UL900_SR900,600_.jpg"
B06XQ5DCYJ,"Té Verde Matcha Orgánico en Polvo - Grado Premium - 100g. Té Biológico, Ecológico Cultivado en Japón, Uji, Kyoto. Ideal para ",16.40,4.5,15.543,"https://images-eu.ssl-images-amazon.com/images/I/81H1wionsjL._AC_UL900_SR900,600_.jpg"
B09KCBM1KC,Delta Q - Cápsulas de Café Molido Qalidus - Espresso Intenso con Notas de Caramelo - Intensidad 10 - Molido Natural - 80 Cáps,21.99,4.6,1.765,"https://images-eu.ssl-images-amazon.com/images/I/41uT96h5tAL._AC_UL900_SR900,600_.jpg"
B07H4L79WD,Dolce Gusto NESCAFÉ Ristretto Ardenza - x3 pack de 30 cápsulas - Total: 90 cápsulas,24.15,4.8,1.939,"https://images-eu.ssl-images-amazon.com/images/I/81RELGOiRRL._AC_UL900_SR900,600_.jpg"
B089BFBLDK,Dolce Gusto NESCAFÉ Café con Leche Delicato - x3 pack de 16 cápsulas - Total: 48 cápsulas,14.67,4.7,1.104,"https://images-eu.ssl-images-amazon.com/images/I/81WhT2L7wlL._AC_UL900_SR900,600_.jpg"
B089QJXD72,"ERBOTECH Te Matcha BIO/Polvo de Té Verde Japonés Orgánico 100 g, Multivitamínico 100% Natural, Vegan. Ideal para Pasteles, Ba",10.99,4.3,3.393,"https://images-eu.ssl-images-amazon.com/images/I/71mPX1zlFyL._AC_UL900_SR900,600_.jpg"
B0BH5JYRXR,"by Amazon Cápsulas de café Paquete Variado compatibles con Nespresso, 100 Unidad, 5 Paquetes de 20, Certificado por Rainfores",15.99,4.2,397,"https://images-eu.ssl-images-amazon.com/images/I/71xRzTuFIYL._AC_UL900_SR900,600_.jpg"
B0BH5JT6R6,"by Amazon - Cápsulas de café Intenso, tueste oscuro, compatibles con Nespresso, 100 unidades, 5 paquetes de 20, certificado R",17.74,4.2,270,"https://images-eu.ssl-images-amazon.com/images/I/71uriJsGt1L._AC_UL900_SR900,600_.jpg"
B0B5712KZK,"Blemil 2 Optimum ProTech - Leche de continuación en polvo, Desde los 6 Meses, 1200g",32.95,4.7,175,"https://images-eu.ssl-images-amazon.com/images/I/81zbt+6ocHL._AC_UL900_SR900,600_.jpg"
B08HRM4NY1,"Halls Caramelos Duros Sabor Sandía, sin Azúcar y con Vitamina C, 4 x 32g",2.34,4.7,611,"https://images-eu.ssl-images-amazon.com/images/I/815umnUQqLL._AC_UL900_SR900,600_.jpg"
B01HTBD2WK,"Puleva Peques Leche de Crecimiento Tipo 3, 1 L (Paquete de 6)",10.14,4.5,713,"https://images-eu.ssl-images-amazon.com/images/I/81tcl3Z2UHL._AC_UL900_SR900,600_.jpg"
B08J3TFBKR,Incapto Café en Grano de Especialidad | Origen Colombia | 100% Arábica | Specialty Coffee 84 puntos SCA | Tueste Natural y Ar,18.85,4.2,517,"https://images-eu.ssl-images-amazon.com/images/I/61oJ8AQR8QL._AC_UL300_SR300,200_.jpg"
B00DPKUKPC,Coca-Cola Sabor Original - Refresco de cola - Pack de 24 latas 330 ml,16.86,4.6,2.843,"https://images-eu.ssl-images-amazon.com/images/I/71KOOypr1uL._AC_UL300_SR300,200_.jpg"
B01EHSO0II,Blevit Plus Bibe 8 Cereales - Papilla de Cereales para Bebé fórmula especial para Biberón - Sin Azúcares Añadidos - Desde los,8.55,4.7,585,"https://images-eu.ssl-images-amazon.com/images/I/8128BDOnFQS._AC_UL300_SR300,200_.jpg"
B08TX51MD7,Harina de almendras Realfooding 1 KG KETO NATURAL nut&me | 100% almendra | Extrafina | Sin Gluten | vegetariano y vegano | Di,12.99,4.7,780,"https://images-eu.ssl-images-amazon.com/images/I/61oPu6jawCL._AC_UL300_SR300,200_.jpg"
B079QMX87B,Saimaza Café Extra Fuerte Espresso 11 - 200 cápsulas de aluminio compatibles con máquinas Nespresso (R)* (10 Paquetes de 20 c,48.94,4.5,948,"https://images-eu.ssl-images-amazon.com/images/I/71r+1+MCUXL._AC_UL300_SR300,200_.jpg"
B01ITRI2T6,"Central Lechera Asturiana Leche sin Lactosa Semidesnatada, 1 l (Paquete de 6)",7.14,4.6,804,"https://images-eu.ssl-images-amazon.com/images/I/81Z70b3YREL._AC_UL300_SR300,200_.jpg"
B00M779GQI,"Bolero - Classic, 24 x 9g Limón (Lemon)",13.40,4.5,4.453,"https://images-eu.ssl-images-amazon.com/images/I/51+QlAMCpDL._AC_UL300_SR300,200_.jpg"
B0BTXGDW3V,"Mega Pack 200 Chuches, Caramelos y Golosinas Cia&Co · Para Cumpleaños, Piñatas, Fiestas Infantiles, Navidad, Halloween · Hast",24.90,4.4,943,"https://images-eu.ssl-images-amazon.com/images/I/91r-m1Zm6EL._AC_UL300_SR300,200_.jpg"
B0CD241JMY,"100 Chuches Relleno de Piñata Sin Alérgenos, Golosinas y Caramelos WikiMark - Para Relleno Bolsas de Cumpleaños, Fiestas, Nav",15.45,4.0,34,"https://images-eu.ssl-images-amazon.com/images/I/81wscXGTCQL._AC_UL300_SR300,200_.jpg"
