asin,title,price,rating,num_reviews,img_link
B00XO27QH6,Ana Maria Lajusticia - Colágeno con magnesio – 450 comprimidos articulaciones fuertes y piel tersa. Regenerador de tejidos hi,15.51,4.5,15.446,"https://images-eu.ssl-images-amazon.com/images/I/61vlJkQ+YrL._AC_UL900_SR900,600_.jpg"
B00M75GE4M,"Humana Melamil, Melatonina Al 99%, Ayuda A Conciliar El Sueño, Complemento Alimenticio En Gotas para Niños Y Adultos, 30 ml (",15.95,4.6,1.597,"https://images-eu.ssl-images-amazon.com/images/I/61D615+HRrL._AC_UL900_SR900,600_.jpg"
B07MSJDB8M,"Cecotec Humidificador Ultrasónico y Difusor de Aromas con Temporizador Pure Aroma 300 Yang. 10 W, 300 ml, Temporizador hasta ",19.90,4.3,16.890,"https://images-eu.ssl-images-amazon.com/images/I/611U4nRGkkL._AC_UL900_SR900,600_.jpg"
B07BBZW65W,"Finish Powerball Power All in 1 Pastillas para el lavavajillas, 80 pastillas",13.19,4.7,12.122,"https://images-eu.ssl-images-amazon.com/images/I/71iaylvxQvL._AC_UL900_SR900,600_.jpg"
B09PYLZSQX,"Finish Powerball Quantum Infinity Shine, pastillas para el lavavajillas con protección del cristal, 83 pastillas",15.09,4.6,3.959,"https://images-eu.ssl-images-amazon.com/images/I/71fsqavxy+L._AC_UL900_SR900,600_.jpg"
B08NXBRYFJ,"OMRON X2 Basic Tensiómetro de Brazo digital, medición precisa de la presión arterial y el pulso, validado clinicamente , 1 Un",29.99,4.7,23.974,"https://images-eu.ssl-images-amazon.com/images/I/81vstfuHCwL._AC_UL900_SR900,600_.jpg"
B0C1H3KJ2C,"Oral-B Pro CrossAction Recambios para Cepillo de Dientes Eléctrico, Pack de 8 Cabezales, Blanco - Originales",24.99,4.7,347,"https://images-eu.ssl-images-amazon.com/images/I/817fMPncYTL._AC_UL900_SR900,600_.jpg"
B015KGWSNK,"Colnatur Complex Neutro - Colágeno con Magnesio y Vitamina C para Músculos y Articulaciones, en Polvo, 330g",13.95,4.4,4.787,"https://images-eu.ssl-images-amazon.com/images/I/71QQJ7QedBL._AC_UL900_SR900,600_.jpg"
B07Q31N9D4,Healthy Fusion Whey Protein | Proteina Whey pura con Colágeno + Magnesio | Mejora tus entrenamientos | Protege y aumenta la m,29.90,4.1,5.896,"https://images-eu.ssl-images-amazon.com/images/I/71M4v7C74qL._AC_UL900_SR900,600_.jpg"
B0BFF1D3HK,"Manta Electrica Lumbar, Manta Calefactora en Seco y Húmedo para Espalda, Cuello, Hombros, Abdomen con Controlador, Franela Su",19.91,4.4,3.030,"https://images-eu.ssl-images-amazon.com/images/I/71QUv7Wzs5L._AC_UL900_SR900,600_.jpg"
B08X14J7VW,"Rowenta BS1400 Premiss - Báscula de baño con Pantalla LCD, de diseño fino de 2cm de alto, hasta 150 kg y 100 gr de precisión,",12.39,4.5,11.419,"https://images-eu.ssl-images-amazon.com/images/I/51SAM3Q+SxL._AC_UL900_SR900,600_.jpg"
B08MYVY82G,250 Cápsulas PROBIÓTICOS + Cúrcuma con Jengibre y Pimienta Negra | 1460mg | Cúrcuma en Cápsulas con Curcumina y Piperina | An,23.02,4.6,2.713,"https://images-eu.ssl-images-amazon.com/images/I/71TZ6wlSyFL._AC_UL900_SR900,600_.jpg"
B0BG2HBPV6,"Ariel All-in-One Detergente Lavadora Liquido en Capsulas/Pastillas, 90 Lavados (2x45), Original, Jabon 5 Acciones para una Li",26.99,4.8,544,"https://images-eu.ssl-images-amazon.com/images/I/81E36Fxp76L._AC_UL900_SR900,600_.jpg"
B01BN0QUUE,Neositrin Protect Spray acondicionador sin aclarado que repele los piojos - Protege y desenreda - Aroma a naranja y mango - P,12.95,4.5,2.794,"https://images-eu.ssl-images-amazon.com/images/I/81d8-aWpLmL._AC_UL900_SR900,600_.jpg"
B071W264LM,Creatina Monohidrato en Polvo de HSN | Sin Sabor 500 g = 143 Tomas por Envase | 100% Monohidrato de Creatina Pura Sin Añadido,13.99,4.4,2.264,"https://images-eu.ssl-images-amazon.com/images/I/61oJw9lsG7L._AC_UL900_SR900,600_.jpg"
B07VQTL4HL,"BIO - Aceite Esencial LAVANDA - 10mL - 100% Puro, Natural, Quimiotipado y Certificado AB - AROMA LABS (Marca Francesa)",5.80,4.2,689,"https://images-eu.ssl-images-amazon.com/images/I/61p2jwT7KuL._AC_UL900_SR900,600_.jpg"
B08BTXFQ4F,"Citrato de Magnesio 1480mg, 240 Cápsulas Veganas - 440mg de Magnesio Puro de Alta Biodisponibilidad, Reduce Cansancio y Fatig",19.49,4.6,3.069,"https://images-eu.ssl-images-amazon.com/images/I/714OUBJoXfL._AC_UL900_SR900,600_.jpg"
B01N6LMJ6A,"Durex Naturals H2O Lubricante, con ingredientes 100% naturales, 100 ml",9.49,4.4,4.801,"https://images-eu.ssl-images-amazon.com/images/I/71irvge29rL._AC_UL900_SR900,600_.jpg"
B07DGJ6NZB,"Oral-B Vitality 100 Cepillo de Dientes Eléctrico con Mango Recargable y Cabezal CrossAction, Tecnología de Braun - Azul",23.90,4.6,12.629,"https://images-eu.ssl-images-amazon.com/images/I/71cjpGxDCPL._AC_UL900_SR900,600_.jpg"
B076CGCBR4,Ana Maria Lajusticia -Triptófano con melatonina + magnesio + VIT B6. Induce al sueño y mejora la calidad del sueño. Apto para,9.67,4.3,5.387,"https://images-eu.ssl-images-amazon.com/images/I/71sA-eYlmpL._AC_UL900_SR900,600_.jpg"
B09QH7SV2C,"Natulim - Detergente en Tiras para Lavadora (40 Lavados) - Incluye Suavizante, Ecológico, Hipoalergénico - Ropa limpia y suav",11.95,4.2,2.007,"https://images-eu.ssl-images-amazon.com/images/I/61+UDJxiJxL._AC_UL900_SR900,600_.jpg"
B00V4XRQ40,"Ensure Nutrivigor - Complemento Alimenticio para Adultos, con HMB, Proteínas, Vitaminas y Minerales, como el Calcio - Sabor V",23.50,4.6,2.397,"https://images-eu.ssl-images-amazon.com/images/I/61BwA8vu1dL._AC_UL900_SR900,600_.jpg"
B087N9NSPS,"Lenor UNstoppables Perlas Suavizante de Perfume para la Ropa, 62 Lavados (6 x 140 g), Potenciador de Frescor para el Lavado, ",18.99,4.6,5.780,"https://images-eu.ssl-images-amazon.com/images/I/81dR6mcDohL._AC_UL900_SR900,600_.jpg"
B07Z9MDV8F,"OMRON X3 Comfort Tensiómetro de Brazo digital, Máquina de presión sanguínea para el control de la hipertensión, validado clin",52.40,4.7,22.860,"https://images-eu.ssl-images-amazon.com/images/I/71sZyZKZNPL._AC_UL900_SR900,600_.jpg"
B0BT113ZSC,Creatina monohidratada en polvo 1kg / 1000g - calidad micronizada - óptimamente dosificada - creatina pura sin aditivos - 100,19.95,4.7,3.316,"https://images-eu.ssl-images-amazon.com/images/I/71bB0egD0RL._AC_UL900_SR900,600_.jpg"
B01BHPM2IO,"Senti2, Suero fisiológico - 60 monodosis",6.05,4.8,2.848,"https://images-eu.ssl-images-amazon.com/images/I/713bjC9jHBL._AC_UL900_SR900,600_.jpg"
B01549L06E,"COLLMAR Colágeno Marino Hidrolizado con Ácido Hialurónico, Magnesio, Vitamina C natural | para cartílagos, huesos y piel | Al",9.56,4.4,2.630,"https://images-eu.ssl-images-amazon.com/images/I/71pS-P8kJ3L._AC_UL900_SR900,600_.jpg"
B08MFDT65P,"Loop Quiet Tapones para la reducción del ruido - Protección auditiva supersuave y reutilizable de silicona, para dormir y com",19.95,4.0,68.086,"https://images-eu.ssl-images-amazon.com/images/I/51blRUPyaqL._AC_UL900_SR900,600_.jpg"
B07YJBJSHV,"Manta Electrica，Almohadilla TéRmica,Almohadilla De Calefacción EléCtrica Con Apagado AutomáTico Y 6 Temperaturas Almohadilla ",23.99,4.5,13.431,"https://images-eu.ssl-images-amazon.com/images/I/71i8msGEmUL._AC_UL900_SR900,600_.jpg"
B07DGMWKK9,"Oral-B Vitality 100 Cepillo de Dientes Eléctrico con Mango Recargable y Cabezal CrossAction, Tecnología de Braun - Negro",24.95,4.6,33.677,"https://images-eu.ssl-images-amazon.com/images/I/71nsEog1fXL._AC_UL900_SR900,600_.jpg"
B07M7L3J7Y,"Citrato de Magnesio 1545mg + Magnesio Bisglicinato 600mg - Reduce Cansancio y Fatiga, Alivia Dolor Articulaciones y Músculos ",19.86,4.5,1.805,"https://images-eu.ssl-images-amazon.com/images/I/71I29hJtBOL._AC_UL300_SR300,200_.jpg"
B07QWMBNXC,"PediaSure – Sabor Chocolate – Complemento Alimenticio para Niños con Proteínas, Vitaminas y Minerales – 850 gr",23.95,4.6,2.389,"https://images-eu.ssl-images-amazon.com/images/I/61V2QIL5w0L._AC_UL300_SR300,200_.jpg"
B01FXNE9S2,"HG Limpiador de Moho, Spray Antimoho Eficaz, Elimina Manchas de Humedad y Moho de Paredes, Azulejos, Sellos de Silicona y más",6.95,4.5,5.912,"https://images-eu.ssl-images-amazon.com/images/I/6139+P2ooVL._AC_UL300_SR300,200_.jpg"
B00GY25D3W,Trofolastin - Reductor de cicatrices - parche poliuretano - reduce y previene cicatrices hipertróficas o queloides - quemadur,29.09,4.4,5.627,"https://images-eu.ssl-images-amazon.com/images/I/71xiq+MrNhL._AC_UL300_SR300,200_.jpg"
B09SKZC7DB,"Qitizu Recambios Cepillos Compatible con Braun Oral B Eléctricos Cepillo de Dientes, 16 Cabezales de Repuesto-incluir 4 Preci",9.99,4.5,5.096,"https://images-eu.ssl-images-amazon.com/images/I/714T-So3-uL._AC_UL300_SR300,200_.jpg"
B01IVIRRXK,"Clearblue - Prueba de embarazo Ultratemprana (10 mIU), resultados 6 días antes, 1 test",7.70,4.3,730,"https://images-eu.ssl-images-amazon.com/images/I/71G-Mik74NL._AC_UL300_SR300,200_.jpg"
B00J5G2YEA,Neositrin Spray Gel - Elimina 100% piojos y liendres en 1 minuto y en 1 aplicación - No contiene insecticidas - Para uso diar,15.95,4.5,1.541,"https://images-eu.ssl-images-amazon.com/images/I/61eMt+ACu1L._AC_UL300_SR300,200_.jpg"
B07ZKT6C3N,Imunoglukan P4H Jarabe 250ml - Complemento Alimenticio con Vitamina C para fortalecer las Defensas de Niños a partir de 3 año,28.50,4.6,1.720,"https://images-eu.ssl-images-amazon.com/images/I/61BuuKxr5dL._AC_UL300_SR300,200_.jpg"
B01EGH9JMM,"Ana Maria Lajusticia - Triptófano con magnesio + VIT B6 – 60 comprimidos, Reduce la ansiedad, el cansancio y regula el reloj ",9.59,4.4,4.892,"https://images-eu.ssl-images-amazon.com/images/I/71d-fkxgiLL._AC_UL300_SR300,200_.jpg"
B07L3DG8DK,"Scottex Original Papel Higiénico - Incluye 6 packs de 16 rollos, en total 96 rollos",36.39,4.3,10.206,"https://images-eu.ssl-images-amazon.com/images/I/81TFENoVWUL._AC_UL300_SR300,200_.jpg"
B00L2IQM60,Suavizante Concentrado Asevi Azul 60 dosis,1.99,4.4,2.310,"https://images-eu.ssl-images-amazon.com/images/I/71Jtrswy1aL._AC_UL300_SR300,200_.jpg"
B07VB1GNCC,"IronMaxx Protein Shaker- antracita 700ml | Mezclador de proteínas con tapa de rosca, tamiz, escala de medición | a prueba de ",4.40,4.3,6.306,"https://images-eu.ssl-images-amazon.com/images/I/616v3upmlnL._AC_UL300_SR300,200_.jpg"
B08BLGKHD9,"Oral-B CrossAction Cabezales De Recambio Black Edition,Pack De 10, Envase Reciclable, Apto para Tamaño Del Buzón",26.99,4.8,18.768,"https://images-eu.ssl-images-amazon.com/images/I/71imE9jOogL._AC_UL300_SR300,200_.jpg"
B00TU70ZFE,"Lubido Original Lubricante Libre de Parabenos, 250 ml",8.95,4.4,43.538,"https://images-eu.ssl-images-amazon.com/images/I/71a-RyIee9L._AC_UL300_SR300,200_.jpg"
B00T7L20AQ,"Creatina en Polvo Micronizada Optimum Nutrition, Polvo de Monohidrato de Creatina 100 % Puro para Rendimiento y Potencia Musc",21.79,4.5,12.419,"https://images-eu.ssl-images-amazon.com/images/I/51ORhpsfhEL._AC_UL300_SR300,200_.jpg"
B00DN9NWQY,"Ana Maria Lajusticia Cloruro de magnesio. Disminuye el cansancio y la fatiga, mejora el funcionamiento del sistema nervioso. ",5.25,4.4,2.506,"https://images-eu.ssl-images-amazon.com/images/I/71wg3N-kOyL._AC_UL300_SR300,200_.jpg"
B08S6XJTBZ,"Colágeno Marino Hidrolizado + Ácido hialurónico + Coenzima Q10 + Magnesio + Zinc + Vitaminas A, C, D y B12 - Articulaciones F",25.97,4.4,5.767,"https://images-eu.ssl-images-amazon.com/images/I/61WZ1QB7X4L._AC_UL300_SR300,200_.jpg"
B08D1KS5C1,"NORIT Bebé - Detergente Líquido para Ropa de Bebé, Pieles Sensibles y Atópicas - Pack de 4 Unidades de 1125 Mililitros, 4500 ",15.92,4.7,3.843,"https://images-eu.ssl-images-amazon.com/images/I/712eu-QuMOL._AC_UL300_SR300,200_.jpg"
B089XX5824,"CAZON Tensiómetro de Brazo, Monitor de presión arterial para uso doméstico. Detector electrónico de frecuencia cardíaca con b",19.44,4.5,11.924,"https://images-eu.ssl-images-amazon.com/images/I/61Kk9zSn52L._AC_UL300_SR300,200_.jpg"
B01IVPBJ5U,"EPAPLUS Sleepcare, Melatonina Retard con Triptófano, Melatonina de Liberación Prolongada 8 Horas, Dormir Rápidamente,60 Compr",8.50,4.1,2.619,"https://images-eu.ssl-images-amazon.com/images/I/61WxuJgPkcL._AC_UL300_SR300,200_.jpg"
B0754DHZGK,"CLUB ONLINE Complidermol 5alfa plus, 60capsulas.",23.09,4.3,647,"https://images-eu.ssl-images-amazon.com/images/I/51XybBMsMNL._AC_UL900_SR900,600_.jpg"
B0B93B2CQ9,ZVZK Bragas Menstruales Flujo Abundante de Mujer para Regla Periodo Mentruación Hipsters,19.99,4.1,846,"https://images-eu.ssl-images-amazon.com/images/I/61uhewQel7L._AC_UL900_SR900,600_.jpg"
B01K28121U,Superfuerza Omega 3 2000mg - 240 Capsulas Blandas de Gel. Máxima Concentración de DHA 440mg y EPA 660mg. Concentrado Aceite d,19.95,4.6,16.305,"https://images-eu.ssl-images-amazon.com/images/I/71pplWEg+eL._AC_UL900_SR900,600_.jpg"
