asin,title,price,rating,num_reviews,img_link
B07ZHLHKV2,"Limpiezabarata Toalla Papel Secamanos Tejido Zig Zag, Laminadas Doble Capa, Caja 3000 Unidades",22.81,4.4,699,"https://images-eu.ssl-images-amazon.com/images/I/71er4Jvtr0L._AC_UL900_SR900,600_.jpg"
B082VTPHF6,"CIF Crema Multisuperficies para el Baño y Cocina, 750ml",2.48,4.7,1.710,"https://images-eu.ssl-images-amazon.com/images/I/61ZwVay7JAL._AC_UL900_SR900,600_.jpg"
B07SH9FY7G,"EQM SOLUCIONES QUÍMICAS | Alcohol Isopropílico 99,9% Pureza | 1L | Limpieza componentes electrónicos, objetivos y pantallas |",7.79,4.7,3.220,"https://images-eu.ssl-images-amazon.com/images/I/61rIvXPcuWL._AC_UL900_SR900,600_.jpg"
B07PXMLJ7Z,Bayeco - Estropajo con Mango Click & Limpio - Mango rellenable - Evita el contacto directo con la suciedad - Sistema dispensa,3.50,4.1,70,"https://images-eu.ssl-images-amazon.com/images/I/61kcwI3slWL._AC_UL900_SR900,600_.jpg"
B086JTZXMH,"3DFILS - Filamento PLA para impresión 3D esFil PLA INGEO 3D850: 1.75 mm, 1 Kg, Negro",14.00,4.0,731,"https://images-eu.ssl-images-amazon.com/images/I/519DCXcWijL._AC_UL900_SR900,600_.jpg"
B07R8X76GW,"SUNLU Filamento PLA Plus para impresora 3D, filamento PLA Plus de 0.069 pulgadas, filamento 3D mejorado de dureza compatible ",17.99,4.4,12.446,"https://images-eu.ssl-images-amazon.com/images/I/71hCa+zsIaL._AC_UL900_SR900,600_.jpg"
B07XFL3XB9,"SUNLU Filamento PLA+ 1.75 mm, Filamento para impresora 3D PLA Plus 1KG，Mejora de la resistencia,Neatly Wound, Filamento de im",17.99,4.4,6.955,"https://images-eu.ssl-images-amazon.com/images/I/71bNTA+2ZuL._AC_UL900_SR900,600_.jpg"
B0CCN1189S,"PORTENTUM Alcohol isopropilico 1L (máxima pureza 99,9%) para electrónica, limpia cristales y limpieza general: desengrasante ",7.69,4.8,189,"https://images-eu.ssl-images-amazon.com/images/I/51mpKUC9A7L._AC_UL900_SR900,600_.jpg"
B00UEMEBJ0,"Scotch-Brite Esponja Mágica de Limpieza, Paquete Económico de 6 Esponjas, Borrador Mágico, Elimina Las Manchas de Paredes, Za",7.49,4.1,1.623,"https://images-eu.ssl-images-amazon.com/images/I/618oMsq10WL._AC_UL900_SR900,600_.jpg"
B00U2QZB6K,"KH-7 Quitagrasas Profesional, Elimina sin esfuerzo la grasa y suciedad más incrustada - Garrafa 5L",18.12,4.6,1.030,"https://images-eu.ssl-images-amazon.com/images/I/51cNipqbSeL._AC_UL900_SR900,600_.jpg"
B0191NJ9F8,"Cleaning Block WC - Pack de 4 barritas para eliminar manchas de cal, sarro y otra suciedad incrustada en inodoros, WC, lavabo",7.95,4.5,4.141,"https://images-eu.ssl-images-amazon.com/images/I/81zVCodknZL._AC_UL900_SR900,600_.jpg"
B07S2L4RZX,"EQM SOLUCIONES QUÍMICAS | ECO-301 | Alcohol Isopropílico 99,9% Pureza | Limpieza componentes electrónicos, objetivos, pantall",22.20,4.8,1.606,"https://images-eu.ssl-images-amazon.com/images/I/71AsE+vipHL._AC_UL900_SR900,600_.jpg"
B0BHF4SS6Q,"EQM SOLUCIONES QUIMICAS | ECO-216 | Vinagre de Limpieza Concentrado 10º de Acidez | Formato 1x5L, 2x5L, 3x5L | 100% Ecológico",9.95,4.5,189,"https://images-eu.ssl-images-amazon.com/images/I/71FuNvF1N7L._AC_UL900_SR900,600_.jpg"
B08LQJ8W1F,Winkle Filamento Pla HD | Pla 1.75mm | Filamento Impresión | Impresora 3D | Filamento 3D | Color Negro Azabache | Bobina 1000,16.55,4.2,1.785,"https://images-eu.ssl-images-amazon.com/images/I/61zYEftuRgL._AC_UL900_SR900,600_.jpg"
B0BJ1DWCG2,"JAYO Filamento PLA+ 1.75mm, Filamento Impresora 3D PLA Plus, PLA+ Blanco Bobina de 1.1kg, Precisión Dimensional +/- 0.02 mm",21.99,4.4,949,"https://images-eu.ssl-images-amazon.com/images/I/71KWlcruKuL._AC_UL900_SR900,600_.jpg"
B00MDIZCXC,WOLFPACK LINEA PROFESIONAL - Rueda Carretilla Obra Maciza Llanta Metalica,16.50,4.4,1.522,"https://images-eu.ssl-images-amazon.com/images/I/519lSZ2gI7L._AC_UL900_SR900,600_.jpg"
B01MAY5ECH,"Pie de Rey Digital, LOUISWARE 150 mm /6 Pulgadas de Calibre Digital Electrónica, Paquimetro Profesional de Acero Inoxidable, ",26.99,4.4,6.622,"https://images-eu.ssl-images-amazon.com/images/I/61qUzJjGh+L._AC_UL900_SR900,600_.jpg"
B0051PY0OG,"3 EN UNO Original 34135 - Spray Multiusos 200 ml- Lubrica, Limpia y Protege Contra el Óxido",5.90,4.6,1.122,"https://images-eu.ssl-images-amazon.com/images/I/51yEbfkSScL._AC_UL900_SR900,600_.jpg"
B01HTTQ6FC,"Vileda Turbo - Juego de fregona con palo telescópico, cubo escurridor giratorio y recambio de microfibras, incluye 1 recambio",50.99,4.3,2.643,"https://images-eu.ssl-images-amazon.com/images/I/71p-LZFnajS._AC_UL900_SR900,600_.jpg"
B07FQDKR28,"eSUN Filamento PLA+ 1.75mm, Mejorado Tenacidad Impresora 3D Filamento PLA Plus, Precisión Dimensional +/- 0.03mm, 1KG Carrete",18.99,4.5,10.749,"https://images-eu.ssl-images-amazon.com/images/I/71dp4W4SkOL._AC_UL900_SR900,600_.jpg"
B0BX9GND1P,"AKZIM Filamento PLA 1.75mm para Impresión 3D, Precisión Dimensional +/- 0.02 mm, Compatible con Impresora FDM, 1KG/Carrete, B",16.99,4.5,56,"https://images-eu.ssl-images-amazon.com/images/I/71mTKamZa+L._AC_UL900_SR900,600_.jpg"
B00K7Y5HT8,"3 EN UNO Profesional - Grasa de Litio Tubo -150gr, incoloro (34167)",5.95,4.6,2.845,"https://images-eu.ssl-images-amazon.com/images/I/71rFKefjnPL._AC_UL900_SR900,600_.jpg"
B09F6JS1V8,"MARKLIFE Mini Dispositivo de etiquetado Bluetooth P11, Dispositivo de etiquetado térmico Autoadhesivo, Mini Impresora de Etiq",15.99,4.3,2.318,"https://images-eu.ssl-images-amazon.com/images/I/61TVi0yn45L._AC_UL900_SR900,600_.jpg"
B0BYP3XZNH,200 Bolsas Plástico Asa Tipo Camiseta Resistentes - Bolsas Plástico Reutilizables - Bolsas Plástico Alta Resistencia - 70% Re,11.50,3.7,42,"https://images-eu.ssl-images-amazon.com/images/I/41EtO-F5ntL._AC_UL900_SR900,600_.jpg"
B0001GS0FU,"BLACK+DECKER WM301 Banco de Trabajo Workmate Bambú y Acero Diseño Compacto, Carga Máxima 160 kg, Color Negro/ Madera",25.99,4.4,11.556,"https://images-eu.ssl-images-amazon.com/images/I/71fOSHwO7lL._AC_UL900_SR900,600_.jpg"
