rank,asin,title,price,rating,num_reviews,img_link
1,B00E3862DE,"Philips Domestic Appliances GC026/00 Quitapelusas, Azul",0,4.6,1044,"https://images-eu.ssl-images-amazon.com/images/I/51uat63sl2L._AC_UL600_SR600,400_.jpg"
2,B00MFEHQMO,"Rowenta Comfort Compact SO2320 - Calefactor 2000W, 2 velocidades, termostato mecánico función anti-heladas, Silence, ventilador aire frío, fácil transporte, negro/gris",0,4.3,3999,"https://images-eu.ssl-images-amazon.com/images/I/61arWTwncZL._AC_UL600_SR600,400_.jpg"
3,B0BPYVNW3L,"Cecotec Freidora sin Aceite 6 L de Aire Caliente Cecofry Bombastik 6000. 1700 W, Tecnología PerfectCook, Regulación de Temperatura y Tiempo, Control Táctil, 12 Modos, Temporizador",0,4.5,6900,"https://images-eu.ssl-images-amazon.com/images/I/51HHXfRXB7L._AC_UL600_SR600,400_.jpg"
4,B07YFPZTY6,"Cecotec Microondas ProClean 2010. 700 W de Potencia, 20L de Capacidad, Tecnología 3DWave, Modo Descongelación, 6 Niveles de Potencia, Temporizador 30 mins, Diseño Compacto",0,4.0,4990,"https://images-eu.ssl-images-amazon.com/images/I/51SbWaeMsdL._AC_UL600_SR600,400_.jpg"
5,B08PL7SWXH,"Todocama - Protector de colchón/Cubre colchón Ajustable, de Rizo, Impermeable y Transpirable. (Todas Las Medidas Disponibles). (Cama 135 x 190/200 cm)",0,4.4,1499,"https://images-eu.ssl-images-amazon.com/images/I/61+S5QPFOnL._AC_UL600_SR600,400_.jpg"
6,B08NCWDFHV,"Todocama - Edredón/Relleno nórdico de Fibra antiácaros, otoño-Invierno, 300gr/m², Color Blanco (Todas Las Medidas Disponibles). (Cama 80/90-150x220cm)",0,4.6,2790,"https://images-eu.ssl-images-amazon.com/images/I/619NYphfUnL._AC_UL600_SR600,400_.jpg"
7,B07RSCK4XS,"Amazon Basics bolsas de vacío para almacenamiento, incluyen boca para aspirador, 12 Unidad, 3 extragrandes, 3 grandes, 3 medianas y 3 pequeñas, Cremallera, Blanco",0,4.5,2200,"https://images-eu.ssl-images-amazon.com/images/I/91EEwQ6P+yL._AC_UL600_SR600,400_.jpg"
8,B0BSXDVQG7,"BRITA Cartucho de filtro de agua MAXTRA PRO All-in-1 pack 6 NUEVO - Recambio original BRITA que reduce las impurezas, el cloro, los pesticidas y la cal para obtener agua del grifo con mejor sabor",0,4.8,3356,"https://images-eu.ssl-images-amazon.com/images/I/71O2oZXguSL._AC_UL600_SR600,400_.jpg"
9,B0BPZZS9BD,"Cecotec Aspirador Escoba con Cable Conga Popstar 600 Vital. 600 W, Tecnología Ciclónica Sin Bolsa, Poder De succión de 18 kPa, Depósito de 500 ml Fácil de Extraer, Cabezal 360º Twisted",0,4.2,4990,"https://images-eu.ssl-images-amazon.com/images/I/51EOX5KFoCL._AC_UL600_SR600,400_.jpg"
10,B07N8N6C85,"COSORI Freidora de Aire 5,5 L, Air Fryer con 100 Recetas en Español, Freidora sin Aceite con 13 Funciones, Pantalla Táctil LED, Cocción Rápida y Saludable, Cesta Antiadherente, Temporizador, Negra",0,4.7,11500,"https://images-eu.ssl-images-amazon.com/images/I/812wpzXf1tL._AC_UL600_SR600,400_.jpg"
11,B07JNCXNY2,"Cecotec Radiador Eléctrico Bajo Consumo Ready Warm 6750 Crystal Connection. Wifi, 2000 W, Termostato Regulable, 2 Modos, Temporizador, Soporte de pie, Protección sobrecalentamiento",0,4.1,9790,"https://images-eu.ssl-images-amazon.com/images/I/51t6hmYgSBL._AC_UL600_SR600,400_.jpg"
12,B08PVDQFQQ,"Cecotec Batidora de mano Power TitanBlack 1200 XL Cream&Crush. Potencia 1200 W, Tecnología CrossBlades, Pie XL, Campana antisalpicaduras, Velocidad ajustable, Función Turbo",0,4.1,3988,"https://images-eu.ssl-images-amazon.com/images/I/51H+bNqhdxL._AC_UL600_SR600,400_.jpg"
13,B075JJRFVV,"Utopia Bedding Juego Sábanas de Cama - Microfibra Cepillada - Sábanas y Fundas de Almohada (Cama 150, Gris)",0,4.5,1799,"https://images-eu.ssl-images-amazon.com/images/I/71nYNnIOp3L._AC_UL600_SR600,400_.jpg"
14,B07BFTX96F,Utopia Bedding Sabana Bajera 150x200 - Gris - Bolsillo Profundo - Microfibra Cepillada (Cama 150),0,4.5,1099,"https://images-eu.ssl-images-amazon.com/images/I/51zVdmAvq8L._AC_UL600_SR600,400_.jpg"
15,B00N2SRX2K,"Bestron Calefactor, Termostato, Control de Temperatura, 1000 Vatios/2000 Vatios, Negro",0,4.3,1590,"https://images-eu.ssl-images-amazon.com/images/I/81fm-SjCL+L._AC_UL600_SR600,400_.jpg"
16,B00DYX7TI6,"Rayen | Tendedero con alas | Superficie de tendido de 19 m | Sistema de bloqueo de alas | Tendedero plegable y antideslizante|Para interior y exterior|54,5 x 177 x 107,5 cm,Color Acero|19 metros",0,4.1,2199,"https://images-eu.ssl-images-amazon.com/images/I/71CGrX1EpeL._AC_UL600_SR600,400_.jpg"
17,B08HZ7W4Z4,"HTE Manta Microfibra para Cama Sofá y Sillón, Manta Polar Lisa de Tacto Suave Super Caliente para Adulto y Niño,Sin Arrugas (Beige, 130 x 160 cm)",0,4.4,999,"https://images-eu.ssl-images-amazon.com/images/I/81+S0+yLs9L._AC_UL600_SR600,400_.jpg"
18,B0788QGP71,"Todocama - Almohada viscoelástica, 90 cm núcleo Compacto. Doble Funda con Cremallera. Tejido Aloe Vera. Termorregulable adaptabilidad al Cuello.",0,4.5,2813,"https://images-eu.ssl-images-amazon.com/images/I/81tUZudNx5L._AC_UL600_SR600,400_.jpg"
19,B01M36C0DG,"Moulinex Classic LS330D Tostador Acero Inoxidable, 2 Ranuras largas y anchas, 1400 W, 6 Posiciones Tostado, Función Stop y Bandeja Recogemigas, para Todo Tipo de Pan normal, de molde, artesano",0,3.8,2900,"https://images-eu.ssl-images-amazon.com/images/I/91-aFqMVZUL._AC_UL600_SR600,400_.jpg"
20,B09GNTLRFV,"Scrub Daddy Damp Duster, Esponja Mágica Atrapapolvo, Plumero para Limpiar Persianas Venecianas y de Madera, Ventilaciones, Radiadores, Zócalos, Espejos y Telarañas - Atrapa Polvo - Amarillo",0,4.3,539,"https://images-eu.ssl-images-amazon.com/images/I/71Ded5r+tZL._AC_UL600_SR600,400_.jpg"
21,B07YG63BQJ,"BRITA ON TAP V-MF 1x cartucho de filtro de agua (600L) - sostenible y libre de bacterias al 99,99%, reduce las micropartículas más finas, metales y sustancias que afectan el sabor",0,4.5,1943,"https://images-eu.ssl-images-amazon.com/images/I/81OiSuj-XIL._AC_UL600_SR600,400_.jpg"
22,B09HY5THQD,"Spray Pulverizador para cocinar. Vaporizador, Dosificador de Aceite de Oliva, Vinagre y Limon.",0,4.1,1190,"https://images-eu.ssl-images-amazon.com/images/I/61viZQe-BnL._AC_UL600_SR600,400_.jpg"
23,B07BN1NG4C,"Pikolin Home Edredón de Fibra Antiácaros Otoño Invierno 300 gr, Relleno Nórdico, Hipoalergénico, Transpirable, Varias Medidas",0,4.6,3144,"https://images-eu.ssl-images-amazon.com/images/I/612noKGT96L._AC_UL600_SR600,400_.jpg"
24,B00FXNABPI,"Amazon Basics - Perchas de terciopelo para trajes - Paquete de 30, Negro",0,4.7,1699,"https://images-eu.ssl-images-amazon.com/images/I/71lbl6YU5PL._AC_UL600_SR600,400_.jpg"
25,B07JL8L6WM,"Cecotec Parrilla Eléctrica Rock'nGrill 750 Full Open. 750 W, Plancha Sandwichera, Revestimiento de Piedra RockStone, Apertura de 180º, Superficie 23x14,5, Pinza de cierre y Hueco recogecables",0,4.2,2290,"https://images-eu.ssl-images-amazon.com/images/I/51PaWLnOUhL._AC_UL600_SR600,400_.jpg"
26,B0B57J6FFY,"Cecotec Colchón Viscoelástico Flow PureVital 1900 Medida 90x190. Multicapa, Altura 21cm, Firmeza Alta, Núcleo FoamVital, Doble Cara Dual System para Invierno y Verano",0,4.3,8990,"https://images-eu.ssl-images-amazon.com/images/I/5187vYngkXL._AC_UL600_SR600,400_.jpg"
