asin,title,price,rating,num_reviews,img_link
B08CRV3XXV,"NOKLEAD Termómetro interior del higrómetro, termómetro digital de escritorio con monitor de temperatura y humedad, termómetro",12.99,4.5,22.025,"https://images-eu.ssl-images-amazon.com/images/I/61qgX3ZJKuL._AC_UL900_SR900,600_.jpg"
B07TV364MZ,"ThermoPro TP49 Pequeño higrómetro digital, termómetro de interior para controlar la temperatura y medir la humedad, para la c",8.99,4.5,19.932,"https://images-eu.ssl-images-amazon.com/images/I/61xkwCA-gfL._AC_UL900_SR900,600_.jpg"
B00U8SA6NA,"S&M 321771 Kit completo Regulador de gas butano+ Tubo Goma 1,5 metros + 2 abrazaderas de seguridad, Gris/Naranja",15.56,4.5,7.126,"https://images-eu.ssl-images-amazon.com/images/I/71B8+HDfwrL._AC_UL900_SR900,600_.jpg"
B00L988P1I,"Relec Extra Fuerte Spray Antimosquitos, Repelente de Mosquitos, Eficaz Contra El Mosquito Tigre, Eficacia y Protección Contra",9.02,4.6,6.344,"https://images-eu.ssl-images-amazon.com/images/I/81U2WPzsUDL._AC_UL900_SR900,600_.jpg"
B078GX338Q,"Tamar Invernador Liquido para Piscinas, Invernaje y conservación, alguicida, 5 litros",0,4.3,689,"https://images-eu.ssl-images-amazon.com/images/I/71o1D4Bd7XL._AC_UL900_SR900,600_.jpg"
B09JGS8XQ5,"Allergoff Antiacaros Spray 400ml | Spray para Colchon, Cama y Textiles | Producto Anti Acaros | Para alérgicos | Contra Alerg",22.99,4.2,1.111,"https://images-eu.ssl-images-amazon.com/images/I/71cfNn8SsWL._AC_UL900_SR900,600_.jpg"
B07MM2FTVD,PIC Trampa para Polilla de despensa 6X Piezas - Medios de protección contra Las polillas en la Cocina y el Almacenamiento de ,9.99,4.4,11.237,"https://images-eu.ssl-images-amazon.com/images/I/81BGjVaRQSL._AC_UL900_SR900,600_.jpg"
B0BHSK63QD,"Pitasha Mini Termómetro Higrómetro Digital Medidor de Temperatura y Humedad, Termohigrómetro de Interior (Blanco - 1 Pieza)",5.99,4.3,208,"https://images-eu.ssl-images-amazon.com/images/I/51XWQ9Be-bL._AC_UL900_SR900,600_.jpg"
B08D246QL2,Catchmaster 100i – Trampas Cucarachas – 30 Piezas – Trampas Adhesivas de máxima Calidad para Cucarachas – Sin Veneno ni bioci,17.99,4.2,1.632,"https://images-eu.ssl-images-amazon.com/images/I/81rXUFaAoVL._AC_UL900_SR900,600_.jpg"
B01C7JN422,"Semillas Batlle - Sustrato Universal 5l, color Amarillo",6.99,4.4,2.941,"https://images-eu.ssl-images-amazon.com/images/I/81tS9O8K51L._AC_UL900_SR900,600_.jpg"
B09QLT4K4R,"XIAZIR Mini Motosierra Bateria Portátil de Mano 6 Pulgadas, 21 V Motosierra Eléctrica con cargador, batería, llave, adecuado ",59.99,4.1,349,"https://images-eu.ssl-images-amazon.com/images/I/71K37pXcr3L._AC_UL900_SR900,600_.jpg"
B07DCVKCMX,"Ecogel Cucarachas Jeringa, Insectos, 10 Gramos, Transparente, Talla Única",11.80,4.5,4.453,"https://images-eu.ssl-images-amazon.com/images/I/41GFOUsj8vL._AC_UL900_SR900,600_.jpg"
B09J4PSWV5,"Biotop - Paño de Tela Térmica Protectora Antiheladas para Todo Tipo de Plantas y Arbustos, 2 Metros de Ancho por 10 Metros de",11.20,4.4,189,"https://images-eu.ssl-images-amazon.com/images/I/31O8HpxBrDL._AC_UL900_SR900,600_.jpg"
B08F5519JX,"AWNIC Funda para Mesa Exterior Impermeable, Funda Protectora Muebles de Jardín, Funda para Sofa de Jardín, AlicanTex Tecnolog",35.99,4.5,5.094,"https://images-eu.ssl-images-amazon.com/images/I/51RciPtQeqL._AC_UL900_SR900,600_.jpg"
B0128FYMIA,"Flower Substrato Orquídeas 5 L, Marrón, 24 x 4.5 x 39 cm",3.35,4.4,2.319,"https://images-eu.ssl-images-amazon.com/images/I/71OKraW1rJL._AC_UL900_SR900,600_.jpg"
B08G1Q1PG5,LIORQUE Termómetro Higrometro Digital para Interior Medidor de Temperatura y Humedad con Registro Máximo y Mínimo para Hogar ,10.19,4.5,2.549,"https://images-eu.ssl-images-amazon.com/images/I/61Z1cYhupXL._AC_UL900_SR900,600_.jpg"
B01IDLX6BM,"COMPO Fertilizante de plantas verdes para plantas de interior, balcón y terraza, Fertilizante líquido con extra de potasio y ",7.60,4.6,632,"https://images-eu.ssl-images-amazon.com/images/I/71T6dfDE5VL._AC_UL900_SR900,600_.jpg"
B07H7ZXVCN,"Orbegozo LO 7000 Brasero Eléctrico, Óptimo para Mesa Camilla, 3 Posiciones de Funcionamiento, Rejilla de Seguridad, Gancho In",16.99,4.5,1.145,"https://images-eu.ssl-images-amazon.com/images/I/616y+5DYdUL._AC_UL900_SR900,600_.jpg"
B07R85FWGP,"Hama Estación meteorológica interior y exterior con Reloj digital, Con función reloj y fecha, medición temperatura y humedad ",14.99,4.0,375,"https://images-eu.ssl-images-amazon.com/images/I/51yorjRX0EL._AC_UL900_SR900,600_.jpg"
B0128FZEP0,"Flower 80070 - Coco flower, 9 l, No Aplica, 10.5 x 21 x 5.5 cm",3.15,4.5,3.297,"https://images-eu.ssl-images-amazon.com/images/I/91Au7OtAjBL._AC_UL900_SR900,600_.jpg"
B00YC0PCB6,Herbicida Roundup UltraPlus 500ml,14.50,4.3,3.163,"https://images-eu.ssl-images-amazon.com/images/I/61M-ikIe6kL._AC_UL900_SR900,600_.jpg"
B08C55XH7P,"Hywean 40 Piezas de Papel Fly Catcher, Juego de Moscas de Frutas pegajosas para Interiores y Exteriores, Control de Moscas, M",9.34,4.0,4.557,"https://images-eu.ssl-images-amazon.com/images/I/812NuHSgMtL._AC_UL900_SR900,600_.jpg"
B00H8OK7XG,"Corpol 5000026 Mata Carcomas, 500Ml",11.34,4.3,497,"https://images-eu.ssl-images-amazon.com/images/I/41wMrszQGTL._AC_UL900_SR900,600_.jpg"
B08DD93FSF,"RepellShield Spray Repelente Chinches para Piel, Cama, Ropa, Sábanas, 250ml - Spray Anti Chinches de Cama Eliminar - Alternat",15.99,3.9,1.734,"https://images-eu.ssl-images-amazon.com/images/I/61pee3wrLMS._AC_UL900_SR900,600_.jpg"
B0BM5L4DKK,"Mini Motosierra Bateria 8000mAh, Seesii 6'' Motosierra Eléctrica Bateria con Depósito Para El Aceite y 2 baterías, Motosierra",107.99,4.4,4.101,"https://images-eu.ssl-images-amazon.com/images/I/81a305aMaUL._AC_UL900_SR900,600_.jpg"
B00WI5LFNQ,Semillas Batlle Sustrato Cactus 5l.,2.10,4.6,1.575,"https://images-eu.ssl-images-amazon.com/images/I/61ufpr4kAYL._AC_UL900_SR900,600_.jpg"
