asin,title,price,rating,num_reviews,img_link,category
B07Y53N2GW,"Beautural Quitapelusas Electrico de Ropa, Removedor de Pelusas Potente y eficiente, con AC Plug Cable o con Pilas, Especial y",27.99,4.5,5.142,"https://images-eu.ssl-images-amazon.com/images/I/71sOvNfj8WL._AC_UL900_SR900,600_.jpg",kitchen
B00E3862DE,"Philips Domestic Appliances GC026/00 Quitapelusas, Azul",10.44,4.6,111.704,"https://images-eu.ssl-images-amazon.com/images/I/51uat63sl2L._AC_UL900_SR900,600_.jpg",kitchen
B0BPYVNW3L,"Cecotec Freidora sin Aceite 6 L de Aire Caliente Cecofry Bombastik 6000. 1700 W, Tecnología PerfectCook, Regulación de Temper",69.0,4.5,5.505,"https://images-eu.ssl-images-amazon.com/images/I/51HHXfRXB7L._AC_UL900_SR900,600_.jpg",kitchen
B00MFEHQMO,"Rowenta Comfort Compact SO2320 - Calefactor 2000W, 2 velocidades, termostato mecánico función anti-heladas, Silence, ventilad",41.99,4.3,21.671,"https://images-eu.ssl-images-amazon.com/images/I/61arWTwncZL._AC_UL900_SR900,600_.jpg",kitchen
B07YFPZTY6,"Cecotec Microondas ProClean 2010. 700 W de Potencia, 20L de Capacidad, Tecnología 3DWave, Modo Descongelación, 6 Niveles de P",49.9,4.0,14.613,"https://images-eu.ssl-images-amazon.com/images/I/51SbWaeMsdL._AC_UL900_SR900,600_.jpg",kitchen
B08NCWDFHV,"Todocama - Edredón/Relleno nórdico de Fibra antiácaros, otoño-Invierno, 300gr/m², Color Blanco (Todas Las Medidas Disponibles",27.9,4.6,2.528,"https://images-eu.ssl-images-amazon.com/images/I/619NYphfUnL._AC_UL900_SR900,600_.jpg",kitchen
B0BSXDVQG7,"BRITA Cartucho de filtro de agua MAXTRA PRO All-in-1 pack 6 NUEVO - Recambio original BRITA que reduce las impurezas, el clor",33.56,4.8,564.0,"https://images-eu.ssl-images-amazon.com/images/I/71O2oZXguSL._AC_UL900_SR900,600_.jpg",kitchen
B0BPZZS9BD,"Cecotec Aspirador Escoba con Cable Conga Popstar 600 Vital. 600 W, Tecnología Ciclónica Sin Bolsa, Poder De succión de 18 kPa",49.9,4.2,3.065,"https://images-eu.ssl-images-amazon.com/images/I/51EOX5KFoCL._AC_UL900_SR900,600_.jpg",kitchen
B08PL6WB1V,"Todocama - Protector de colchón/Cubre colchón Ajustable, de Rizo, Impermeable y Transpirable. (Todas Las Medidas Disponibles)",17.01,4.4,6.087,"https://images-eu.ssl-images-amazon.com/images/I/61+S5QPFOnL._AC_UL900_SR900,600_.jpg",kitchen
B075JJRFVV,"Utopia Bedding Juego Sábanas de Cama - Microfibra Cepillada - Sábanas y Fundas de Almohada (Cama 150, Gris)",17.99,4.5,39.58,"https://images-eu.ssl-images-amazon.com/images/I/71nYNnIOp3L._AC_UL900_SR900,600_.jpg",kitchen
B07RSCK4XS,"Amazon Basics bolsas de vacío para almacenamiento, incluyen boca para aspirador, 12 Unidad, 3 extragrandes, 3 grandes, 3 medi",22.0,4.5,58.268,"https://images-eu.ssl-images-amazon.com/images/I/91EEwQ6P+yL._AC_UL900_SR900,600_.jpg",kitchen
B09GNTLRFV,"Scrub Daddy Damp Duster, Esponja Mágica Atrapapolvo, Plumero para Limpiar Persianas Venecianas y de Madera, Ventilaciones, Ra",5.39,4.3,3.162,"https://images-eu.ssl-images-amazon.com/images/I/71Ded5r+tZL._AC_UL900_SR900,600_.jpg",kitchen
B08P3QGJ51,"Cecotec Batidora de mano Power TitanBlack 1200 XL Cream. 1200 W, Tecnología CrossBlades con Cuchillas 4 hojas, Pie XL, Campan",29.9,4.1,17.306,"https://images-eu.ssl-images-amazon.com/images/I/51CSBCErvIL._AC_UL900_SR900,600_.jpg",kitchen
B00N2SRX2K,"Bestron Calefactor, Termostato, Control de Temperatura, 1000 Vatios/2000 Vatios, Negro",15.9,4.3,1.716,"https://images-eu.ssl-images-amazon.com/images/I/81fm-SjCL+L._AC_UL900_SR900,600_.jpg",kitchen
B0788R82T5,"Todocama - Almohada viscoelástica, 135 cm núcleo Compacto. Doble Funda con Cremallera. Tejido Aloe Vera. Termorregulable adap",37.86,4.5,10.899,"https://images-eu.ssl-images-amazon.com/images/I/81tUZudNx5L._AC_UL900_SR900,600_.jpg",kitchen
B07YG63BQJ,"BRITA ON TAP V-MF 1x cartucho de filtro de agua (600L) - sostenible y libre de bacterias al 99,99%, reduce las micropartícula",19.43,4.5,4.74,"https://images-eu.ssl-images-amazon.com/images/I/81OiSuj-XIL._AC_UL900_SR900,600_.jpg",kitchen
B07JNCXNY2,"Cecotec Radiador Eléctrico Bajo Consumo Ready Warm 6750 Crystal Connection. Wifi, 2000 W, Termostato Regulable, 2 Modos, Temp",97.9,4.1,1.421,"https://images-eu.ssl-images-amazon.com/images/I/51t6hmYgSBL._AC_UL900_SR900,600_.jpg",kitchen
B00DYX7TI6,Rayen | Tendedero con alas | Superficie de tendido de 19 m | Sistema de bloqueo de alas | Tendedero plegable y antideslizante,21.99,4.1,4.337,"https://images-eu.ssl-images-amazon.com/images/I/51DMqusAHOL._AC_UL900_SR900,600_.jpg",kitchen
B07DHM5XHF,"Cecotec Hervidor de Agua Eléctrico ThermoSense 120. 1 Litro, Libre de BPA, 1100 W de Potencia, Base 360º, Filtro Antical Desm",14.9,4.5,10.315,"https://images-eu.ssl-images-amazon.com/images/I/61n3MYPMYlL._AC_UL900_SR900,600_.jpg",kitchen
