asin,title,price,rating,num_reviews,img_link
B0CKF9FBWR,Stream IPTV Player,5.72,2.8,48,"https://images-eu.ssl-images-amazon.com/images/I/317VdIvRQQL._AC_UL900_SR900,600_.png"
B0BT7LBTGD,Red IPTV,3.99,2.6,82,"https://images-eu.ssl-images-amazon.com/images/I/51lVh8WyjIL._AC_UL900_SR900,600_.png"
B0CLHZXLTT,VU IPTV Player Pro,6.60,1.3,4,"https://images-eu.ssl-images-amazon.com/images/I/71WbJXS80CL._AC_UL900_SR900,600_.png"
B0BYLK899N,TDUK APP Killer,1.99,4.5,720,"https://images-eu.ssl-images-amazon.com/images/I/819flxnvPzL._AC_UL900_SR900,600_.png"
B00EDTSKLU,Geometry Dash,1.79,4.3,19.714,"https://images-eu.ssl-images-amazon.com/images/I/61mVIP6Oo1L._AC_UL900_SR900,600_.png"
B0C84R6ZBZ,Receiver for Airplay,5.99,3.0,30,"https://images-eu.ssl-images-amazon.com/images/I/51hDNg8m0uL._AC_UL900_SR900,600_.png"
B00JVRLUXY,Transporter Plane 3D,0.73,3.1,344,"https://images-eu.ssl-images-amazon.com/images/I/81ESuzd6jNL._AC_UL900_SR900,600_.png"
B09ML2GCMD,Volume Control for Lite | Control TV Volume from Stick's Remote without IR,1.19,4.0,743,"https://images-eu.ssl-images-amazon.com/images/I/41LUoh2xccL._AC_UL900_SR900,600_.png"
B0BRL8KL7W,Grow Your Nose,4.75,2.9,28,"https://images-eu.ssl-images-amazon.com/images/I/71QpM19PJhL._AC_UL900_SR900,600_.png"
B0C5WCPP4Q,Turbo Car Spin - Soccer Clash League,7.39,4.0,2,"https://images-eu.ssl-images-amazon.com/images/I/81coVU3ak1L._AC_UL900_SR900,600_.png"
B0B2KT1NHQ,DualScreen,2.82,3.4,1.343,"https://images-eu.ssl-images-amazon.com/images/I/61nCoeeu8lL._AC_UL900_SR900,600_.png"
B00X6HK57C,Crossy Heroes: Avengers of Hopopolis,0.90,3.9,570,"https://images-eu.ssl-images-amazon.com/images/I/71KyIq2PBYL._AC_UL900_SR900,600_.png"
B08F42QBVQ,Space Invader 7,8.49,3.7,49,"https://images-eu.ssl-images-amazon.com/images/I/61ODgyEYjoL._AC_UL600_SR600,400_.png"
B0CLG9CQ22,El juego de los nueve hombres,0.99,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/81Kc3W34muL._AC_UL600_SR600,400_.png"
B07L5V98Y1,PJ Masks: Héroes a la carrera,4.49,4.0,5.253,"https://images-eu.ssl-images-amazon.com/images/I/91E7hKbCLYL._AC_UL900_SR900,600_.png"
B0CBW9F7XX,RAM Cache Cleaner for Fire TV and Tab - Boost Performance and Free Up Memory,1.99,3.2,4,"https://images-eu.ssl-images-amazon.com/images/I/71DZ0SLJUsL._AC_UL900_SR900,600_.png"
B08HZFKVMN,Bigfoot Gorilla Ropehero Gangster Crime City Escape Adventure: Angry Gorilla Rampage Monster Games for kids,1.83,2.8,10,"https://images-eu.ssl-images-amazon.com/images/I/81b2Tu8cQwL._AC_UL900_SR900,600_.png"
B00992CF6W,Minecraft – Pocket Edition,6.99,4.2,137.232,"https://images-eu.ssl-images-amazon.com/images/I/51L0-hXjy+L._AC_UL900_SR900,600_.png"
B06VVYMJBN,PAC-MAN Championship Edition DX,4.46,4.0,1.601,"https://images-eu.ssl-images-amazon.com/images/I/810wS2ErHDL._AC_UL900_SR900,600_.png"
B0B2L67V4R,TDUK APP Cache Cleaner (FireOS7),1.99,4.3,923,"https://images-eu.ssl-images-amazon.com/images/I/818OkMbZ+fL._AC_UL900_SR900,600_.png"
B005QPMB2Y,IP Cam Viewer Full,2.89,3.7,1.704,"https://images-eu.ssl-images-amazon.com/images/I/71QGBAZcU3L._AC_UL900_SR900,600_.png"
B00L5HQRGS,AirReceiver,2.16,3.9,20.277,"https://images-eu.ssl-images-amazon.com/images/I/41eV88XsmDL._AC_UL900_SR900,600_.png"
B006C67NP6,iReal Pro - Partituras & Pistas de acompañamiento,14.94,3.8,503,"https://images-eu.ssl-images-amazon.com/images/I/71CwJ-gw6SL._AC_UL900_SR900,600_.png"
B0C6KY1QX6,simulador de médico de emergencia juego de clínica de cirugía: ASMR espinilla y tratamiento de cambio de imagen facial - jueg,3.64,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/81W5yZPNhiL._AC_UL900_SR900,600_.png"
