asin,title,price,rating,num_reviews,img_link
B0CFM76QSG,1989 (Taylor's Version),21.99,4.7,86,"https://images-eu.ssl-images-amazon.com/images/I/81JNBy4njYL._AC_UL900_SR900,600_.jpg"
B0CK58K68X,"Now And Then (7"" Azul)",24.23,5.0,3,"https://images-eu.ssl-images-amazon.com/images/I/71ng9UnejdL._AC_UL900_SR900,600_.jpg"
B0CH3PH7DB,Hackney Diamonds,19.99,4.6,903,"https://images-eu.ssl-images-amazon.com/images/I/A1fXb71fhAL._AC_UL900_SR900,600_.jpg"
B0CFM79D7Y,1989 (Taylor's Version) - Crystal Skies Blue,42.99,4.7,86,"https://images-eu.ssl-images-amazon.com/images/I/81jw1bKlYyL._AC_UL900_SR900,600_.jpg"
B0CG2V83B6,Live 1978-1992,52.99,5.0,4,"https://images-eu.ssl-images-amazon.com/images/I/71lRh5AroxL._AC_UL900_SR900,600_.jpg"
B0CK4ZM31B,GOLDEN (SUBSTANCE),26.99,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/81m-6ZyeVDL._AC_UL900_SR900,600_.jpg"
B0CGM32YQZ,Alpha,14.99,4.7,33,"https://images-eu.ssl-images-amazon.com/images/I/71DpTlh5QTL._AC_UL900_SR900,600_.jpg"
B0CGCHMN28,Accentuate the Positive,18.99,5.0,2,"https://images-eu.ssl-images-amazon.com/images/I/6118QLZdy3L._AC_UL900_SR900,600_.jpg"
B00S1344T6,Greatest Hits,3.49,4.7,1.768,"https://images-eu.ssl-images-amazon.com/images/I/61jsXVimpBL._AC_UL900_SR900,600_.jpg"
B07SRF26YQ,Lover (Standard),18.99,4.7,10.501,"https://images-eu.ssl-images-amazon.com/images/I/71RfNE3rIyL._AC_UL900_SR900,600_.jpg"
B0CL58CS2Y,El Tiempo y la Actitud,20.99,5.0,1,"https://images-eu.ssl-images-amazon.com/images/I/71CQ+It7EmL._AC_UL900_SR900,600_.jpg"
B0CGXSCH6D,Hackney Diamonds,36.99,4.6,903,"https://images-eu.ssl-images-amazon.com/images/I/A1USHJAH5nL._AC_UL900_SR900,600_.jpg"
B0CJ9SGL67,i/o (2CD + Blu-Ray),23.82,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/61sl0WKiRiL._AC_UL900_SR900,600_.jpg"
B0CKKNGGQR,ROCK-STAR LIMITED STAR VER.,35.81,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/71EM-n13s4L._AC_UL900_SR900,600_.jpg"
B0C81RTTLB,NewJeans 2nd EP ‘Get Up’ (Bunny Beach Bag ver.),9.36,4.7,180,"https://images-eu.ssl-images-amazon.com/images/I/81FTaCuaFKL._AC_UL900_SR900,600_.jpg"
B0BXFBT14F,Now And Then (CD Single),0,5.0,1,"https://images-eu.ssl-images-amazon.com/images/I/51MeJywftEL._AC_UL900_SR900,600_.jpg"
B0B7SK4117,Revolver Special Edition Deluxe (2CD),9.38,4.8,2.388,"https://images-eu.ssl-images-amazon.com/images/I/9199z3N8VxL._AC_UL900_SR900,600_.jpg"
B0754BBDF1,reputation,18.99,4.7,8.592,"https://images-eu.ssl-images-amazon.com/images/I/71eZBMExRVL._AC_UL900_SR900,600_.jpg"
B08DC84LWL,folklore,15.90,4.7,14.276,"https://images-eu.ssl-images-amazon.com/images/I/A1Q6XGXmIFL._AC_UL900_SR900,600_.jpg"
B0C9MPTXKZ,GUTS,21.99,4.8,198,"https://images-eu.ssl-images-amazon.com/images/I/71emPbCDQgL._AC_UL900_SR900,600_.jpg"
B08Q9MLYPQ,Evermore,16.99,4.8,10.908,"https://images-eu.ssl-images-amazon.com/images/I/61U043b+YGL._AC_UL900_SR900,600_.jpg"
B000NPO8RI,Sin Noticias de Holanda,5.99,4.4,90,"https://images-eu.ssl-images-amazon.com/images/I/61anC2tpIuL._AC_UL900_SR900,600_.jpg"
B0CGM2F5K9,Alpha (CD + AlphaBook),16.99,4.8,13,"https://images-eu.ssl-images-amazon.com/images/I/511i0bomm4L._AC_UL900_SR900,600_.jpg"
B09BY285F9,Red (Taylor's Version) (2CD),19.99,4.8,7.280,"https://images-eu.ssl-images-amazon.com/images/I/81TwyCudCWL._AC_UL900_SR900,600_.jpg"
B0CK4ZBQXM,GOLDEN (SOLID),26.99,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/811d0fD-zZL._AC_UL900_SR900,600_.jpg"
B014882NMC,Merry Christmas,18.99,4.7,4.847,"https://images-eu.ssl-images-amazon.com/images/I/71qtiF3c6mL._AC_UL900_SR900,600_.jpg"
B0BT4SF2Z9,1962 – 1966 (2CD 2023 Red Edition),25.99,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/712mBLqbWlL._AC_UL900_SR900,600_.jpg"
B091CDMGT3,El Madrileño,25.99,4.7,765,"https://images-eu.ssl-images-amazon.com/images/I/61kBP0mhDoS._AC_UL900_SR900,600_.jpg"
B091DXKLNT,SOUR,7.99,4.7,4.639,"https://images-eu.ssl-images-amazon.com/images/I/610SKkBf-BS._AC_UL900_SR900,600_.jpg"
B0CJG1YB34,Desbarajuste piramidal (3 LP Color + 2 CD) + Postal + Póster + Pegatina,82.99,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/71C8t6oHhZL._AC_UL900_SR900,600_.jpg"
B00NAKWUGY,Christmas,23.99,4.8,3.491,"https://images-eu.ssl-images-amazon.com/images/I/71c-2KaAjRL._AC_UL300_SR300,200_.jpg"
B0CJY9JZ4N,Relentless,17.99,4.5,44,"https://images-eu.ssl-images-amazon.com/images/I/61YgGzz8WlL._AC_UL300_SR300,200_.jpg"
B0CGXMNZ7S,Hackney Diamonds (Vinilo Exclusivo Amazon),40.30,4.6,903,"https://images-eu.ssl-images-amazon.com/images/I/71sBW-hTV0L._AC_UL300_SR300,200_.jpg"
B0CF2R2WHB,Heaven Comes Down,15.99,4.6,25,"https://images-eu.ssl-images-amazon.com/images/I/61ESyxy1kIL._AC_UL300_SR300,200_.jpg"
B0C9JVM67K,GUTS (Vinilo Exclusivo Amazon),34.99,4.7,152,"https://images-eu.ssl-images-amazon.com/images/I/71+X+6vmu1L._AC_UL300_SR300,200_.jpg"
B004OKFISQ,Rumours,24.99,4.8,13.701,"https://images-eu.ssl-images-amazon.com/images/I/71wXzauaXyL._AC_UL300_SR300,200_.jpg"
B0735JHKJJ,Esencial: Chayanne,9.99,4.4,49,"https://images-eu.ssl-images-amazon.com/images/I/51E-hb6rKVL._AC_UL300_SR300,200_.jpg"
B08WJQ4P8B,Fearless (Taylor's Version),18.57,4.8,5.369,"https://images-eu.ssl-images-amazon.com/images/I/71sTuVRDUuL._AC_UL300_SR300,200_.jpg"
B0CG6SF7W7,In Utero 30 Aniversario Deluxe),21.99,4.7,1.640,"https://images-eu.ssl-images-amazon.com/images/I/812TfFkxURL._AC_UL300_SR300,200_.jpg"
B004ZN9W5M,The Wall (2011,15.99,4.8,14.506,"https://images-eu.ssl-images-amazon.com/images/I/71jxpq0Lk5L._AC_UL300_SR300,200_.jpg"
B0CK58BSLC,1967-1970 (2CD 2023 Blue Edition),30.45,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/71Y0u9UQP0L._AC_UL300_SR300,200_.jpg"
B0CJH2JP56,Oxymore Reworks,23.43,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/71t1d9rWtVL._AC_UL300_SR300,200_.jpg"
