asin,title,price,rating,num_reviews,img_link
B005ZPEZ9W,Hohner 9508 Flauta de Plástico,10.77,4.7,4.276,"https://images-eu.ssl-images-amazon.com/images/I/517Mm2vL1vL._AC_UL900_SR900,600_.jpg"
B0002M6CVC,"Ernie Ball Regular Slinky - Cuerdas para guitarra eléctrica, entorchado de níquel, calibre 10-46",5.90,4.7,102.053,"https://images-eu.ssl-images-amazon.com/images/I/81wMsbKBB9L._AC_UL900_SR900,600_.jpg"
B000EEL6J6,"D'Addario Cuerdas Guitarra Española - EJ45 Pro-Arte, cuerdas de nailon para guitarra clásica, tensión normal",12.80,4.6,27.634,"https://images-eu.ssl-images-amazon.com/images/I/8169k0GrNyL._AC_UL900_SR900,600_.jpg"
B01N5IBOSF,"CASCHA HH 2018 Afinador cromático para guitarra, bajo, violín y ukelele",6.90,4.3,1.809,"https://images-eu.ssl-images-amazon.com/images/I/41pKiXVd41L._AC_UL900_SR900,600_.jpg"
B000EEJ91I,D'Addario EXL110-3D - Juego de cuerdas para guitarra eléctrica de acero y níquel (pack 3 juegos),19.40,4.7,32.551,"https://images-eu.ssl-images-amazon.com/images/I/61P6nokzrnL._AC_UL900_SR900,600_.jpg"
B002O38LD4,Ibiza - SMOKE5L-HD - Líquido para máquina de humo de alta densidad - 5 litros,15.90,4.5,4.838,"https://images-eu.ssl-images-amazon.com/images/I/51-kXuT+OgL._AC_UL900_SR900,600_.jpg"
B084MG7WNP,"Cuerdas de nailon de primera calidad para guitarra clásica, española, flamenca y guitarra acústica (lote de 6 cuerdas) BONUS:",9.99,4.5,1.407,"https://images-eu.ssl-images-amazon.com/images/I/61Pfw77PlFS._AC_UL900_SR900,600_.jpg"
B0BVMFV1X3,"VOVIGGOL Micrófono Inalámbrico Solapa para iPhone iPad Android Ordenador, Mini Microfono Inalambrico para Movil, Portátil Mic",17.84,3.9,255,"https://images-eu.ssl-images-amazon.com/images/I/51fDPnPEusL._AC_UL900_SR900,600_.jpg"
B07CNV5J2W,WiNGO Cejilla Guitarra Española Electricas Clásica Profesional Clasica Guitar Capo Ligero Aleación de Aluminio con 5 Púas de ,8.99,4.7,43.348,"https://images-eu.ssl-images-amazon.com/images/I/619a2m5GqrL._AC_UL900_SR900,600_.jpg"
B071VTDG6M,"CASCHA HH 2032 - Baquetas profesionales para batería, 5A, 1 par (2 piezas), madera de arce",2.90,4.2,2.189,"https://images-eu.ssl-images-amazon.com/images/I/51Ok0z7OAiL._AC_UL900_SR900,600_.jpg"
B002PZXVRM,"Stagg Cable de micrófono a mezclador Stagg SMC6 XLR (m) -XLR (f) de 6 metros de largo, negro",9.29,4.7,20.269,"https://images-eu.ssl-images-amazon.com/images/I/61Xs1iZwvCL._AC_UL900_SR900,600_.jpg"
B0BW5QNMC2,Cejilla Guitarra Española Cejilla Guitarra Acustica Capo Guitarra Aleación de Aluminio para Guitarra Electrica Acústica Clási,4.99,4.5,64,"https://images-eu.ssl-images-amazon.com/images/I/71++36iDdaL._AC_UL900_SR900,600_.jpg"
