asin,title,price,rating,num_reviews,img_link
B000J6B79S,Navigator Universal - Papel multiusos para impresora - A4 80gr - 2500 hojas,30.63,4.6,15.314,"https://images-eu.ssl-images-amazon.com/images/I/71po9oMj2LL._AC_UL900_SR900,600_.jpg"
B000NJUWME,"Fellowes Pack de 100 fundas plastificar A4, brillo, formato A4, 80 micras, con flechas direccionales ImageLast, fundas para p",11.15,4.6,42.971,"https://images-eu.ssl-images-amazon.com/images/I/71169f0++cL._AC_UL900_SR900,600_.jpg"
B07KJZM3QP,"Casio FX-82MS-2-S-ET-B, Calculadora Científica, 1, Gris Oscuro",12.99,4.7,4.038,"https://images-eu.ssl-images-amazon.com/images/I/51zLfZ7Rq1L._AC_UL900_SR900,600_.jpg"
B084371NZD,"BIC Highlighter Grip Pastel Marcadores de Punta Biselada Regulable - Colores surtidos, Pack de 6 subrayadores pastel, Óptimo ",3.99,4.6,19.565,"https://images-eu.ssl-images-amazon.com/images/I/71GF2-spcVL._AC_UL900_SR900,600_.jpg"
B0C2V9WH3X,"Finocam - Calendario 2024 Neutro de Pared para Escribir Enero 2024 - Diciembre 2024 (12 meses) Español, L - 340x320 mm",7.70,4.6,56,"https://images-eu.ssl-images-amazon.com/images/I/61tGHR35bfL._AC_UL900_SR900,600_.jpg"
B077TD1JRS,"Amazon Basics - Pizarra blanca magnética con bandeja para rotuladores y marco de aluminio, 60 x 90 cm",37.22,4.4,38.270,"https://images-eu.ssl-images-amazon.com/images/I/51ubBRMRrCL._AC_UL900_SR900,600_.jpg"
B0C33CP7GM,Finocam - Agenda 2024 Espiral Opaque 1 Día Página Enero 2024 - Diciembre 2024 (12 meses) Azul Español,27.20,4.6,29,"https://images-eu.ssl-images-amazon.com/images/I/61ORBoGBpWL._AC_UL900_SR900,600_.jpg"
B0CD2B8NNZ,"Miquelrius - Calendario de Pared 2024 Basic, Tamaño A3: 420 x 296 mm, Con espacio para anotar, Encuadernación espiral doble, ",7.59,4.8,29,"https://images-eu.ssl-images-amazon.com/images/I/71ZFYvMtI2L._AC_UL900_SR900,600_.jpg"
B08VGKLVK3,"Casio FX-85SPXII Iberia- Calculadora científica, Recomendada para el curriculum español y portugués, 252 funciones, solar, co",23.99,4.7,772,"https://images-eu.ssl-images-amazon.com/images/I/61VwLRosQzL._AC_UL900_SR900,600_.jpg"
B0085Z9JQI,MILAN Caja 30 gomas miga de pan 430 cuadradas,4.21,4.8,3.692,"https://images-eu.ssl-images-amazon.com/images/I/61c0YqgUB-L._AC_UL900_SR900,600_.jpg"
B0B1WC5TKB,"Oxford Hojas Cuadriculadas A4 Perforadas, Recambio Archivador, 250 Hojas, Cuadrícula 5x5, 5 Colores Vivos de Banda",8.79,4.8,922,"https://images-eu.ssl-images-amazon.com/images/I/71aPkKknViL._AC_UL900_SR900,600_.jpg"
B08ZQ79Q2V,Código de Google Play (envío por correo electrónico; válido solo para España),5.00,4.5,1.082,"https://images-eu.ssl-images-amazon.com/images/I/31riDCEx9IL._AC_UL900_SR900,600_.jpg"
B009B1UB76,"BIC Cristal, Bolsa de boligrafos, Óptimo para Uso de Oficina, Casa y Escolar, Pack de 10 Unidades, Multicolor",3.07,4.7,39.987,"https://images-eu.ssl-images-amazon.com/images/I/71kLkUlzO0L._AC_UL900_SR900,600_.jpg"
B0BYQ7T138,"Smart Panda Agenda 2024 con Vista Semanal – A5 Agenda 2024 Semana Vista – Planificador Semanal, Diario Espiral - Tapa Blanda,",14.95,4.6,344,"https://images-eu.ssl-images-amazon.com/images/I/91A8G26HI2L._AC_UL900_SR900,600_.jpg"
B0C33J8712,Finocam - Agenda 2024 Espiral Design Collection Semana Vista Horizontal Enero 2024 - Diciembre 2024 (12 meses) Goldy Español,8.40,4.1,26,"https://images-eu.ssl-images-amazon.com/images/I/61UxP-+sAOL._AC_UL900_SR900,600_.jpg"
B01G5HYQJC,"Calculadora Científica Casio FX-82SPXII, 13,8 x 77,0 x 165,5 mm, Negro Oscuro (Versión en Español)",0,4.7,6.243,"https://images-eu.ssl-images-amazon.com/images/I/71wPP3Bq+bL._AC_UL900_SR900,600_.jpg"
B0C6WTDRYB,"Makeid Etiquetadora Autoadhesivas Q1, Impresora Portatil Bluetooth para Hogar y Oficina, Compatible con iOS y Android, Impres",47.99,4.7,633,"https://images-eu.ssl-images-amazon.com/images/I/71kGcIr1qVL._AC_UL900_SR900,600_.jpg"
B08Z47YJ6Y,"packer PRO Rollo Burbujas Embalaje de Plástico, 50cm Ancho y 100m longitud, Transparente",23.29,4.5,633,"https://images-eu.ssl-images-amazon.com/images/I/71nRx3RrmQL._AC_UL900_SR900,600_.jpg"
