asin,title,price,rating,num_reviews,img_link
B083VBXG2S,"Marca Amazon - Lifelong Arena de bentonita para gatos, Premium con perfume de talco, 10L, Paquete de 1",15.10,4.4,14.051,"https://images-eu.ssl-images-amazon.com/images/I/51erOfBwutL._AC_UL900_SR900,600_.jpg"
B00NABTC8M,"Amazon Basics - Bolsas para excrementos de perro con dispensador y clip para correa, Sin fragancia, 300 Unidad, 15 Paquetes d",10.43,4.8,181.376,"https://images-eu.ssl-images-amazon.com/images/I/615qEy2q0aL._AC_UL900_SR900,600_.jpg"
B00MW8G3YU,"Amazon Basics Almohadillas de adiestramiento de perros y cachorros, diseño de 5 capas a prueba de fugas con superficie de sec",15.98,4.4,35.578,"https://images-eu.ssl-images-amazon.com/images/I/81z3Pziyq7L._AC_UL900_SR900,600_.jpg"
B0082AJ1C8,"Cat's Best 29734 - Arena para gatos, 20 l / 8,6 kg - el embalaje puede diferir",18.49,4.3,30.799,"https://images-eu.ssl-images-amazon.com/images/I/61L65kK-NoL._AC_UL900_SR900,600_.jpg"
B012H6JLAE,Sanicat - Arena Aglomerante Active White con Flor de Loto Hecha de minerales naturales con control de olor garantizado Absorb,7.49,4.4,6.128,"https://images-eu.ssl-images-amazon.com/images/I/81unlamd92L._AC_UL900_SR900,600_.jpg"
B08WSYSQVL,"Purina Felix Fantastic Comida Húmeda para Gato Adulto Pack Surtido, 44 sobres de 85g, 1 unidad",20.99,4.7,1.729,"https://images-eu.ssl-images-amazon.com/images/I/81WFKE9wFQS._AC_UL900_SR900,600_.jpg"
B08Y73RLGH,"Nature's Variety Selected, Pienso para Gatos Adultos Esterilizados, Sin cereales, con Pollo campero deshuesado, 7kg, 1 unidad",52.44,4.6,1.910,"https://images-eu.ssl-images-amazon.com/images/I/71NUOLrPD4L._AC_UL900_SR900,600_.jpg"
B007ZY4D0W,Pedigree Dentastix Snack Dental para la Higiene Oral de Perros Medianos (1 Pack de 56ud),15.49,4.7,6.704,"https://images-eu.ssl-images-amazon.com/images/I/610qP90GScL._AC_UL900_SR900,600_.jpg"
B08WJ6NC3L,"Arquivet Original Adult - Pienso para Perros Adultos - Pollo Y Arroz - Marrón, 12 kg (Paquete de 1)",22.41,4.3,1.137,"https://images-eu.ssl-images-amazon.com/images/I/71IlRxWLg6L._AC_UL900_SR900,600_.jpg"
B000VJXZZM,"EUKANUBA Alimento seco para perros maduros de raza grande, rico en pollo fresco 15 kg",40.99,4.4,7.577,"https://images-eu.ssl-images-amazon.com/images/I/81PHWVFEplL._AC_UL900_SR900,600_.jpg"
B00XFMX9VM,"Purina Gourmet Gold Mousse, Comida Húmeda para Gato con Buey, 24 latas de 85g",13.79,4.6,3.226,"https://images-eu.ssl-images-amazon.com/images/I/61u8NrjiczL._AC_UL900_SR900,600_.jpg"
B07C9PSLPG,"Arquivet, Twist con pollo enrollado, Snacks Naturales para perros, Chuches para perros, Golosinas para perro, Premios para tu",27.90,4.6,2.022,"https://images-eu.ssl-images-amazon.com/images/I/71DKuDXJxOS._AC_UL900_SR900,600_.jpg"
B0819XVK92,"ACE2ACE Quitapelos y Rodillos para Mascotas, Cepillo de Limpieza Removedor de Pelaje para Gatos y Perros, Lavable y Reutiliza",17.99,4.4,76.640,"https://images-eu.ssl-images-amazon.com/images/I/7114agILi3L._AC_UL900_SR900,600_.jpg"
B08Y73D5HR,"Nature's Variety Original No Grain, Pienso para Perros Adultos Pequeños, Sin cereales, con Pavo deshuesado, 1,5kg",12.95,4.6,1.052,"https://images-eu.ssl-images-amazon.com/images/I/71uy+CzQ5eL._AC_UL900_SR900,600_.jpg"
B01G7G5L7W,"Vitakraft - Vegetal Clean Papel, Lecho Higiénico para pequeños animales - 25 L",20.19,4.6,1.505,"https://images-eu.ssl-images-amazon.com/images/I/51j8ipWersL._AC_UL900_SR900,600_.jpg"
B087PXTRLW,"FEANDREA Cama de Perros, Cama para Mascotas, Cojín Central Extraíble y Lavable, Alfombra de Felpa Suave y Mullida, 60 cm de D",23.99,4.4,11.699,"https://images-eu.ssl-images-amazon.com/images/I/81zDEMLk83L._AC_UL900_SR900,600_.jpg"
B08GD94LQC,"Marca Amazon - Lifelong, Comida para gatos - Surtido de patés, 100g, paquete de 32",15.58,4.3,3.053,"https://images-eu.ssl-images-amazon.com/images/I/61fPysVdUWL._AC_UL900_SR900,600_.jpg"
B083VBYDM1,"Marca Amazon - Lifelong Arena Aglomerante de maíz para gatos, Sin fragancia, 10L (Paquete de 1)",6.27,3.7,4.032,"https://images-eu.ssl-images-amazon.com/images/I/51PNRlXb64L._AC_UL900_SR900,600_.jpg"
B07PRZ9XQ5,"Bedsure Cama Perro Impermeable Grande - 91x68x10 cm Colchón Perro Lavable, Cojín Perro Antipelo y Suave, Gris, L",32.99,4.4,12.651,"https://images-eu.ssl-images-amazon.com/images/I/613iUk1h2UL._AC_UL900_SR900,600_.jpg"
B0C153LN1L,"AiTodos® 600PCS Bolsas Caca Perro, Negro - Bolsas Excrementos Perros - Adecuado Salir de Casa, 30 * 21.5CM, Polietileno-Mater",11.99,4.4,1.179,"https://images-eu.ssl-images-amazon.com/images/I/71K231j7lfL._AC_UL900_SR900,600_.jpg"
B071S81VYX,"Amazon Basics Almohadillas de adiestramiento de perros y cachorros, carbón para control de olor, a prueba de fugas con superf",37.74,4.5,7.499,"https://images-eu.ssl-images-amazon.com/images/I/81y8oTyF4HL._AC_UL900_SR900,600_.jpg"
B07BP1RGBF,"Iris Ohyama, Caja de Arena para Gatos, Caja de Arena Cerrada, Bandeja, 48,5 x 38 x 30 cm, CLH-12, Gris",19.99,4.6,29.980,"https://images-eu.ssl-images-amazon.com/images/I/519wkPcfbqL._AC_UL900_SR900,600_.jpg"
B07K7RLB2Z,"Advance Cat Adult Sterilized, Pienso para Gatos Adultos Esterilizados con Pavo, 10kg",48.39,4.6,1.515,"https://images-eu.ssl-images-amazon.com/images/I/81WAg+RkAfL._AC_UL900_SR900,600_.jpg"
B0BNLWVPHD,"EHEYCIGA Cama Perro Grande, Cama Perro Impermeable Lavable con Espuma Viscoelástica, Sofá Perro Ortopedica Desmontable, Gris,",52.35,4.4,1.331,"https://images-eu.ssl-images-amazon.com/images/I/71l0W-HpX2L._AC_UL900_SR900,600_.jpg"
B074N6RHP6,Candure Cortauñas para Perro y Gato con Mascota Protector de Seguridad - Acero Inoxidable Alicates Uñas Profesionales para Ma,9.95,4.5,27.724,"https://images-eu.ssl-images-amazon.com/images/I/618K0JtmZFL._AC_UL900_SR900,600_.jpg"
B072F9TK99,"Amazon Basics Pañales desechables para perro macho, Mediano (paquete de 30), Blanco",14.23,4.4,30.906,"https://images-eu.ssl-images-amazon.com/images/I/814BIRnUaHL._AC_UL900_SR900,600_.jpg"
B077TPG2QR,"Purina Gourmet Gold Bocaditos en Salsa, Comida Húmeda para Gato con Salmón y Pollo, 24 latas de 85g",13.69,4.6,1.684,"https://images-eu.ssl-images-amazon.com/images/I/71Ju8rxf7AL._AC_UL900_SR900,600_.jpg"
B01HDAX59W,FLEXI - Nueva correa retráctil clásica para perros de hasta 50 kg - Correa ultrarresistente - Sistema de guiado y frenado de ,16.99,4.6,13.513,"https://images-eu.ssl-images-amazon.com/images/I/71nDEhJVrjL._AC_UL900_SR900,600_.jpg"
B018N5GH46,"Vitakraft - Crispy Crunch anti hairball con malta, Snacks para Gatos Crujientes. Anti Bolas de Pelo - 60 g",1.05,4.5,3.137,"https://images-eu.ssl-images-amazon.com/images/I/812s8qmACzL._AC_UL900_SR900,600_.jpg"
B0BGL2GTTM,"Fuente para Gatos,GIOTOHUN Bebedero Gatos con Forma de Grifo, 2L Fuente Gatos, Bomba de Agua Súper Silenciosa, Filtro de Pelo",19.99,4.5,9.083,"https://images-eu.ssl-images-amazon.com/images/I/61MnvMawqbL._AC_UL900_SR900,600_.jpg"
B01IUP0Y8E,Brekkies Pienso para Gatos Delicious con una Selección de Aves y Verduras - 3000 gr,10.19,4.5,2.279,"https://images-eu.ssl-images-amazon.com/images/I/71BrTRPD+pL._AC_UL300_SR300,200_.jpg"
B01M8JT6FT,rabbitgoo Arnes Perro Grande Mediano Pequeño Arnés Pecho Antitirones Perros Coche con Lineas Reflecantes Cómodo Transpirable ,18.69,4.5,147.778,"https://images-eu.ssl-images-amazon.com/images/I/61AsiixLTfS._AC_UL300_SR300,200_.jpg"
B00388REL4,"Advance Mini Adult Chicken, Pienso para Perros Adultos de Razas Pequeñas con Pollo, 3kg",21.98,4.7,1.340,"https://images-eu.ssl-images-amazon.com/images/I/7171Demx6sL._AC_UL300_SR300,200_.jpg"
B08B3VCGCH,"Los comprimidos condroprotector perros para articulaciones Veddelholzer con MSM, harpagófito glucosamina colágeno para fortal",29.95,4.3,3.412,"https://images-eu.ssl-images-amazon.com/images/I/714ZOWPvRkL._AC_UL300_SR300,200_.jpg"
B07GP2XDC3,DEWEL Collar contra Pulgas y Garrapatas para Perros y Gatos Control Antipulgas 8 Meses de Protección Collar Antipulgas para P,14.99,3.8,5.399,"https://images-eu.ssl-images-amazon.com/images/I/71ZoPpWuLxL._AC_UL300_SR300,200_.jpg"
B078NC629T,"MASBRILL Collar Luminoso Perro de Mascota, 3 Modos Collar Perro Luz con Recargable y Impermeable, Ajustable Collares LED para",19.99,4.4,13.899,"https://images-eu.ssl-images-amazon.com/images/I/61vuESo-5SS._AC_UL300_SR300,200_.jpg"
B07SWL2GSP,Pedigree Dentastix Snack Dental para la Higiene Oral de Perros Grandes (1 Pack de 56ud),19.90,4.7,1.910,"https://images-eu.ssl-images-amazon.com/images/I/61FO7WZgPlL._AC_UL300_SR300,200_.jpg"
B08DL49CMN,"EOS (1 litro) Eliminador de olores Mascotas al instante. Anti olor orines de Perros, Gatos... Aplicar en sofás, arenero, cesp",19.99,4.4,2.924,"https://images-eu.ssl-images-amazon.com/images/I/41wSE-uN-+L._AC_UL300_SR300,200_.jpg"
B00O4E8XY8,TRIXIE Pañales para Perros Macho para Perros,5.63,4.3,3.920,"https://images-eu.ssl-images-amazon.com/images/I/81wcgHw39rL._AC_UL300_SR300,200_.jpg"
B000LXUWN6,"Tetra AquaSafe para Agua de Acuario Natural y Apta para Peces, Neutraliza las Sustancias Nocivas del Agua del Grifo, Botella ",7.99,4.6,22.398,"https://images-eu.ssl-images-amazon.com/images/I/81JxAGTkwpL._AC_UL300_SR300,200_.jpg"
B00SVG00U0,"Advance Veterinary Diets Urinary, Pienso para Gatos para la Protección de las vías urinarias, 3kg",25.99,4.7,3.278,"https://images-eu.ssl-images-amazon.com/images/I/81PJl1I48XL._AC_UL300_SR300,200_.jpg"
B0859YRVFG,"Bedsure Cama Perro Grande Ortopédica - Colchón Perro Lavable L, Desenfundable con Espuma De Caja De Huevos, 91x69x7.6 cm, Gri",36.54,4.5,19.527,"https://images-eu.ssl-images-amazon.com/images/I/71i0l9mW8qL._AC_UL300_SR300,200_.jpg"
B095873Y6Q,"by Amazon Alimento completo para gatos adultos - Selección mixta en gelatina, 4,8 kg (48 Paquetes de 100g) (Anteriormente Mar",18.37,4.0,5.000,"https://images-eu.ssl-images-amazon.com/images/I/71m3GoEW95L._AC_UL300_SR300,200_.jpg"
B08Y73GMC6,"Nature's Variety Selected, Pienso para Perros Adultos Pequeños, Sin cereales, con Salmón noruego sin espinas, 1,5kg",14.95,4.6,888,"https://images-eu.ssl-images-amazon.com/images/I/81KkZZAcU6L._AC_UL300_SR300,200_.jpg"
B09TWRRKR1,"Edipets, Bolsas Caca Perro, Biodegradables, 405 o 540 unidades, Extra Grueso, A Prueba de Fugas, Bolsitas para Excrementos, A",10.83,4.7,1.579,"https://images-eu.ssl-images-amazon.com/images/I/71so97SM-zL._AC_UL300_SR300,200_.jpg"
B07KK4PDGR,"YORJA Bolsas para Excrementos de Perro,24 Rollos/360 Unidades,Extra grueso,fuerte y a Prueba de Fugas Biodegradable Bolsas pa",15.97,4.7,16.504,"https://images-eu.ssl-images-amazon.com/images/I/8170cWPS6qL._AC_UL300_SR300,200_.jpg"
B07B8Z33PR,"Gourmet Purina Gold Fondant Mousse con Salsa, Comida Húmeda para Gato con Pollo, 24 latas de 85g",17.76,4.6,1.969,"https://images-eu.ssl-images-amazon.com/images/I/61BVoqDazaL._AC_UL300_SR300,200_.jpg"
B00EOONP3M,Sanicat - Arena para gatos Aglomerate con aroma a jabón de Marsella| Con control de olor garantizado | Absorbe la humedad y f,0,4.2,13.886,"https://images-eu.ssl-images-amazon.com/images/I/81CJ9ovKxtL._AC_UL300_SR300,200_.jpg"
B07CPK4T22,"Biokat's Diamond Care Fresh, con fragancia - Arena fina con carbón activo y aloe vera 1 saco (1 x 10 l)",8.99,4.2,23.584,"https://images-eu.ssl-images-amazon.com/images/I/71OSx90k62L._AC_UL300_SR300,200_.jpg"
B01FFU0G12,"Nature's Variety Original No Grain, Pienso para Perros Adultos Medianos y grandes, Sin cereales, con Salmón sin espinas, 12kg",65.95,4.6,1.770,"https://images-eu.ssl-images-amazon.com/images/I/71M+m3CEJ7L._AC_UL300_SR300,200_.jpg"
B00O4B4HDW,Brekkies Pienso para Gatos Gatos Esterilizados con Pollo y Verduras - 3000 gr,0,4.6,1.487,"https://images-eu.ssl-images-amazon.com/images/I/81T2uRcOfQL._AC_UL900_SR900,600_.jpg"
B01IUR8GV4,"Friskies Purina Friskies Pienso para Perro Adulto con Buey, Cereales y Verduras, saco de 15kg",33.00,4.5,1.848,"https://images-eu.ssl-images-amazon.com/images/I/91xbjiXd71L._AC_UL900_SR900,600_.jpg"
B007ZY4COE,"Pedigree Dentastix Snack Dental para la Higiene Oral de Perros Pequeños (1 Pack de 56ud), 0.88 kg.",0,4.7,4.200,"https://images-eu.ssl-images-amazon.com/images/I/61IbWh18W2L._AC_UL900_SR900,600_.jpg"
