asin,title,price,rating,num_reviews,img_link
B0BGPJXDFX,McAfee Total Protection 2023 | Exclusivo en Amazon | 3 Dispositivos | 12 Meses + 3 | Software de seguridad en Internet con an,19.95,4.3,277,"https://images-eu.ssl-images-amazon.com/images/I/61YRBKB388L._AC_UL900_SR900,600_.jpg"
B08V5M7P28,Microsoft 365 Personal | Apps Office 365 | PC/MAC/tableta/teléfono | 12+3 Meses + McAfee Total Protection 2022 | 6 Dispositiv,59.99,4.5,2.140,"https://images-eu.ssl-images-amazon.com/images/I/71IeJkAXtJL._AC_UL900_SR900,600_.jpg"
B07HWXT1T5,Microsoft 365 Personal - 1 persona - Para PC/Mac/tabletas/teléfonos móviles - Suscripción de 12 meses,50.99,4.5,2.140,"https://images-eu.ssl-images-amazon.com/images/I/71rhey7QC5L._AC_UL900_SR900,600_.jpg"
B07VQJ256V,Kaspersky Premium Total Security 2023 | 5 Dispositivos | 1 año | Anti-Phishing y Firewall | VPN ilimitada | Gestor de contras,36.99,4.7,402,"https://images-eu.ssl-images-amazon.com/images/I/71fwKU81IQL._AC_UL900_SR900,600_.jpg"
B07VMBMTHM,Kaspersky Plus Internet Security 2023 | 3 Dispositivos | 1 año | Anti-Phishing y Firewall| VPN ilimitada | Gestor de contrase,22.99,4.6,492,"https://images-eu.ssl-images-amazon.com/images/I/71AUtn-xtZL._AC_UL900_SR900,600_.jpg"
B08WJT9GM4,McAfee Total Protection 2023 | 3 dispositivos | Software de seguridad en Internet con antivirus | VPN ilimitada | 1 año de su,19.90,4.4,1.562,"https://images-eu.ssl-images-amazon.com/images/I/612N4HnbtYL._AC_UL900_SR900,600_.jpg"
B09K41R413,"Norton 360 Premium 2024 - Antivirus software para 10 Dispositivos y 15 meses de suscripción con renovación automática, Secure",19.99,4.2,2.090,"https://images-eu.ssl-images-amazon.com/images/I/71w00DnGQBL._AC_UL900_SR900,600_.jpg"
B07J5NZ9K8,"Microsoft Office Professional 2019 1 licencia(s) Plurilingüe - Suites de programas (1 licencia(s), Plurilingüe, 4000 MB, 2048",26.95,4.3,6,"https://images-eu.ssl-images-amazon.com/images/I/41IPSf9Z3TL._AC_UL900_SR900,600_.jpg"
B0B47LF5X4,"Norton 360 Deluxe 2024 - Antivirus software para 3 Dispositivos y 15 meses de suscripción con renovación automática, Secure V",16.99,4.2,2.090,"https://images-eu.ssl-images-amazon.com/images/I/814VrvNGMlL._AC_UL900_SR900,600_.jpg"
B08V5P53D8,Microsoft 365 Familia | Apps Office 365 | PC/MAC/teléfono | Suscripción anual | 12+3 Meses | + McAfee Total Protection 2022 |,88.99,4.5,2.140,"https://images-eu.ssl-images-amazon.com/images/I/61zg0IwrgEL._AC_UL900_SR900,600_.jpg"
B0CL584JW6,Windows 10 Pro - Licencia,18.95,3.0,2,"https://images-eu.ssl-images-amazon.com/images/I/61bGPkVoWfL._AC_UL900_SR900,600_.jpg"
B08VF3PM2M,Microsoft 365 Personal | Apps Office 365 | PC/MAC/tableta/teléfono | 12+3 Meses + NORTON 360 Standard | 15 Meses | PC/Mac - C,59.99,4.5,2.140,"https://images-eu.ssl-images-amazon.com/images/I/61TV9z64e7L._AC_UL900_SR900,600_.jpg"
B07VNBHV6H,Kaspersky Standard Anti-Virus 2023 | 1 dispositivo | 1 año | Seguridad Avanzada | Protección Bancaria en línea | Optimización,17.99,4.3,147,"https://images-eu.ssl-images-amazon.com/images/I/71gqjIeFseL._AC_UL900_SR900,600_.jpg"
B07VRL1WNT,Kaspersky Premium Total Security 2023 | 1 Dispositivo | 1 año | Anti-Phishing y Firewall | VPN ilimitada | Gestor de contrase,29.99,4.5,175,"https://images-eu.ssl-images-amazon.com/images/I/71m41R1cAuL._AC_UL900_SR900,600_.jpg"
B0BGPKX8VT,McAfee Total Protection 2023 | Exclusivo en Amazon |10 Dispositivos| 12 Meses + 3 |Software de seguridad en Internet con anti,24.95,4.3,277,"https://images-eu.ssl-images-amazon.com/images/I/61TEYjDLZEL._AC_UL900_SR900,600_.jpg"
B09C13NC26,Microsoft 365 Familia - Hasta 6 personas - Para PC/Mac/tabletas/teléfonos móviles - Suscripción de 12 meses,67.14,4.5,2.140,"https://images-eu.ssl-images-amazon.com/images/I/71HkQaRTlIL._AC_UL900_SR900,600_.jpg"
