asin,title,price,rating,num_reviews,img_link
B0CD2MP728,Xiaomi Mi Smart Band 8 Pulsera de Actividad Negra (Black) M2239B1,38.75,4.3,641,"https://images-eu.ssl-images-amazon.com/images/I/516RXculzhL._AC_UL900_SR900,600_.jpg"
B0BYNC9B3Y,PUMA Orbita Laliga 1 Hyb Balon Futbol 2023 2024,26.95,4.0,21,"https://images-eu.ssl-images-amazon.com/images/I/71ACzoiLXoL._AC_UL900_SR900,600_.jpg"
B08TX47PW6,"Wueps Esterilla Deporte, Yoga, Pilates, Ejercicios, incluye correa de hombro y bolsa de transporte, ideal para realizar depor",19.90,4.5,1.399,"https://images-eu.ssl-images-amazon.com/images/I/81hRSIvRCEL._AC_UL900_SR900,600_.jpg"
B082XJQK7D,"NirvanaShape ® Toalla de Microfibra | 14 Colores | 8 Dimensiones | Toalla de Viaje Ligera, Absorbente y de Secado Rápido | To",5.49,4.2,3.397,"https://images-eu.ssl-images-amazon.com/images/I/710pbyAbDhL._AC_UL900_SR900,600_.jpg"
B07L9WLKZQ,"Gritin Bandas Elásticas Fitness/Bandas de Resistencia, Set de 5 Cintas Elásticas Fitness y Musculación de Látex Agradable a l",8.47,4.3,97.347,"https://images-eu.ssl-images-amazon.com/images/I/617NmwvU4tL._AC_UL900_SR900,600_.jpg"
B07PMWV7JM,Super Sparrow Botella de Agua Deportiva -350ml & 500ml & 750ml & 1000ml & 1.5l - Sin BPA,17.59,4.7,38.285,"https://images-eu.ssl-images-amazon.com/images/I/71jRkIxlfYL._AC_UL900_SR900,600_.jpg"
B0785YDT2G,"Coresteady Gomas elásticas de musculación para Hombres y Mujeres - Banda elástica - Tonifica y desarrolla Fuerza, flexibilida",7.99,4.3,8.876,"https://images-eu.ssl-images-amazon.com/images/I/81lbEGcAeiL._AC_UL900_SR900,600_.jpg"
B01F2OGJQM,"Fitgriff® Straps Gym, Correas Levantamiento de Pesas, Powerlifting, Agarraderas Gimnasio - Lifting Straps - Mujeres y Hombres",11.95,4.7,12.354,"https://images-eu.ssl-images-amazon.com/images/I/71zNmYusGwL._AC_UL900_SR900,600_.jpg"
B013SHRBHQ,"Venum Challenger 2.0 Protector Bucal Unisex para Adultos, Talla única",11.58,4.4,18.699,"https://images-eu.ssl-images-amazon.com/images/I/615oVEBflGL._AC_UL900_SR900,600_.jpg"
B07N3C5WRG,"Garmin HRM Dual, Monitor de frecuencia cardíaca con transmisión dual, ANT+, Color Negro, Talla Única",49.99,4.6,32.468,"https://images-eu.ssl-images-amazon.com/images/I/51TquOxbedL._AC_UL900_SR900,600_.jpg"
B0C34BYC5N,"HoneyHolly Botella Agua 1 Litro, Botella de Agua Deportiva, Sin BPA, Botella Agua Motivacional con Paja, 2 Opciones de Bebida",9.99,4.1,819,"https://images-eu.ssl-images-amazon.com/images/I/61sQ-aQPKyL._AC_UL900_SR900,600_.jpg"
B0CHSG1SY2,"Comba Crossfit PORTENTUM con Mangos de Espuma Ergonómicos, Comba de Saltar de Longitud Ajustable y Rodamientos Rápidos",5.95,4.4,101,"https://images-eu.ssl-images-amazon.com/images/I/71MjZh-XrmL._AC_UL900_SR900,600_.jpg"
B09G6M8JLK,"Blukar Linterna Frontal Recargable, 2000L Super Brillante Impermeable Linterna Cabeza LED Con Sensor de Movimiento y Luces de",10.19,4.4,4.924,"https://images-eu.ssl-images-amazon.com/images/I/61llUdbzGkL._AC_UL900_SR900,600_.jpg"
B001BSQCWU,"Slime Cámara Interior de Bicicleta con Sellante de Pinchazos, Sellado Autónomo, Prevenir y Reparar, Válvula",10.00,4.2,6.434,"https://images-eu.ssl-images-amazon.com/images/I/916ufFw7TEL._AC_UL900_SR900,600_.jpg"
B08KD2R5Z2,ZEFAL Arctica - Bidón isotérmico 550 ML y 750 ML - Bidón para Bicicleta - Inodoro y Resistente al Agua - Botella Deportiva si,9.55,4.3,1.918,"https://images-eu.ssl-images-amazon.com/images/I/61AV--Y-mdS._AC_UL900_SR900,600_.jpg"
B09PQTMSTS,"Delgeo Mochila Tácticas Militar, 45L Gran Capacidad Mochila Crossfit, Plegable Impermeable Mochila Supervivencia, Montañismo,",39.99,4.7,1.545,"https://images-eu.ssl-images-amazon.com/images/I/61-+xoWNmdL._AC_UL900_SR900,600_.jpg"
B00HZ08EMY,X-Sauce Líquido sellante tubeless MTB - 500ml,16.52,4.7,3.597,"https://images-eu.ssl-images-amazon.com/images/I/51o9gsc4u9L._AC_UL900_SR900,600_.jpg"
