asin,title,price,rating,num_reviews,img_link
B00BFXVJ4C,13212 - pegamento loctite super glue mini trio,4.61,4.3,6.184,"https://images-eu.ssl-images-amazon.com/images/I/61F74eOhGwL._AC_UL900_SR900,600_.jpg"
B00T9L976E,Cinta adhesiva tesa transparente strong 66 mt x 50 mm para embalaje bajo ruido,2.66,4.6,4.147,"https://images-eu.ssl-images-amazon.com/images/I/61YwqmnxarL._AC_UL900_SR900,600_.jpg"
B09F35DSJN,"6 Metros Cinta Adhesiva Doble Cara Extrafuerte, 2 Rollos, Transparente, Cinta Removible y Reutilizable, Nano Tape de Montaje ",6.99,4.0,7.496,"https://images-eu.ssl-images-amazon.com/images/I/61XrAyn2IAL._AC_UL900_SR900,600_.jpg"
B093SVT4FX,"ARNOMED Guantes nitrilo negro talla M, guantes de nitrilo, caja guantes nitrilo 100 unidades, guantes negros nitrilo sin polv",9.99,4.5,12.872,"https://images-eu.ssl-images-amazon.com/images/I/61yaYaU1B5L._AC_UL900_SR900,600_.jpg"
B07Z5JD3T4,"TP-Link TAPO P100 - Wi-Fi Mini Smart Plug, ideal para agendar ligar/desligar y economizar energía, si necesita HUB, compatibl",10.90,4.6,33.270,"https://images-eu.ssl-images-amazon.com/images/I/51PYaM8CnDL._AC_UL900_SR900,600_.jpg"
B0BBMHKT3P,Alcachofa de Ducha Alta Presion - SREWOHS Antical Alcachofa Ducha Ahorro de Agua cabezal de ducha extraíble con 5 modos，Poten,9.99,4.6,2.239,"https://images-eu.ssl-images-amazon.com/images/I/71fYYy7m8-L._AC_UL900_SR900,600_.jpg"
B07NWHX4H9,"Burlete Puerta,YIHAIC Burlete Bajo Puerta Burlete Autoadhesivo de Goma de Silicona, Antipolvo Aislamiento Acústico Prueba De ",8.69,4.4,4.270,"https://images-eu.ssl-images-amazon.com/images/I/71zBtkcqRoS._AC_UL900_SR900,600_.jpg"
B00ZPZA3TI,"Roca AI0002100R - Conjunto de bisagras de asiento Dama Senso y Giralda desmontables, Pack de 2 unidades, Multi-colour",7.95,4.5,6.368,"https://images-eu.ssl-images-amazon.com/images/I/613kvOeBNTL._AC_UL900_SR900,600_.jpg"
B01KCEVQBK,"Pattex No Más Clavos Para Todo HighTack, adhesivo de montaje resistente a temperaturas extremas, pegamento fuerte en superfic",5.89,4.2,5.077,"https://images-eu.ssl-images-amazon.com/images/I/81y9rX7DBYL._AC_UL900_SR900,600_.jpg"
B07KCW9F95,"Burlete Puerta,HEQUN Burlete Bajo Puerta Burlete Autoadhesivo de Goma de Silicona, Antipolvo Aislamiento Acústico Prueba De V",9.69,4.4,7.597,"https://images-eu.ssl-images-amazon.com/images/I/71rXX-Jh6+L._AC_UL900_SR900,600_.jpg"
