asin,title,price,rating,num_reviews,img_link
B0C81N1STD,"Nancy - Aitana, muñeca como la Cantante, Pelo castaño Corto y Flequillo, Conjunto de Era Alpha de Las Babys, con Accesorios y",39.95,4.8,60,"https://images-eu.ssl-images-amazon.com/images/I/71s3lp2aiFL._AC_UL900_SR900,600_.jpg"
B01N074ELB,Elves Behaving' Badly 30.5 cm Largo Pierna Cuerpo Suave Vinilo Cara Elfo con Sombrero y Etiqueta,10.99,4.6,32.188,"https://images-eu.ssl-images-amazon.com/images/I/51aVpWAR7RL._AC_UL900_SR900,600_.jpg"
B08KDM3PDK,Hidden Games Escena del Crimen - Caso 1 - EL Crimen DE Quintana DE LA Matanza - Español - Juego Realista de escenas del Crime,23.90,4.5,881,"https://images-eu.ssl-images-amazon.com/images/I/71BxOk9IoyL._AC_UL900_SR900,600_.jpg"
B0797GCR6W,"Play-Doh Pack 24 Botes (Hasbro 20383F03), Exclusivo en Amazon",15.44,4.7,65.058,"https://images-eu.ssl-images-amazon.com/images/I/81iM099lmCL._AC_UL900_SR900,600_.jpg"
8460659666,"Tranjis Games - Virus! - Juego de cartas, 8 a 99 años (TRG-01vir)",14.95,4.8,14.645,"https://images-eu.ssl-images-amazon.com/images/I/71Z+NTY05aL._AC_UL900_SR900,600_.jpg"
B08T1VJ2L5,PATRULLA CANINA - CAMIÓN BOMBEROS + FIGURA MARSHALL - Camión de 15 cm con 1 Figura Marshall Patrulla Canina - 6061798 - Jugue,14.99,4.7,15.852,"https://images-eu.ssl-images-amazon.com/images/I/81btuL6sI6L._AC_UL900_SR900,600_.jpg"
B0C7CM974G,"LeagoEra Bloques de Construcción Magnéticos 110 Piezas, Bloques Construccion Niños, 3D Juegos Magneticos para Niños y Niñas 3",34.64,4.8,233,"https://images-eu.ssl-images-amazon.com/images/I/81cCjKfjM9L._AC_UL900_SR900,600_.jpg"
B0BSFW985L,Bitzee - Juguete Mascota INTERACTIVA Digital - Juego Interactivo con 15 Animales EN SU Interior - Mascotas Virtuales y Electr,39.90,4.4,651,"https://images-eu.ssl-images-amazon.com/images/I/81tNGvWm0TL._AC_UL900_SR900,600_.jpg"
B008EK6XEK,Dobble - Juego de Cartas en Español y Portugués,15.95,4.8,13.250,"https://images-eu.ssl-images-amazon.com/images/I/71tnW4ZrySL._AC_UL900_SR900,600_.jpg"
B0CLP7HH33,Juego de ajedrez magnético | Juego de mesa de ajedrez con piedras magnéticas | Juego de mesa educativo de damas | Juego de aj,13.99,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/71yxl6xdsvL._AC_UL900_SR900,600_.jpg"
B0090LN5TI,"Spin Master Games, JUEGOS DE MESA, PATRULLA CANINA MEMORY Juego de Memoria MEMO de 72 Cartas Divertido con Maletín de Transpo",5.99,4.6,533,"https://images-eu.ssl-images-amazon.com/images/I/818jR+UyksL._AC_UL900_SR900,600_.jpg"
B0C14BG43J,Tragik Montessori Juegos Educativos Niños 3-8 Años，Puzzle 3-6 Años Aprender a Leer Escribir Juegos Pizarra Infantiles Smart G,11.69,4.6,258,"https://images-eu.ssl-images-amazon.com/images/I/81z9c-NqvcL._AC_UL900_SR900,600_.jpg"
B000H6W2GW,"Snazaroo - Pintura facial y corporal, 18 ml, color blanco, profesional a base de agua, pastilla de aquacolor individual para ",6.95,4.3,9.087,"https://images-eu.ssl-images-amazon.com/images/I/71Tx7rY-I7L._AC_UL900_SR900,600_.jpg"
B07MKCZJNJ,PERPLEXUS - Rompecabezas PERPLEXUS Rebel - Bola Laberinto 3D con 70 Obstáculos - 6053147 - Juguetes Niños 8 años +,19.99,4.6,20.339,"https://images-eu.ssl-images-amazon.com/images/I/81KcuvUuHoL._AC_UL900_SR900,600_.jpg"
