asin,title,price,rating,num_reviews,img_link
B0C8YWGST8,Super Mario Bros. Wonder,0,4.8,224,"https://images-eu.ssl-images-amazon.com/images/I/81lu5fikVxL._AC_UL900_SR900,600_.jpg"
B0CB6VXYDQ,EA SPORTS FC 24 Standard Edition PS4 | Videojuegos | Castellano,63.99,4.5,147,"https://images-eu.ssl-images-amazon.com/images/I/71Ybe66rz0L._AC_UL900_SR900,600_.jpg"
B07JH6VD7T,10€ PlayStation Store Tarjeta Regalo | PSN Cuenta española [Código por correo],10.00,4.6,4.197,"https://images-eu.ssl-images-amazon.com/images/I/61qXZAGROuL._AC_UL900_SR900,600_.jpg"
B0CB6TWNVT,EA SPORTS FC 24 Standard Edition Switch | Videojuegos | Castellano,48.99,4.2,70,"https://images-eu.ssl-images-amazon.com/images/I/712OXR5j5dL._AC_UL900_SR900,600_.jpg"
B0C7X5Q6R1,"Marvel's Spiderman 2 para PS5, Videojuego Original de Playstation Sony Interactive, Configurable en Español, Inglés y Portugu",67.99,3.9,69,"https://images-eu.ssl-images-amazon.com/images/I/81DC-janmJL._AC_UL900_SR900,600_.jpg"
B0CJ3TK5TV,Nintendo Iberica SL Another Code Recollection,46.99,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/71tXyPtu26L._AC_UL900_SR900,600_.jpg"
B09MQ4KZ27,"INIU Cable USB C, 100W 2m Cable de Carga Rápida QC de USB C a USB C, Cable Tipo C Trenzado Nylon de Datos Cargador de Teléfon",7.99,4.7,20.896,"https://images-eu.ssl-images-amazon.com/images/I/71IEUZgLJnL._AC_UL900_SR900,600_.jpg"
B01N7RLGIJ,Mario Kart 8 Deluxe,42.99,4.8,6.528,"https://images-eu.ssl-images-amazon.com/images/I/71C9pOGlKtL._AC_UL600_SR600,400_.jpg"
B081KJ9R3T,"Tarjeta regalo de Roblox - 800 Robux [ordenador, móvil, tableta, Xbox One, Oculus Rift o HTC Vive]",10.00,4.4,2.355,"https://images-eu.ssl-images-amazon.com/images/I/71i7cyUqrBL._AC_UL900_SR900,600_.jpg"
B0C8YVMY1V,Super Mario RPG,0,0.0,0,"https://images-eu.ssl-images-amazon.com/images/I/712Kk2h+oAL._AC_UL600_SR600,400_.jpg"
B09S5S9L94,Nintendo Switch Sports,38.99,4.7,2.830,"https://images-eu.ssl-images-amazon.com/images/I/71r+uY1RRKL._AC_UL900_SR900,600_.jpg"
B0CB6VZ3YW,EA SPORTS FC 24 Standard Edition PS5 | Videojuegos | Castellano,64.99,4.6,153,"https://images-eu.ssl-images-amazon.com/images/I/71AFopTCg6L._AC_UL900_SR900,600_.jpg"
